Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
1994-07-11,56806,3,,,,,,,,,,,,,,,,,3.0,0.0,,
1994-07-12,59140,3,,,,,,,,,,,,,,,,,6.0,0.0,,
1994-07-13,62253,3,,,,,,,,,,,,,,,,,9.0,0.0,,
1994-07-14,65365,3,,,,,,,,,,,,,,,,,12.0,0.0,,
1994-07-15,68478,3,,,,,,,,,,,,,,,,,15.0,0.0,,
1994-07-16,71591,3,,,,,,,,,,,,,,,,,18.0,0.0,,
1994-07-18,74703,3,,,,,,,,,,,,,,,,,21.0,0.0,,
1994-07-19,77816,3,,,,,,,,,,,,,,,,,24.0,0.0,,
1994-07-20,81707,3,,,,,,,,,,,,,,,,,27.0,0.0,,
1994-07-21,85598,3,,,,,,,,,,,,,,,,,30.0,0.0,,
1994-07-22,89488,3,,,,,,,,,,,,,,,,,33.0,0.0,,
1994-07-23,93379,3,,,,,,,,,,,,,,,,,36.0,0.0,,
1994-07-25,97270,3,,,,,,,,,,,,,,,,,39.0,0.0,,
1994-07-26,101161,3,,,,,,,,,,131.48226372288298,,,,,,,42.0,0.0,,
1994-07-27,105052,3,,,,,100.0,0.0,,,,129.1679335739023,,,,,,,45.0,0.0,,
1994-07-28,108942,3,,,,,100.0,0.0,,,100.0,127.5340779355262,,,,,,,48.0,0.0,,
1994-07-29,112833,3,,,,,100.0,0.0,,,100.0,126.24074691806982,,,,,,,51.0,0.0,,
1994-07-30,116724,3,,,,,100.0,0.0,,100.0,100.0,125.24429150087826,,,,,,,54.0,0.0,,
1994-08-01,121782,3,,,,,100.0,0.0,,100.0,100.0,129.0894825541916,,,,,,,57.0,0.0,,
1994-08-02,126840,3,,,,,100.0,0.0,,100.0,100.0,131.85742925158456,,,131400.58606153805,88846.4,46292.21393846194,,60.0,0.0,,
1994-08-03,126840,3,,,,,100.0,0.0,100.0,100.0,100.0,114.34347210539617,123.28627257684047,70034.0,135303.84957511508,92348.1,49392.35042488493,3545.3387520528727,60.0,0.0,0.0,
1994-08-04,131898,3,,,,,100.0,0.0,100.0,100.0,100.0,120.37834800524445,123.0267162664863,72758.0,139397.31756581456,95986.0,52574.682434185444,3660.0318991495888,63.0,0.0,0.0,
1994-08-05,136956,3,,,,,100.0,0.0,100.0,100.0,100.0,125.26871969724449,119.99903619102693,74703.0,143730.94701055207,99721.15,55711.35298944791,3763.360607503359,66.0,0.0,0.0,
1994-08-06,142014,3,,,,,100.0,0.0,100.0,100.0,100.0,128.94164883966297,117.26306127132257,76649.0,148272.4949389405,103553.6,58834.70506105949,3856.8170594748394,69.0,0.0,0.0,
1994-08-08,147072,3,,,,,100.0,0.0,100.0,100.0,100.0,131.36842034393553,114.7726277052484,78594.0,152988.4654303113,107483.3,61978.13456968869,3941.6450481513816,72.0,0.0,0.0,
1994-08-09,152130,3,27503.502938692647,,,,100.0,0.0,100.0,100.0,100.0,134.1113877971458,112.4987777793298,80539.0,157844.56665569267,111510.25,65175.93334430732,4018.8896401420834,75.0,0.0,0.0,
1994-08-10,157188,3,27791.743336903863,,,,100.0,0.0,100.0,100.0,100.0,136.07900147257388,110.41725231918397,82485.0,162806.1841569177,115634.5,68462.8158430823,4089.4353775104455,78.0,0.0,0.0,
1994-08-11,163414,3,28197.518653600346,,,100.0,100.0,0.0,100.0,100.0,100.0,137.70338769577694,110.00051403310373,85598.0,168105.95471407828,119914.4,71722.8452859217,4231.938397446321,81.0,0.0,0.0,100.0
1994-08-12,169639,3,28690.675740429782,,,100.0,100.00000000000001,0.0,100.0,100.0,100.0,137.99617171562855,107.61868628146915,87932.0,173784.74723628684,124311.0,74837.25276371316,4362.68701373813,84.0,0.0,0.0,100.0
1994-08-13,169639,3,28750.093107712906,,,100.0,100.0,0.0,100.0,100.0,100.0,117.35226334188584,98.18103226710905,84041.0,178395.00076167332,128513.05,78631.09923832669,4080.8831559991822,84.0,0.0,0.0,100.0
1994-08-16,175864,3,28965.589983986414,,,100.0,100.0,0.0,100.0,100.0,100.0,121.92342412272376,96.52243876273914,86376.0,183402.9135216425,132831.85,82260.7864783575,4217.388291824668,87.0,0.0,0.0,100.0
1994-08-17,175864,3,28804.3343744117,,,100.0,100.0,0.0,100.0,100.0,100.0,105.63003612114476,88.33356536266184,82485.0,187438.2000510082,136956.1,86473.99994899181,3952.507972019416,87.0,0.0,0.0,100.0
1994-08-18,175864,144,28349.73998657496,,,100.0,100.0,0.0,100.0,100.0,100.0,92.63699293468382,80.7998355094068,78594.0,190629.54218974683,140885.8,91142.05781025314,3707.4029075273997,87.0,0.0,4700.0,100.0
1994-08-19,182089,144,28167.083529021125,-190.7255433492901,28357.809072370415,100.0,100.0,0.0,100.0,100.0,100.0,104.69209330737223,79.9992091814039,80928.0,194256.38540878298,144932.2,95608.01459121704,3861.672333729367,231.0,0.0,4700.0,100.0
1994-08-20,182089,18,27702.98421294306,-523.8598875418866,28226.84410048495,100.0,100.0,0.0,100.00000000000001,100.0,100.0,93.91618161303776,73.33225450253208,77037.0,197070.36026895716,148784.05,100497.73973104282,3627.681329960102,231.0,0.0,500.0,100.0
1994-08-22,175864,18,26527.08891729283,-1359.8041465536953,27886.893063846524,97.73039486058285,87.22437512408656,12.775624875913424,90.13486213079052,98.46749237438978,95.4024771231693,58.3333333333334,61.42901727524738,66922.0,198129.81486084434,152130.15,106130.48513915564,3783.4114485455616,213.0,0.0,500.0,76.99498184824719
1994-08-23,170028,3,24837.95056409345,-2439.15399980246,27277.10456389591,93.95766863246963,77.25903671902128,22.74096328097871,82.13833564888627,93.5909769855578,85.37045383350409,18.893787840184768,50.6899577251336,57195.0,197867.28208379797,154989.9,112112.51791620204,3905.2671773220923,210.0,0.0,0.0,64.32457269197461
1994-08-24,164192,3,22765.948144189722,-3608.925135764952,26374.873279954674,89.11325727417395,68.79468408346816,31.205315916531827,75.12286047517598,83.03563258351637,68.33396679387572,-35.05225628748677,40.66687227990816,47468.0,196606.35916260857,157363.3,118120.24083739141,4018.8250345207307,207.0,0.0,0.0,46.54797131899334
1994-08-25,158356,3,20417.593562849885,-4765.823773683835,25183.41733653372,83.51847335559725,61.53449721379247,38.46550278620752,68.92601379911888,66.74327399246043,46.52540135000146,-99.62246853140437,30.03235289287415,36574.0,194879.98714413572,159192.0,123504.01285586428,4124.769877211467,204.0,0.0,0.0,40.27463267565086
1994-08-26,158356,3,18345.03548843434,-5470.705478479504,23815.740966913843,78.46477207635284,61.534497213792456,38.46550278620752,68.92601379911886,46.548994780705264,24.78761619823861,-111.11019357680107,24.847051403342792,31516.0,193241.00806819057,160767.8,128294.59193180942,3886.2677852653283,204.0,0.0,0.0,39.08649104383918
1994-08-27,158356,3,16512.176193796127,-5842.851818494175,22355.028012290302,73.88927050098147,61.53449721379246,38.46550278620753,68.92601379911888,26.601262484257905,8.490769904533648,-113.27969909100416,24.847051403342792,31516.0,190900.92643228348,162343.6,133786.27356771653,3663.300373009299,204.0,0.0,0.0,25.791193937691723
1994-08-29,158356,3,14888.002373851137,-5973.620510751334,20861.62288460247,69.7380505354058,61.53449721379246,38.46550278620753,68.92601379911886,11.613970331559178,1.5635248919052784,-104.13223140495884,20.059439870202734,26458.0,188692.76448753383,163666.5,138640.23551246617,3454.6636123047842,204.0,0.0,0.0,23.62813380625898
1994-08-30,158356,3,13445.837673052622,-5932.628169239881,19378.465842292502,65.96461955177072,61.53449721379245,38.46550278620752,68.92601379911888,3.3514315988129755,0.0,-85.7608381593659,15.625456350944829,21400.0,186752.04982733788,164736.5,142720.95017266212,3259.268016450078,204.0,0.0,0.0,20.752170773348723
1994-08-31,158356,3,12162.707634842372,-5772.6065659601045,17935.314200802477,62.5286786693657,61.534497213792456,38.46550278620754,68.92601379911886,0.5211749639684261,0.0,-72.97582175231481,11.50731618009492,16342.0,185223.2105543551,165553.6,145883.98944564493,3076.1253916056075,204.0,0.0,0.0,20.61707591762244
1994-09-01,152130,3,10522.138999380288,-5930.540161137753,16452.67916051804,57.93511739436633,52.34179010075806,47.65820989924194,61.55671340277301,0.0,0.0,-103.39408718125073,3.439131853785901,5058.0,184631.01713590542,165806.5,146981.98286409458,3252.0319579906372,201.0,0.0,0.0,14.887347715828371
1994-09-02,148239,3,8806.48962402533,-6116.951629194171,14923.4412532195,53.75532246848083,47.5598709179386,52.44012908206139,57.51163171632678,0.0,0.0,-116.82469905691721,-2.557680930782883,-3891.0,185067.67222740644,165611.95,146156.2277725936,3287.5081186211155,198.0,0.0,0.0,13.849846416910848
1994-09-03,144349,3,7051.647639071714,-6297.434891318229,13349.082530389944,50.599124266070696,43.30073068643868,56.699269313561295,53.79172452356485,0.0,0.0,-129.56293638508365,-8.167926304806983,-12839.0,186256.30428233132,164970.0,143683.69571766868,3320.7754158461134,195.0,0.0,0.0,12.8323194937123
1994-09-05,140458,3,5286.017620785307,-6450.451927683709,11736.469548469016,48.30121598090949,39.491148484257735,60.508851515742236,50.36193959709704,0.0,0.0,-156.10105891829238,-14.047756006217337,-22956.0,187644.88608364717,163822.2,139999.51391635285,3352.0976540578154,192.0,0.0,0.0,8.146897487318627
1994-09-06,140458,26,3842.449741834018,-6315.215845307999,10157.665587142017,46.194979693342646,39.491148484257735,60.508851515742236,50.361939597097034,0.0,0.0,-132.9271342542475,-17.201822694073886,-29181.0,188081.14371082425,162363.15,136645.15628917573,3168.871337083898,192.0,0.0,766.6666666666666,8.146897487318627
