Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2016-09-22,6350,3346717,,,,,,,,,,,,,,,,,3346717.0,-3192844.9540229887,,
2016-09-23,6590,1203796,,,,,,,,,,,,,,,,,4550513.0,-3285444.646330681,,
2016-09-26,6970,1087013,,,,,,,,,,,,,,,,,5637526.0,-2648230.129089302,,
2016-09-27,6890,449980,,,,,,,,,,,,,,,,,5187546.0,-2709038.23719741,,
2016-09-28,6660,354530,,,,,,,,,,,,,,,,,4833016.0,-3063568.23719741,,
2016-09-29,6890,183261,,,,,,,,,,,,,,,,,5016277.0,-2971937.73719741,,
2016-09-30,6750,90210,,,,,,,,,,,,,,,,,4926067.0,-3032077.73719741,,
2016-10-04,6710,122618,,,,,,,,,,,,,,,,,4803449.0,-3069806.3525820253,,
2016-10-05,6600,90513,,,,,,,,,,,,,,,,,4712936.0,-3120965.8743211557,,
2016-10-06,6500,110384,,,,,,,,,,,,,,,,,4602552.0,-3192390.815497626,,
2016-10-07,6440,90763,,,,,,,,,,,,,,,,,4511789.0,-3240441.815497626,,
2016-10-10,6560,67692,,,,,,,,,,,,,,,,,4579481.0,-3194126.2365502575,,
2016-10-11,6790,129120,,,,,,,,,,,,,,,,,4708601.0,-3118173.295373787,,
2016-10-12,6610,61713,,,,,,,,,,-13.953488372092945,,,,,,,4646888.0,-3173714.9953737874,,
2016-10-13,6610,56688,,,,,14.737276364628991,12.872368241097076,,,,-51.666666666666565,,,,,,,4646888.0,-3162377.3953737873,,
2016-10-14,6680,66161,,,,,18.023750787746764,11.986641763011766,,,35.616858237547895,-14.379084967320729,,,,,,,4713049.0,-3154107.2703737873,,
2016-10-17,6620,56815,,,,,17.302546328219897,11.507006885896612,,,35.36507936507936,-29.702745631948368,,,,,,,4656234.0,-3185671.1592626763,,
2016-10-18,6590,30485,,,,,18.214002064473327,10.640879353453617,,34.795807002703555,33.4054834054834,-22.34741784037607,,,,,,,4625749.0,-3208983.218086206,,
2016-10-19,6530,114221,,,,,17.544746014657864,12.54639304055854,,32.14835067466647,27.674489253436622,-77.97468354430407,,,,,,,4511528.0,-3294648.968086206,,
