Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
1988-06-10,41400,107660,,,,,,,,,,,,,,,,,107660.0,-107659.99999999999,,
1988-06-11,39800,4260,,,,,,,,,,,,,,,,,103400.0,-107659.99999999999,,
1988-06-13,38500,1660,,,,,,,,,,,,,,,,,101740.0,-107659.99999999999,,
1988-06-14,37200,1420,,,,,,,,,,,,,,,,,100320.0,-107659.99999999999,,
1988-06-15,35900,4660,,,,,,,,,,,,,,,,,95660.0,-107659.99999999999,,
1988-06-16,34600,59800,,,,,,,,,,,,,,,,,35860.0,-107659.99999999999,,
1988-06-17,34600,517670,,,,,,,,,,,,,,,,,35860.0,336057.1428571429,,
1988-06-18,34500,138210,,,,,,,,,,,,,,,,,-102350.0,336057.1428571429,,
1988-06-20,33500,107210,,,,,,,,,,,,,,,,,-209560.0,228847.1428571429,,
1988-06-21,32800,88770,,,,,,,,,,,,,,,,,-298330.0,199257.1428571429,,
1988-06-22,31700,69550,,,,,,,,,,,,,,,,,-367880.0,160618.25396825402,,
1988-06-23,31500,94920,,,,,,,,,,,,,,,,,-462800.0,217570.25396825402,,
1988-06-24,31800,71560,,,,,,,,,,,,,,,,,-391240.0,231882.25396825402,,
1988-06-25,31700,45590,,,,,,,,,,-84.38687392055259,,,,,,,-436830.0,241000.25396825402,,
1988-06-27,31600,49080,,,,,4.396424772951404,80.54579133528205,,,,-84.36409768474468,,,,,,,-485910.0,265540.253968254,,
1988-06-28,31000,33960,,,,,3.8657510454853137,79.2728537357569,,,5.2841447942482676,-93.33333333333347,,,,,,,-519870.0,270391.6825396826,,
1988-06-29,31300,52750,,,,,4.734820855191085,72.66115633120312,,,7.13882606069424,-79.2561983471075,,,,,,,-467120.0,308070.253968254,,
1988-06-30,31900,48850,,,,,11.408929617669397,66.6726200892595,,8.607396244102341,13.39921787736452,-47.3193473193474,,,,,,,-418270.0,342963.1111111112,,
1988-07-01,32000,43820,,,,,10.728749209410687,62.697715214593934,,14.543870641160444,23.093567985422567,-34.53618756371081,,,,,,,-374450.0,386783.1111111112,,
