Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2009-11-11,35650,7755136,,,,,,,,,,,,,,,,,7755136.0,4963287.04,,
2009-11-12,37050,2210381,,,,,,,,,,,,,,,,,9965517.0,5347701.1269565215,,
2009-11-13,35750,1189162,,,,,,,,,,,,,,,,,8776355.0,4158539.1269565215,,
2009-11-16,37900,978617,,,,,,,,,,,,,,,,,9754972.0,4933277.585289855,,
2009-11-17,38400,745654,,,,,,,,,,,,,,,,,10500626.0,5306104.585289855,,
2009-11-18,38100,463238,,,,,,,,,,,,,,,,,10037388.0,5151691.918623188,,
2009-11-19,39850,995245,,,,,,,,,,,,,,,,,11032633.0,5832649.023886345,,
2009-11-20,41000,1043494,,,,,,,,,,,,,,,,,12076127.0,5882339.214362536,,
2009-11-23,41650,469349,,,,,,,,,,,,,,,,,12545476.0,6090938.769918092,,
2009-11-24,41500,444040,,,,,,,,,,,,,,,,,12101436.0,5917183.987309396,,
2009-11-25,45000,939520,,,,,,,,,,,,,,,,,13040956.0,6565900.177785587,,
2009-11-26,47600,1079445,,,,,,,,,,,,,,,,,14120401.0,7441676.309861058,,
2009-11-27,47200,1927043,,,,,,,,,,,,,,,,,12193358.0,6635821.964406513,,
2009-11-30,47800,1008738,,,,,,,,,,142.27669206138893,,,,,,,13202096.0,5887403.448277481,,
2009-12-01,44300,1399505,,,,,38.38687659814017,12.245653338538807,,,,75.5011171657745,,,,,,,11802591.0,4610931.8548708875,,
2009-12-02,45050,694884,,,,,35.28473087781833,11.623379768806616,,,66.51689322199248,53.361100348702124,,,,,,,12497475.0,4579346.218507251,,
2009-12-03,47650,674154,,,,,37.53123133933726,10.482975853306312,,,64.6516350099412,74.66481738326407,,,,,,,13171629.0,5178594.218507251,,
2009-12-04,47600,425687,,,,,38.96794982827553,9.966042261673614,,67.381830862929,70.97696435685329,84.16536390481147,,,,,,,12745942.0,4910569.070359102,,
2009-12-07,46050,883973,,,,,35.28928809048679,16.684275182666486,,69.0289385711858,71.45821634676291,45.93945032368107,,,,,,,11861969.0,4593673.089227027,,
2009-12-08,44950,427591,,,,,33.490536277118295,17.836306911589478,,68.47731544496914,62.996765631291225,9.25008259002319,,,50914.781200720754,42502.5,34090.218799279246,,11434378.0,4363431.781534719,,
2009-12-09,45350,315544,,,,,32.28786235623372,17.19578981177468,63.807284206349436,63.177658747819784,55.07799426540521,4.276393831553916,27.20897615708275,9700.0,50865.05514103201,42987.5,35109.94485896799,2466.6685200305983,11749922.0,4313609.044692614,-95.93116097512667,
2009-12-10,46300,447482,,,,,32.24925577566701,15.782338346380714,65.84525100577511,56.975224945293036,52.85091493918268,6.164284683123865,24.966261808367072,9250.0,50956.26405077785,43450.0,35943.73594922215,2446.4491537743124,12197404.0,4639050.499238068,-79.75543582757905,
2009-12-11,46700,604893,,,,,34.529032907857335,14.940710564048686,66.67688886986949,53.997587675851314,54.06385382296605,42.86995515695028,30.62937062937063,10950.0,50735.41325263243,43997.5,37259.58674736757,2369.1024393881835,12802297.0,4423017.284952354,-49.13283471890289,
2009-12-14,49100,766945,,,,,37.66401387897699,13.426140894666924,71.11841148332367,56.79407215189712,63.467447693542624,121.18702553485168,29.551451187335093,11200.0,51031.77795201903,44557.5,38083.22204798097,2396.598385198024,13569242.0,4945934.3304069,-21.629708047172695,
2009-12-15,48700,440119,,,,,37.18047198239599,12.913499192437891,69.49340509518895,61.538288168827016,67.08356298997235,130.7471264367818,26.822916666666668,10300.0,51130.92182420469,45072.5,39014.07817579531,2297.9700847049626,13129123.0,4505815.3304069,-40.975439010586676,
