Date,close,volume,MACD,MACD_signal,MACD_hist,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
1985-01-04,129,111765,,,,,,,,,,,,,,,,,111765,-111765,,
1985-01-05,128,108497,,,,,,,,,,,,,,,,,3268,-220262,,
1985-01-07,129,771895,,,,,,,,,,,,,,,,,775163,-220262,,
1985-01-08,127,845098,,,,,,,,,,,,,,,,,-69935,-1065360,,
1985-01-09,123,324837,,,,,,,,,,,,,,,,,-394772,-1227778.5,,
1985-01-10,124,462745,,,,,,,,,,,,,,,,,67973,-1690523.5,,
1985-01-11,125,398039,,,,,,,,,,,,,,,,,466012,-1292484.5,,
1985-01-12,127,513725,,,,,,,,,,,,,,,,,979737,-778759.5,,
1985-01-14,126,215686,,,,,,,,,,,,,,,,,764051,-778759.5,,
1985-01-15,127,526797,,,,,,,,,,,,,,,,,1290848,-251962.5,,
1985-01-16,125,192810,,,,,,,,,,,,,,,,,1098038,-316232.5,,
1985-01-17,124,501961,,,,,,,,,,,,,,,,,596077,-818193.5,,
1985-01-18,124,331373,,,,,,,,,,,,,,,,,596077,-818193.5,,
1985-01-19,124,149020,,,,,,,,,,-80,,,,,,,596077,-818193.5,,
1985-01-21,124,543791,,,,,13.078651029325584,43.57022078896748,,,,-71.1509716,,,,,,,596077,-818193.5,,
1985-01-22,124,458824,,,,,13.078651029325584,43.57022079,,,25,-64.48911223,,,,,,,596077,-818193.5,,
1985-01-23,122,771895,,,,,8.339464012533762,57.97880362330955,,,26.666666666666668,-158.2375479,,,,,,,-175818,-818193.5,,
1985-01-24,122,701961,,,,,7.379546338475626,51.30512792483367,,27.5,30.833333333333332,-117.8451178,,,,,,,-175818,-1520154.5,,
1985-01-25,122,241176,,,,,6.948857195972322,48.310829828653766,,30.833333333333332,35,-125.1314406,,,,,,,-175818,-1761330.5,,
1985-01-26,122,314379,,,,,6.537935052591475,45.45395866526243,,34.44444444444444,37.5,-104.7348485,,,129.36766158073772,124.9,120.4323384192623,,-175818,-2075709.5,,
1985-01-28,123,749673,,,,,6.146500835747638,42.73257422667937,36.13114785579056,38.05555555555555,41.666666666666664,-75.84940312,-4.651162791,-6,128.71825205639476,124.6,120.48174794360521,1.5728311006010227,573855,-1326036.5,570.7582874781908,
1985-01-29,122,955556,,,,,5.774199453156183,40.14420778999775,32.95314001270246,40.27777777777778,41.666666666666664,-80.92485549,-4.6875,-6,128.254744,124.3,120.34525601334299,1.5293978456194663,-381701,-2281592.5,780.7211259297492,
1985-01-30,123,1008497,,,,,5.420609811277071,37.685931769028784,38.63475826098967,43.05555555555555,45.833333333333336,-34.07407407,-4.651162791,-6,127.34664010613626,124,120.65335989386374,1.4902682005582863,626796,-2281592.5,30.65209646389729,
1985-01-31,123,359477,,,,,11.271925039688021,35.35442734700865,38.63475826098967,44.44444444444445,45.833333333333336,1.9047619047603364,-3.149606299,-4,126.8724582991474,123.8,120.7275417008526,1.454877089485835,626796,-2641069.5,-57.46327645,
1985-02-01,123,541176,,,,,11.271925039688021,35.354427347008645,38.63475826098967,49.074074074074076,55.555555555555564,-13.86138614,0,0,126.8724582991474,123.8,120.7275417008526,1.3521331250912791,626796,-2641069.5,66.59924823834723,
1985-02-02,124,328105,-1.16832255,,,,22.40668042248924,30.917692971963955,44.15440996896495,56.018518518518526,66.66666666666667,89.00343642611695,0,0,126.8724582991474,123.8,120.7275417008526,1.396961351,954901,-2641069.5,-29.09593837,
1985-02-04,123,679085,-1.105170582,,,,19.739023537943332,27.23674627,40.33539039356842,64.81481481481482,72.22222222222223,60.215053763442214,-1.6,-2,126.73973683071408,123.7,120.66026316928593,1.4379019557530983,275816,-3320154.5,70.60765402385194,
1985-02-05,124,440523,-0.963325928,,,50.86204184214858,18.549844074056566,25.59586573939147,45.314234091079136,72.22222222222223,77.77777777777777,65.54307116,-2.362204724,-3,126.1938608132804,123.55,120.9061391867196,1.4086950923267394,716339,-2879631.5,-14.24925787,37.397064088793414
1985-02-06,124,279085,-0.841216004,,,45.56485891826374,23.512314575544682,24.03639998702055,45.31423409107912,75.92592592592592,77.77777777777777,130.46594982078898,-1.587301587,-2,125.85624188310312,123.45,121.04375811689688,1.381883920138932,716339,-3158716.5,29.394119228879017,36.870748299319736
1985-02-07,123,584967,-0.815731407,,,42.22519564708277,22.06458807092482,28.713715645238096,41.47899289341775,77.77777777777777,77.77777777777777,32.94117647058727,-3.149606299,-4,125.02482393492977,123.25,121.47517606507023,1.3572164705683487,131372,-3743683.5,11.042204112779686,29.25170068027211
1985-02-08,124,535294,-0.706696679,,,39.32030772,20.69247985072033,26.928124854111477,46.26619767873282,75.92592592592592,72.22222222222223,60.869565217392996,-0.8,-1,124.82480768092707,123.2,121.57519231907294,1.3344742944735768,666666,-3208389.5,177.6277164047508,35.932055749128914
1985-02-09,123,343791,-0.692989166,,,37.81611537405417,18.248317500941262,29.653337538971044,42.59813152658243,68.51851851851852,55.555555555555564,-60.86956522,-0.806451613,-1,124.73429795177536,123.15,121.56570204822465,1.3762737802027376,322875,-2864598.5,-31.51041615,39.49477351916376
1985-02-11,123,734641,-0.67435235,,,36.49162917020016,18.24831750094126,29.65333753897104,42.598131526582435,57.40740740740742,44.44444444444445,-28.57142857,-0.806451613,-1,124.63622914957358,123.1,121.56377085042641,1.290927545345452,322875,-2864598.5,121.6960947331255,39.20634920634921
1985-02-13,124,186275,-0.572293848,-0.837788724,0.26549487572207575,35.319498733396586,16.049681681949846,26.080575827516736,47.23350162334646,48.14814814814816,44.44444444444445,7.291666666665035,0,0,124.63622914957358,123.1,121.56377085042641,1.3343769920588435,509150,-2678323.5,25,56.74603174603175
1985-02-14,124,664706,-0.485811617,-0.767393302,0.2815816858424506,34.277572311524544,15.07187618196923,24.491651449316283,47.23350162334646,48.14814814814815,55.555555555555564,50.555555555555344,0,0,124.63622914957358,123.1,121.56377085042641,1.3141160270552086,509150,-2013617.5,22.23556477,56.74603174603175
