Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
1985-01-04,105551,924,,,,,,,,,,,,,,,,,924.0,-462.15212380638786,,
1985-01-05,109196,1748,,,,,,,,,,,,,,,,,2672.0,1285.8478761936124,,
1985-01-07,115423,6772,,,,,,,,,,,,,,,,,9444.0,6067.163135682381,,
1985-01-08,109955,2488,,,,,,,,,,,,,,,,,6956.0,3579.163135682381,,
1985-01-09,106310,3265,,,,,,,,,,,,,,,,,3691.0,314.1631356823809,,
1985-01-10,104792,2120,,,,,,,,,,,,,,,,,1571.0,-1479.4352436541599,,
1985-01-11,104792,2464,,,,,,,,,,,,,,,,,1571.0,-2805.052264930756,,
1985-01-12,107070,1036,,,,,,,,,,,,,,,,,2607.0,-3380.270992070478,,
1985-01-14,104792,745,,,,,,,,,,,,,,,,,1862.0,-3770.2866660516693,,
1985-01-15,105551,980,,,,,,,,,,,,,,,,,2842.0,-2790.2866660516693,,
1985-01-16,105703,1374,,,,,,,,,,,,,,,,,4216.0,-4164.286666051669,,
1985-01-17,105247,1260,,,,,,,,,,,,,,,,,2956.0,-4843.435602221882,,
1985-01-18,104792,1900,,,,,,,,,,,,,,,,,1056.0,-6743.435602221882,,
1985-01-19,104792,951,,,,,,,,,,-74.38549942009446,,,,,,,1056.0,-6742.80953243913,,
1985-01-21,104792,500,,,,,27.202962065410777,27.115488112144696,,,,-71.95541714473079,,,,,,,1056.0,-6575.411069211907,,
1985-01-22,104792,1570,,,,,27.332713320155943,26.548357602273388,,,6.255144032921811,-57.48637828159576,,,,,,,1056.0,-8145.411069211907,,
1985-01-23,104944,375,,,,,29.828890249904244,24.865655277349163,,,7.029657681246152,-40.23183059571528,,,,,,,1431.0,-8437.01677513729,,
1985-01-24,104032,677,,,,,26.965015807268095,25.90884536153903,,6.076470461480059,4.944609670272215,-77.32450148889964,,,,,,,754.0,-9114.01677513729,,
1985-01-25,103273,348,,,,,25.111968127387208,31.000421913312817,,6.20670684676628,6.64585318878047,-212.02787786148397,,,,,,,406.0,-9114.01677513729,,
1985-01-26,102969,895,,,,,23.220307424965664,32.776505774649785,,7.125701847651677,9.786642683902349,-227.73732583189928,,,111391.82822085335,105938.4,100484.97177914664,,-489.0,-8219.01677513729,,
1985-01-28,100387,171,,,,,20.500297331893258,34.79191043418678,34.50680707181869,8.92696483632204,10.348398636283301,-231.2505692686032,-4.892421672935359,-5164.0,111647.34362488451,105680.2,99713.05637511548,2264.082330336614,-660.0,-8368.756174066892,-81.49350649350649,
