Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
1985-01-04,856,694,,,,,,,,,,,,,,,,,694.0,0.0,,
1985-01-05,856,462,,,,,,,,,,,,,,,,,694.0,0.0,,
1985-01-07,856,462,,,,,,,,,,,,,,,,,694.0,0.0,,
1985-01-08,856,462,,,,,,,,,,,,,,,,,694.0,0.0,,
1985-01-09,856,462,,,,,,,,,,,,,,,,,694.0,0.0,,
1985-01-10,856,462,,,,,,,,,,,,,,,,,694.0,0.0,,
1985-01-11,856,462,,,,,,,,,,,,,,,,,694.0,0.0,,
1985-01-12,856,462,,,,,,,,,,,,,,,,,694.0,0.0,,
1985-01-14,856,462,,,,,,,,,,,,,,,,,694.0,0.0,,
1985-01-15,855,462,,,,,,,,,,,,,,,,,232.0,0.0,,
1985-01-16,848,694,,,,,,,,,,,,,,,,,-462.0,0.0,,
1985-01-17,843,694,,,,,,,,,,,,,,,,,-1156.0,0.0,,
1985-01-18,839,694,,,,,,,,,,,,,,,,,-1850.0,0.0,,
1985-01-19,839,3468,,,,,,,,,,-155.55555555555557,,,,,,,-1850.0,0.0,,
1985-01-21,839,3468,,,,,0.0,100.00000000000001,,,,-119.75116640746576,,,,,,,-1850.0,0.0,,
1985-01-22,835,3468,,,,,0.0,100.0,,,0.0,-126.46793134598067,,,,,,,-5318.0,0.0,,
1985-01-23,830,3468,,,,,0.0,100.0,,,0.0,-136.53077537969642,,,,,,,-8786.0,0.0,,
1985-01-24,830,3468,,,,,0.0,100.0,,0.0,0.0,-113.54166666666657,,,,,,,-8786.0,0.0,,
1985-01-25,830,3468,,,,,0.0,100.0,,0.0,0.0,-98.89624724061783,,,,,,,-8786.0,0.0,,
1985-01-26,830,3468,,,,,0.0,100.0,,0.0,0.0,-88.03030303030323,,,867.4813002410986,846.1,824.7186997589015,,-8786.0,0.0,,
1985-01-28,830,3468,,,,,0.0,100.0,0.0,0.0,0.0,-80.45977011494253,-3.0373831775700935,-26.0,866.7690691655336,844.8,822.8309308344664,1.3820852152848009,-8786.0,0.0,399.71181556195967,
1985-01-29,830,3468,,,,,0.0,100.0,0.0,0.0,0.0,-73.07692307692278,-3.0373831775700935,-26.0,865.7396043130268,843.5,821.2603956869732,1.2772926167357326,-8786.0,0.0,650.6493506493506,
1985-01-30,830,3468,,,,,0.0,100.0,0.0,0.0,0.0,-64.77392218717183,-3.0373831775700935,-26.0,864.4045040476026,842.2,819.9954959523975,1.182883455184175,-8786.0,0.0,650.6493506493506,
