Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
1989-09-25,571,408800,,,,,,,,,,,,,,,,,408800.0,0.0,,
1989-09-26,551,1096000,,,,,,,,,,,,,,,,,-687200.0,0.0,,
1989-09-27,561,3647200,,,,,,,,,,,,,,,,,2960000.0,3191300.0,,
1989-09-28,566,1122400,,,,,,,,,,,,,,,,,4082400.0,3864740.0,,
1989-09-29,561,440000,,,,,,,,,,,,,,,,,3642400.0,3664740.0,,
1989-09-30,559,1082400,,,,,,,,,,,,,,,,,2560000.0,4314180.0,,
1989-10-04,544,100800,,,,,,,,,,,,,,,,,2459200.0,4263780.0,,
1989-10-05,541,457600,,,,,,,,,,,,,,,,,2001600.0,4149380.0,,
1989-10-06,534,140000,,,,,,,,,,,,,,,,,1861600.0,4079380.0,,
1989-10-07,535,197600,,,,,,,,,,,,,,,,,2059200.0,3881780.0,,
1989-10-10,533,298400,,,,,,,,,,,,,,,,,1760800.0,3848624.4444444445,,
1989-10-11,541,611200,,,,,,,,,,,,,,,,,2372000.0,4459824.444444444,,
1989-10-12,538,220000,,,,,,,,,,,,,,,,,2152000.0,4404824.444444444,,
1989-10-13,536,220800,,,,,,,,,,-67.45510293473504,,,,,,,1931200.0,4184024.444444444,,
1989-10-14,534,64800,,,,,7.290401608400505,43.88167489131544,,,,-85.19339738851905,,,,,,,1866400.0,4248824.444444444,,
1989-10-16,528,254400,,,,,6.672433968021618,45.45984891426135,,,11.272609819121447,-104.2624521072794,,,,,,,1612000.0,4197944.444444444,,
1989-10-17,525,206400,,,,,6.244886096056484,43.61487542241974,,,5.717054263565892,-103.09680565715702,,,,,,,1405600.0,3991544.444444444,,
1989-10-18,519,500000,,,,,5.659118681356526,45.77712273224218,,6.180017226528855,1.550387596899225,-138.57613522418026,,,,,,,905600.0,3491544.444444444,,
1989-10-19,504,520000,,,,,4.843650662418935,53.59053411241056,,2.422480620155039,0.0,-228.1920903954807,,,,,,,385600.0,2971544.444444444,,
1989-10-20,500,1192000,,,,,4.3087379887701385,56.8752053989888,,1.592064682837376,3.2258064516129035,-210.2310231023102,,,576.1254635844247,539.05,501.97453641557524,,-806400.0,2971544.444444444,,
1989-10-21,504,1057600,,,,,4.0668980375498185,53.68292567922259,21.00784130422565,4.287289771160739,9.636062861869313,-145.1466336224696,-11.733800350262698,-67.0,572.7302578981029,535.7,498.66974210189727,10.175219390571288,251200.0,3324077.7777777775,158.70841487279844,
1989-10-23,504,2498400,,,,,7.22335032547724,47.89309880518465,21.007841304225646,9.7668844212623,16.438783950304686,-110.97639386424163,-8.52994555353902,-47.0,572.1225418305276,533.35,494.57745816947255,10.313578082010283,251200.0,3324077.7777777775,127.95620437956204,
1989-10-24,511,1208800,,,,,10.1158525955453,43.666586992957846,28.4465217793499,16.950816720401974,24.77760334903192,-67.40740740740716,-8.9126559714795,-50.0,568.6032780033735,530.85,493.0967219966265,10.290400429986274,1460000.0,3807597.7777777775,-66.8567668348322,
1989-10-25,505,261600,,,,,9.484861996448007,40.94282192946196,26.2188312654402,22.35557581179701,25.850340136054424,-71.3429256594724,-10.777385159010601,-61.0,563.5021007785257,527.8,492.0978992214743,10.052875485562224,1198400.0,3633197.7777777775,-76.6928011404134,
1989-10-26,505,7126400,,,,,8.654357703874052,40.860267469540005,26.2188312654402,25.71951857666144,26.530612244897963,-66.90307328605202,-9.982174688057041,-56.0,558.5678417536785,525.0,491.4321582463215,10.049141398988718,1198400.0,3633197.7777777775,1519.6363636363637,
1989-10-27,500,184800,-18.67622013667392,,,,8.190931998811434,39.564742498916694,24.4507986345814,23.809523809523814,19.047619047619047,-75.078864353312,-10.554561717352415,-59.0,553.4472928769344,522.05,490.65270712306545,9.768966823008554,1013600.0,3509997.7777777775,-82.92682926829268,
1989-10-28,500,208000,-18.28816260085432,,,,8.653055673080607,37.407548474845164,24.450798634581396,20.52910052910053,16.00907029478458,-65.09711595055933,-8.088235294117647,-44.0,550.9516076754884,519.85,488.7483923245116,9.513089724754634,1013600.0,3301997.7777777775,106.34920634920636,
1989-10-30,504,405600,-17.45662849044453,,,69.57379182384669,9.839931915507,34.69155888778242,28.712037932199543,17.30536659108088,16.859410430839002,-48.53466761972843,-6.839186691312385,-37.0,548.2390476040499,518.0,487.7609523959501,9.412170776204304,1419200.0,3301997.7777777775,-11.363636363636363,38.49965409892771
1989-10-31,506,2448000,-16.44666155504717,,,69.33095456061605,8.098551754755352,41.42276780760579,30.767283945466747,20.41636512761133,28.3806146572104,-86.21823617339291,-5.2434456928838955,-28.0,546.3348280640732,516.6,486.8651719359268,10.23795621656405,3867200.0,5749997.777777778,1648.5714285714287,51.79744012627929
1989-11-01,500,540000,-15.946583055176973,,,67.24418877635665,12.729065778502578,37.230008002352356,28.19988910131018,26.841237677103937,35.283687943262414,-29.346485819974955,-6.542056074766355,-35.0,544.1639898342071,514.85,485.53601016579296,10.41636795936501,3327200.0,5209997.777777778,173.27935222672065,44.18931669110709
1989-11-02,506,340000,-14.894423739835077,,,65.82250425953005,11.654147618908354,37.924536950152735,33.997392267778324,35.760441292356184,43.61702127659574,-49.777777777778304,-5.065666041275797,-27.0,541.8160731740825,513.5,485.1839268259175,10.453524876070317,3667200.0,5549997.777777778,13.941018766756033,51.60969607095349
1989-11-03,506,216800,-13.900345373229982,,,64.09897851260796,12.88164227914888,36.710529079477205,33.99739226777833,43.786446020488576,52.45862884160757,64.61538461538498,-6.469500924214418,-35.0,537.2362708139107,511.75,486.26372918608934,10.0482001549963,3667200.0,5549997.777777778,-64.52879581151832,52.51137460285887
1989-11-04,506,119200,-12.963100551835964,,,62.58136270900369,12.66336673103856,36.0884802224605,33.99739226777832,53.87706855791962,65.55555555555556,86.23188405797195,-5.947955390334572,-32.0,532.6912954374852,510.15,487.6087045625147,9.549110809193627,3667200.0,5430797.777777778,-45.81818181818182,55.06662354309305
1989-11-06,499,64800,-12.6394688478739,3.0507083022340815,-15.690177150107981,61.863573640974835,11.801914885682152,40.43619420889565,30.631779962116088,61.189913317572895,65.55555555555556,-139.72055888223306,-6.902985074626866,-37.0,527.9377188084562,508.3,488.6622811915438,9.454186789630649,3602400.0,5430797.777777778,-70.65217391304348,54.04558823529412
1989-11-07,500,192000,-12.16209963425257,2.82246201268433,-14.9845616469369,60.30722667892599,14.409287988979973,37.67604943031662,31.649292685482784,63.333333333333336,58.888888888888886,-92.33511586452892,-6.367041198501872,-34.0,522.5924982413629,506.6,490.6075017586371,9.366072988881253,3794400.0,5430797.777777778,196.2962962962963,54.0757855448141
1989-11-08,495,168000,-12.04835338843236,2.348966606803632,-14.397319995235993,59.08577862655647,13.656377989985137,37.44913506961294,29.381033078909333,57.03703703703704,46.666666666666664,-146.45669291338623,-6.25,-33.0,518.3734868793467,504.95,491.5265131206532,9.164249873461328,3626400.0,5318797.777777778,-33.9622641509434,40.80711656469232
1989-11-09,511,386400,-10.545579510499977,3.0813923877888136,-13.62697189828879,55.84276394323025,20.676232754481777,32.299477055783825,43.113901838193,55.53001277139208,61.03448275862069,65.49707602339227,-2.6666666666666665,-14.0,514.504267404354,504.25,493.9957325956461,9.629433722169622,4012800.0,5705197.777777778,87.20930232558139,58.81850724160632
1989-11-10,510,712800,-9.327787104592801,3.4393478349567914,-12.767134939549592,52.28238611213711,21.368521782466573,28.5667635490238,42.56928300286284,59.63828121781403,71.21369422815474,128.88888888888877,-1.7341040462427746,-9.0,512.0121860670589,503.8,495.5878139329411,9.945308602054764,3300000.0,5942797.777777778,42.56,56.66819256885634
1989-11-11,503,256800,-8.825781235524857,3.153082963219788,-11.978864198744645,49.074551773203446,19.288082701412492,25.785503716844616,38.94439399310149,70.55658550652988,79.42157953281423,57.8512396694202,-0.1984126984126984,-1.0,511.96888070238253,503.75,495.53111929761747,10.123403065038243,3043200.0,5804520.854700855,-50.61538461538461,52.22253552908369
1989-11-13,508,1941600,-7.933032691548306,3.236665205757072,-11.169697897305378,45.218492095201746,23.55399502774257,22.203874570188365,42.61823724418151,73.17839701599435,68.89991728701406,158.29875518672,1.6,8.0,512.378608630868,504.15,495.921391369132,10.694486810415496,4984800.0,4833720.854700855,62.88590604026846,48.11208774697618
1989-11-14,506,1140800,-7.302725055195765,3.0935782736876902,-10.396303328883455,41.72730689122373,21.61410058938425,20.375175330930595,41.56515836615494,69.35594788764978,59.74634684312104,79.74384900573007,0.3968253968253968,2.0,512.5174058809275,504.25,495.9825941190724,10.769388210327108,3844000.0,4263320.854700855,7.866868381240544,48.068456880702335
1989-11-15,506,320000,-6.72567234802267,2.936504784688628,-9.662177132711298,38.559855742198714,20.265984849561324,19.104333897964832,41.56515836615493,62.25530741659774,58.11965811965812,85.9649122807013,0.3968253968253968,2.0,512.6512047318444,504.35,496.04879526815563,10.668615850148477,3844000.0,3943320.854700855,-87.1918027537624,44.35115350488021
1989-11-16,513,506400,-5.638515129034943,3.2189296029410848,-8.857444731976027,35.6806639855595,18.990401501368694,17.90186728311964,46.675103900195865,59.10397434312896,59.445918066607724,133.5273197542829,0.3913894324853229,2.0,513.1096766683287,504.45,495.79032333167135,10.574239023666419,4350400.0,4112120.854700855,-58.107213765718065,45.643751517338906
1989-11-17,504,100800,-5.440445910408869,2.733599057253727,-8.174044967662596,33.3500807099739,17.784875348244185,20.29215407988629,41.73571601232013,56.56744277433933,52.136752136752136,28.378378378378258,-0.19801980198019803,-1.0,513.0579443287651,504.4,495.7420556712349,10.485780429444736,4249600.0,4011320.854700855,-61.46788990825688,37.1930549788989
1989-11-18,504,87200,-5.223264090568932,2.360624701674931,-7.583888792243863,31.772810099981825,16.186492648378124,21.23376192348985,41.73571601232013,52.136752136752136,44.82758620689655,-1.4644351464431802,-0.19801980198019803,-1.0,513.0050563256397,504.35,495.69494367436033,10.626188473185836,4249600.0,3977782.3931623935,-98.77638078132016,32.08797926350512
1989-11-20,498,180800,-5.472215495645173,1.6893386372789525,-7.161554132924126,30.593120048675875,15.49434957631326,21.75114606026369,38.709713227323284,41.51684841340013,27.586206896551726,-100.30358227079482,-0.4,-2.0,513.1466285749151,504.25,495.3533714250849,10.369337747341236,4068800.0,3796982.3931623935,-2.1645021645021645,30.73891482902146
1989-11-21,494,108000,-5.923989781723151,0.9900514809607799,-6.914041262683931,30.626058888891787,14.389927307383726,27.328648773986625,36.835523977690734,31.406677613574164,21.806239737274222,-167.0380687093788,-1.2,-6.0,513.7576500753237,503.95,494.14234992467635,10.348944329609047,3960800.0,3904982.3931623935,-48.07692307692308,34.590197732886885
1989-11-22,494,428000,-6.210434139399922,0.5628856986272073,-6.773319838027129,30.93655157090875,13.46002992925586,27.716679950861046,36.83552397769074,22.533056779880738,18.206723705816263,-150.2824858757066,-1.9841269841269842,-10.0,514.1733390322229,503.45,492.72666096777704,10.274847286443093,3960800.0,4332982.393162394,5.522682445759369,42.25607133080443
1989-11-23,493,259200,-6.443854258498277,0.26357246362308206,-6.707426722121359,30.16875444388125,16.921883161036114,25.913313229230965,36.34803231558648,20.213176619710193,20.626566416040102,-94.06087602078753,-2.569169960474308,-13.0,514.3689238911835,502.8,491.23107610881647,10.205163883062406,3701600.0,4188982.393162394,-89.41176470588235,43.39782447748718
1989-11-24,488,149600,-6.952159431484176,-0.19578616749025368,-6.756373263993923,29.777864144930966,15.476025011872787,25.835276915975776,33.98110849199152,18.79238325699306,17.54385964912281,-112.4586164837084,-2.4,-12.0,515.4151428293453,502.2,488.98485717065466,10.302814905209098,3552000.0,4039382.393162394,-72.29629629629629,35.50358448053895
1989-11-25,489,232000,-7.191405257253962,-0.34802559460803106,-6.843379662645931,29.418888903955725,14.795324349632045,24.69893279063441,34.873929987148244,17.109440267335007,13.157894736842104,-104.32382704691855,-3.3596837944664033,-17.0,515.6227012159577,501.35,487.0772987840424,10.06974023522943,3784000.0,3884715.7264957274,-31.764705882352942,34.810584152689415
