Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
1988-05-04,1248,21764,,,,,,,,,,,,,,,,,21764.0,21764.0,,
1988-05-06,1240,5727,,,,,,,,,,,,,,,,,16037.0,21764.0,,
1988-05-07,1222,11455,,,,,,,,,,,,,,,,,4582.0,21764.0,,
1988-05-09,1170,11455,,,,,,,,,,,,,,,,,-6873.0,21764.0,,
1988-05-10,1161,11455,,,,,,,,,,,,,,,,,-18328.0,21764.0,,
1988-05-11,1170,11455,,,,,,,,,,,,,,,,,-6873.0,21764.0,,
1988-05-12,1170,115,,,,,,,,,,,,,,,,,-6873.0,21764.0,,
1988-05-13,1135,1145,,,,,,,,,,,,,,,,,-8018.0,21764.0,,
1988-05-14,1135,1145,,,,,,,,,,,,,,,,,-8018.0,21764.0,,
1988-05-16,1126,1145,,,,,,,,,,,,,,,,,-9163.0,21764.0,,
1988-05-17,1126,1145,,,,,,,,,,,,,,,,,-9163.0,21764.0,,
1988-05-18,1161,160367,,,,,,,,,,,,,,,,,151204.0,182131.0,,
1988-05-19,1187,46277,,,,,,,,,,,,,,,,,197481.0,179408.82352941178,,
1988-05-20,1240,138717,,,,,,,,,,105.37939418498601,,,,,,,336198.0,318125.8235294118,,
1988-05-21,1257,50745,,,,,65.46523384232344,29.148546111541133,,,,157.42286410953758,,,,,,,386943.0,267380.8235294118,,
1988-05-24,1275,30470,,,,,51.570127989709015,36.97833860039912,,,93.78736201268934,138.64582397508434,,,,,,,417413.0,297850.8235294118,,
1988-05-25,1248,5384,,,,,44.80664475094078,32.128585786692604,,,89.93288590604027,119.89336887704087,,,,,,,412029.0,294928.08067226893,,
1988-05-26,1231,4124,,,,,41.93014628471473,33.4647131738958,,89.27885967164217,84.11633109619687,76.03833865814731,,,,,,,407905.0,290804.08067226893,,
1988-05-27,1205,9737,,,,,37.92050980780943,39.82725508462025,,80.8351976137211,68.45637583892618,35.708558829425,,,,,,,398168.0,281067.08067226893,,
1988-05-28,1222,37686,,,,,32.401908658413554,42.83069900154002,,71.73750932140193,62.639821029082775,22.94851519943769,,,1289.9347046312926,1196.45,1102.9652953687075,,435854.0,318753.08067226893,,
1988-05-30,1275,402520,,,,,43.34595366641064,35.896463310946494,59.67169748389409,67.85980611483967,72.48322147651007,100.30076601344037,2.1634615384615383,27.0,1294.9320750318864,1197.8,1100.6679249681135,29.037156982982257,838374.0,721273.080672269,1749.476199228083,
1988-05-31,1292,363688,,,,,51.621684170800684,30.652893334092262,61.97771151773027,72.48730248830418,82.33886495931974,127.55116443189814,4.193548387096774,52.0,1304.448834688333,1200.4,1096.3511653116673,30.778247881875746,1202062.0,357585.080672269,6250.410337000175,
1988-06-01,1336,328522,,,,,49.04864627979044,26.486297772567788,67.10269504966922,82.5981776903849,92.9724466353249,142.63587460582423,9.328968903436989,114.0,1325.6004602501596,1206.1,1086.5995397498402,32.34682175279293,1530584.0,531508.4924369749,2767.935399388913,
1988-06-02,1379,290836,,,,,52.54137820366476,23.626360577693756,71.10871618323517,89.42791940998984,92.9724466353249,163.92081736909347,17.863247863247864,209.0,1356.4134691404442,1216.55,1076.6865308595557,33.11584534884136,1821420.0,822344.4924369749,2438.9436927106067,
1988-06-03,1423,284422,,,,,57.58791834246569,21.114037790471087,74.45879424401353,94.90721722681191,98.77675840978593,188.4429483859827,22.56675279931094,262.0,1393.3036281296568,1229.65,1065.9963718703434,33.8844884225588,2105842.0,1106766.4924369748,2382.9506765604538,
1988-06-04,1414,67239,79.83421062669368,,,,58.0820678397097,19.775844052462812,72.64511399582136,96.14288103461975,96.6794380587484,155.6788166930798,20.854700854700855,244.0,1421.4955120508162,1241.85,1062.2044879491837,33.33893246811309,2038603.0,1039527.4924369748,486.98384984722827,
1988-06-07,1371,101375,78.59125295412332,,,,52.19064549000764,27.913198711385135,64.71707227166642,94.4411246636281,87.86717752234995,94.49810092240917,17.17948717948718,201.0,1436.7565930660846,1251.9,1067.0434069339155,33.99482731733363,1937228.0,938152.4924369748,88052.17391304347,
1988-06-08,1388,134593,78.07792425961225,,,27.84964362614916,48.957069456701625,26.183780546144693,66.24989356489179,88.59088974031503,81.22605363984674,82.2250148357593,22.290748898678412,253.0,1450.300881559146,1264.55,1078.7991184408538,33.461594189445194,2071821.0,938152.4924369748,11654.847161572052,59.089335423973615
1988-06-09,1379,49141,76.06801802591144,,,28.111291284481766,46.7954564857821,25.02768194211542,64.6838890283705,81.94976585781183,76.75606641123882,67.79941002949833,21.497797356828194,244.0,1458.879486904235,1276.75,1094.620513095765,32.44728432398733,2022680.0,889011.4924369748,4191.790393013101,58.84729035583211
1988-06-10,1336,15349,70.1962337342552,,,26.50698174469721,42.02212921051734,32.67516393183071,57.81126417795103,76.75606641123882,72.2860791826309,25.51466441060359,18.650088809946713,210.0,1457.2122016802557,1287.25,1117.2877983197443,33.12892753555813,2007331.0,873662.4924369748,1240.524017467249,46.84694195917272
1988-06-11,1336,47995,64.79587585635613,,,24.78312276474729,35.647426025992516,42.888255342105,57.81126417795104,71.56236696466581,65.64495530012772,-16.282168417846815,18.650088809946713,210.0,1451.7667198715774,1297.75,1143.7332801284226,35.47632327981173,2007331.0,921657.4924369748,4091.703056768559,53.03106069937146
1988-06-13,1336,42726,59.82641169724616,,,23.27386253568995,33.6081035207812,40.43469854772018,57.81126417795103,66.02809706257982,60.15325670498084,-8.043380027112846,15.073212747631352,175.0,1447.8060508258577,1306.5,1165.1939491741423,34.881146509913584,2007331.0,964383.4924369748,-73.35736155194024,52.633341427784536
1988-06-14,1318,6529,53.81527696635089,,,21.944913908459302,32.23328266189069,38.78061928817549,54.96019338819058,61.21753937845892,57.854406130268195,-26.14240170031896,11.036225779275485,131.0,1443.3043281430598,1313.05,1182.79567185694,33.83430371204883,2000802.0,957854.4924369748,-85.89147956868423,53.64308309982514
1988-06-15,1310,22680,47.854242325719724,-19.81902950164347,67.6732718273632,20.598725929375586,37.752948975954496,32.56409180735092,53.72073665725992,54.746700723712216,46.23243933588761,-27.231020613373442,5.645161290322581,70.0,1442.4538919176048,1316.55,1190.6461080823951,36.54062103523136,1978122.0,935174.4924369748,-83.65016544475442,46.40044651041718
1988-06-16,1318,46506,43.276745187610004,-19.517221311802558,62.79396649941256,18.880912928847515,35.6987184790629,34.55921560631154,54.79387761177633,46.743295019157095,36.14303959131546,-86.93639291465354,4.852824184566428,61.0,1442.5054921474216,1319.6,1196.6945078525782,35.901931295855334,2024628.0,981680.4924369748,-8.353532367720957,47.76434244488359
1988-06-17,1310,10424,38.55902811145438,-19.387950710366546,57.94697882182093,17.34786938152458,35.06646446601531,33.94714313744456,53.4882917023512,36.39846743295019,26.81992337164751,-87.51781714518434,2.7450980392156863,35.0,1442.6517312324927,1321.35,1200.0482687675071,34.228986377856444,2014204.0,981680.4924369748,-65.78930095175582,49.217389544810906
1988-06-18,1310,46735,34.42339190521898,-18.818869533281564,53.24226143850054,16.21108837170143,33.62352085906913,36.66514020335139,53.4882917023512,29.927628778203495,26.81992337164751,-91.42857142857143,4.967948717948718,62.0,1441.1778458637866,1324.45,1207.7221541362135,33.265522481998325,2014204.0,1028415.4924369748,768.0349182763745,55.70236874508937
1988-06-20,1310,56816,30.79093172192688,-17.961063773258928,48.75199549518581,14.949843623417683,36.28992864391815,35.1922658277277,53.488291702351205,26.309067688378033,25.28735632183908,-61.32977540582588,6.417546709991877,79.0,1437.2951789566457,1328.4,1219.5048210433545,32.308850560551356,2014204.0,971599.4924369748,1277.6915615906887,41.930945739992
