Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2000-08-22,3844,921196,,,,,,,,,,,,,,,,,921196.0,0.0,,
2000-08-23,4306,669968,,,,,,,,,,,,,,,,,1591164.0,669968.0,,
2000-08-24,4517,5719430,,,,,,,,,,,,,,,,,7310594.0,-307616.3025540275,,
2000-08-25,3979,2105730,,,,,,,,,,,,,,,,,5204864.0,-2413346.3025540276,,
2000-08-28,3748,3009450,,,,,,,,,,,,,,,,,2195414.0,-3839743.1518690963,,
2000-08-29,3989,3319724,,,,,,,,,,,,,,,,,5515138.0,-3000556.415809617,,
2000-08-30,4008,1925908,,,,,,,,,,,,,,,,,7441046.0,-4261402.660413934,,
2000-08-31,3777,1014700,,,,,,,,,,,,,,,,,6426346.0,-4637775.063974765,,
2000-09-01,3739,678167,,,,,,,,,,,,,,,,,5748179.0,-5099822.910128611,,
2000-09-04,3575,628169,,,,,,,,,,,,,,,,,5120010.0,-5517391.898567918,,
2000-09-05,3595,796473,,,,,,,,,,,,,,,,,5916483.0,-5382922.431035451,,
2000-09-06,3518,533250,,,,,,,,,,,,,,,,,5383233.0,-5777665.937528957,,
2000-09-07,3104,1025327,,,,,,,,,,,,,,,,,4357906.0,-6802992.937528957,,
2000-09-08,3133,1047445,,,,,,,,,,-165.41589105515834,,,,,,,5405351.0,-6661847.866606971,,
2000-09-14,3095,531559,,,,,17.182030910199728,40.67087841839798,,,,-139.73650774237828,,,,,,,4873792.0,-6188988.633478137,,
2000-09-15,3085,585404,,,,,19.71274609679865,37.34538832795933,,,10.995490808185918,-109.87798457065679,,,,,,,4288388.0,-6259431.43845739,,
2000-09-18,2758,601503,,,,,17.393157144888683,41.30067388072062,,,7.577819906798208,-140.12446903091967,,,,,,,3686885.0,-6684431.627646579,,
2000-09-19,2672,802051,,,,,16.515856873425626,41.42627683368292,,7.682471611088212,4.474104118280509,-129.46709785429948,,,,,,,2884834.0,-7287280.418496253,,
2000-09-20,2970,1210220,,,,,20.20107947279135,37.462773018367194,,6.620943361926771,7.810906060701598,-84.50566865780807,,,,,,,4095054.0,-6077060.418496253,,
2000-09-21,3085,1680745,,,,,21.402290340370545,33.16290056537662,,9.478809912447241,16.15141955835962,-62.2557138125207,,,4529.229664270439,3524.85,2520.4703357295607,,5775799.0,-4396315.418496253,,
2000-09-22,2720,242304,,,,,19.10389914590108,29.60153785931362,32.72577391735718,13.787460756489997,17.400056650408775,-88.8498283634559,-29.240374609781476,-1124.0,4519.996807670999,3468.65,2417.3031923290014,317.9794109966684,5533495.0,-4638619.418496253,-73.69680285194464,
2000-09-25,2480,1211749,,,,,17.265751929601457,35.83107516228542,29.623583464784314,15.33620605043985,12.457141942551154,-125.87481663312622,-42.405945192754295,-1826.0,4439.066586476824,3377.35,2315.6334135231755,319.345769834864,4321746.0,-5294983.46016292,80.86669811095456,
2000-09-26,2441,595145,,,,,16.53160790480716,35.724870564496655,29.15091087237813,11.776942937671643,5.473630220055,-134.46620272967587,-45.959707770644236,-2076.0,4273.417086166956,3273.55,2273.682913833044,306.385351137676,3726601.0,-5179260.821274031,-89.59433020423364,
2000-09-27,2595,1021610,,,,,21.40986258113736,32.90976297690502,33.5574880417791,9.248069950864048,9.813437689985987,-89.70979303965774,-34.78260869565217,-1384.0,4190.82539756448,3204.35,2217.8746024355196,303.6866056080059,4748211.0,-5031146.360307489,-51.48428336016488,
2000-09-28,2537,733452,,,,,20.65912972015759,30.846749770392705,32.74995285400397,9.351404816069474,12.767146538167433,-77.84042513794762,-32.31056563500534,-1211.0,4137.997485412229,3143.8,2149.602514587771,297.2116632158786,4014759.0,-5633130.548986734,-75.6283706325076,
2000-09-29,2557,691183,-509.5213793616681,,,,19.527402055158593,31.173597123319503,33.33227863768427,13.078859690092164,16.655994842123075,-82.50825082508251,-35.89872148408122,-1432.0,4017.6716494956363,3072.2,2126.7283505043633,289.2397561598444,4705942.0,-5519199.28525047,-79.17950407925478,
2000-10-02,2854,1727186,-466.79466265952215,,,,24.347125858134145,28.436007911306387,41.28031736725296,19.13315720607309,27.97633023792876,-7.399317063372412,-28.79241516966068,-1154.0,3860.0633624986363,3014.5,2168.9366375013637,289.76660310989973,6433128.0,-3792013.28525047,-10.318353732369355,
2000-10-04,2768,1561154,-434.8601163810945,,,23.797912990474714,27.15669521785653,26.115847934629496,39.832864925288774,27.94880536365052,39.21409101089973,35.62453806356259,-26.714323537198837,-1009.0,3739.077605959943,2964.05,2189.0223940400574,289.04850011340625,4871974.0,-5028626.310340076,53.85374987681088,45.02703190605348
2000-10-05,2874,1052636,-396.4286614178691,,,21.472499721997508,25.676829622379874,24.692701835845508,42.45094705057854,40.13800072556381,53.22358092786296,56.65051401657521,-23.13452794864937,-865.0,3609.783192828389,2920.8,2231.8168071716113,282.09151763384625,5924610.0,-4964441.188388856,55.21781508094614,48.2916616420439
2000-10-06,2903,664103,-359.48745127382836,,,19.877518015223753,26.282992783023836,23.323927893216148,43.16318027613298,51.12524152298416,60.93805263018978,89.98877884568458,-18.797202797202797,-672.0,3507.4014511430946,2887.2,2266.998548856905,275.69078985977245,6588713.0,-5135003.161066452,5.7204351058393526,46.37622916201246
2000-10-09,2739,614022,-339.5308057048637,,,18.485091288090107,23.749609312153144,26.735284756765317,40.20143408220434,58.90623706120784,62.55707762557078,27.21567072969324,-23.810848400556328,-856.0,3374.983603214424,2844.4,2313.816396785576,278.95738921460105,5974691.0,-5388498.48216737,-22.907367858044154,43.935069381927924
2000-10-10,2672,385681,-325.3706895957903,,,17.734078743914658,21.703411992178527,26.926634854740616,39.049166043985295,60.175697908693394,57.031963470319646,-15.621216583226937,-24.04775440591245,-846.0,3237.4834631678164,2802.1,2366.7165368321835,280.09058639358085,5589010.0,-5475503.960281848,-27.673511486169716,46.4515646813956
2000-10-11,2412,413716,-331.3093941873053,,,18.00383460366589,19.79839050570424,30.0633435762663,34.95642792018609,51.40030441400305,34.61187214611873,-109.94606256742173,-22.29381443298969,-692.0,3211.320909827378,2767.5,2323.679090172622,281.82132006201687,5175294.0,-5709506.222725287,-59.65033594160692,40.90334989698049
