Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
1996-07-01,26978,8896,,,,,,,,,,,,,,,,,8896.0,2938.857142857143,,
1996-07-02,26754,9219,,,,,,,,,,,,,,,,,-323.0,2331.9123029994917,,
1996-07-03,26754,7776,,,,,,,,,,,,,,,,,-323.0,10107.912302999492,,
1996-07-04,27353,4381,,,,,,,,,,,,,,,,,4058.0,14488.912302999492,,
1996-07-05,27653,5551,,,,,,,,,,,,,,,,,9609.0,16339.245636332826,,
1996-07-06,27878,1137,,,,,,,,,,,,,,,,,10746.0,16339.245636332826,,
1996-07-08,26754,5442,,,,,,,,,,,,,,,,,5304.0,10897.245636332826,,
1996-07-09,27353,6045,,,,,,,,,,,,,,,,,11349.0,16942.245636332824,,
1996-07-10,27053,6517,,,,,,,,,,,,,,,,,4832.0,13032.045636332823,,
1996-07-11,26978,10057,,,,,,,,,,,,,,,,,-5225.0,19729.246081767124,,
1996-07-12,26978,10278,,,,,,,,,,,,,,,,,-5225.0,23149.14999635787,,
1996-07-13,26154,8191,,,,,,,,,,,,,,,,,-13416.0,19330.569925183496,,
1996-07-15,25030,15036,,,,,,,,,,,,,,,,,-28452.0,4294.569925183496,,
1996-07-16,25480,10850,,,,,,,,,,-206.70799138583286,,,,,,,-17602.0,15144.569925183496,,
1996-07-18,25854,5496,,,,,15.239990974688652,38.33647084228567,,,,-114.76628721969486,,,,,,,-12106.0,18807.211882188683,,
1996-07-19,25854,12090,,,,,15.833540150142857,35.09286061256086,,,38.65314473801263,-67.75694721446648,,,,,,,-12106.0,17443.947787233195,,
1996-07-20,25854,1026,,,,,15.833540150142857,35.09286061256087,,,41.98025086736055,-59.857740561238764,,,,,,,-12106.0,17443.947787233195,,
1996-07-22,25704,7772,,,,,15.015923636395971,38.44455256016126,,40.426415206239064,40.64585001334401,-64.27047332832483,,,,,,,-19878.0,18981.723188302713,,
1996-07-23,25704,5679,,,,,14.376753151438539,36.80811487581595,,40.64585001334401,39.31144915932746,-53.88373333333347,,,,,,,-19878.0,18962.729877265923,,
1996-07-24,26229,5701,,,,,18.626729673993136,34.06615802350629,,41.10913727120454,43.37011264094215,-12.827007857889798,,,28052.10741779721,26517.45,24982.79258220279,,-14177.0,24663.729877265923,,
1996-07-25,26004,8309,,,,,17.428306693532765,31.874379469465982,43.38543174838038,44.02946828907307,49.40684306694963,-19.26832003098785,-3.6103491734005484,-974.0,28003.6739557711,26468.75,24933.8260442289,657.2898645871761,-22486.0,32972.72987726593,-6.5984712230215825,
1996-07-26,25480,5699,,,,,15.62619857660344,32.70629537714742,38.49145854021212,47.51158843731999,49.75780960406821,-36.515536071373795,-4.761904761904762,-1274.0,27992.18975125066,26405.05,24817.91024874934,664.2435193234483,-28185.0,27273.729877265927,-38.18201540297212,
1996-07-27,25480,1943,,,,,14.801013730475258,36.25992648085977,38.49145854021212,47.96012149219113,44.71571180555555,-85.803120155374,-4.761904761904762,-1274.0,27969.10062893553,26341.35,24713.59937106447,642.8645198790333,-28185.0,29216.729877265927,-75.01286008230453,
1996-07-29,25480,2276,,,,,16.14493253624474,34.313712318118405,38.491458540212115,44.50115644209681,39.029947916666664,-60.83446951968129,-6.847512155887837,-1873.0,27847.1337873135,26247.7,24648.2662126865,623.4559307116252,-28185.0,29679.23255106272,-48.0483907783611,
1996-07-30,25629,6338,,,,,18.55012204017331,32.43866853638262,40.70958508395622,42.14203732027355,42.68045223859844,-5.216508004998109,-7.319278197663906,-2024.0,27629.33748266626,26146.5,24663.66251733374,605.8392595520678,-21847.0,28391.296722185714,14.17762565303549,
1996-07-31,25480,3252,-530.8759093670815,,,,16.771481776720112,33.596140290505666,39.220761279626444,43.96587969701528,50.187238935780734,-33.021417540437135,-8.601764832484397,-2398.0,27303.521673400526,26026.6,24749.67832659947,610.5555449745189,-25099.0,28034.252211799958,186.01583113456465,
1996-08-01,25480,2757,-514.9287499597413,,,,15.860292509885246,32.857466315956444,39.22076127962645,50.187238935780734,57.69402563296304,-87.03269506317604,-4.761904761904762,-1274.0,27215.190046275227,25962.9,24710.609953724776,594.5635577387204,-25099.0,30791.252211799958,-49.33847850055127,
1996-08-02,25629,2267,-484.68036296014543,,,31.861406550202492,28.4143191901247,27.954983040458377,41.58778752648384,54.96851795448013,57.02428929469662,81.38458800498307,-6.302782144554528,-1724.0,26960.36546498447,25876.7,24793.034535015533,629.8755212020241,-22832.0,29125.289578348,-62.49793217535153,45.067012654929805
1996-08-03,25480,1533,-467.3441012030853,,,29.80023191062357,25.666152852622336,32.99898539007592,39.950060001547335,54.27558765351034,48.10844803287137,-129.15900370092902,-5.814512253724171,-1573.0,26749.010246277416,25798.05,24847.089753722583,637.6903126512004,-24365.0,30658.289578348,-76.47690655209452,52.859556586227534
1996-08-05,24805,6719,-502.28185508341267,,,28.178009898120845,23.463689446971777,31.12074355135117,33.63397546796471,44.24147200812272,27.59167869680019,-162.15892886196366,-8.054711246200608,-2173.0,26570.240144407602,25689.4,24808.5598555924,640.1002984679269,-31084.0,23939.289578348,-33.190812369493884,44.379889148208534
1996-08-06,25105,6432,-499.99910550152345,,,27.504009332611297,20.514640117329876,31.698085936780345,38.20464876271916,32.550213606825615,21.950514090805274,-137.47427049279534,-6.94269404700126,-1873.0,26286.405304764976,25595.75,24905.094695235024,666.1965509128522,-24652.0,25777.003864062288,-37.41973146526561,46.99072599471778
1996-08-07,25480,6194,-462.59810106555597,,,26.913913356248266,19.56867773060837,30.236437238301345,43.339210777445416,25.330378276641255,26.448942042318308,-42.46649764578057,-2.5770436644490324,-674.0,26204.555245114774,25562.05,24919.544754885224,647.9074510731476,-18458.0,31971.003864062288,-24.380417531436944,50.00138350492217
1996-08-08,25255,5606,-445.9722645295042,,,25.956798789470707,20.525243008709623,28.809606959548628,41.178267751014445,29.16596406522703,39.098436062557504,-31.364523981489295,0.898921294446664,225.0,26185.302647053097,25573.3,24961.2973529469,630.9217539068428,-24064.0,26365.003864062288,-62.71614791167864,47.27966758688699
1996-08-09,24955,5826,-451.79564314621894,32.701700500033155,-484.4973436462521,26.081290370046762,19.158533114184337,33.54994618584877,38.485061379327064,34.11530205458448,36.79852805887764,-131.59978474784805,-2.0604395604395602,-525.0,26215.26328181951,25547.05,24878.83671818049,624.4312442671664,-29890.0,26365.003864062288,-46.30414746543779,43.61238768941381
1996-08-10,25255,3459,-427.27782704084166,45.77561328432836,-473.05344032517,25.972254183645624,18.832489150071726,31.305094112488717,42.44732586957333,36.41521005826434,33.34866605335787,-89.16420398575458,-2.3168561924653823,-599.0,26181.28066819202,25517.1,24852.919331807978,618.4063890641793,-26431.0,29824.003864062288,-37.06331877729258,53.53908666643663
1996-08-12,25330,7411,-397.21654288944046,60.66951794858369,-457.88606083802415,24.312302808864985,24.99868061591107,28.92688635260525,43.406605048138694,34.8819380558111,34.49862005519779,47.07877940019323,-2.0267656842268122,-524.0,26141.04702952486,25490.9,24840.752970475143,617.2428201478423,-19020.0,24268.846935848596,-38.70140612076096,47.52719313412512
1996-08-13,25255,6912,-375.12047647008876,66.21246749434835,-441.3329439644371,23.121935997055765,23.78067821822047,29.46639798442486,42.65816320985583,35.64857405703772,39.0984360625575,-19.097150938660878,-2.3168561924653823,-599.0,26096.45341462497,25460.95,24825.44658537503,602.8616255489147,-25932.0,22886.446935848595,573.6842105263158,51.08103135641589
1996-08-14,25105,7306,-365.4996782615344,60.66661256232214,-426.16629082385657,21.52370990605498,24.833546374890144,27.187714551701887,41.16390651402782,36.79852805887764,36.79852805887764,-7.462317766246243,-2.3303765950824773,-599.0,26074.274435991356,25431.0,24787.725564008644,602.63450042964,-33238.0,15580.446935848595,-5.9958826556870815,42.20994438709698
1996-08-16,25105,5810,-353.7967773487144,57.89561078011377,-411.69238812882816,20.820488916137815,23.144208779373706,30.19726226799289,41.16390651402783,36.415210058264336,33.34866605335787,-89.54123776845894,-2.3303765950824773,-599.0,26046.467221648134,25401.05,24755.632778351865,598.1082577223381,-33238.0,18070.446935848595,2.306744145095968,41.71218674130712
1996-08-17,24955,4289,-352.56177774637763,47.30448830596043,-399.86626605233806,20.185277821651084,21.776766535238945,28.413100516078913,39.625910865156776,32.96534805274456,28.748850045998164,-95.84255005388152,-4.85721910862023,-1274.0,25887.826620756958,25337.35,24786.87337924304,589.5443546797867,-37527.0,18070.446935848595,-24.767584634274687,45.126813422544515
1996-08-19,26004,8309,-263.89547574743847,108.77663224391972,-372.6721079913582,19.187826626243872,29.110089032429443,24.743083097697784,52.649336073164626,34.87682714913626,42.53296534805275,182.37300512111054,0.0,0.0,25887.826620756958,25337.35,24786.87337924304,615.9047708795874,-29218.0,26379.446935848595,0.0,55.471475987123576
1996-08-20,24430,10705,-316.9814730332,44.55250796652655,-361.53398099972657,19.249458863376713,23.889465927828972,35.79118699482821,39.26984830463866,34.98731949319654,33.68014308553872,-183.57665409777877,-4.1208791208791204,-1050.0,25957.5955016572,25284.85,24612.104498342796,674.6859199572912,-39923.0,19910.650144404746,87.8399719248991,41.293413314108626
