Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
1994-01-28,18388,1279,,,,,,,,,,,,,,,,,1279.0,0.0,,
1994-01-29,19044,183,,,,,,,,,,,,,,,,,1462.0,0.0,,
1994-01-31,19701,1690,,,,,,,,,,,,,,,,,3152.0,0.0,,
1994-02-01,20555,1173,,,,,,,,,,,,,,,,,4325.0,0.0,,
1994-02-02,21408,1127,,,,,,,,,,,,,,,,,5452.0,0.0,,
1994-02-03,22262,4705,,,,,,,,,,,,,,,,,10157.0,0.0,,
1994-02-04,23116,3685,,,,,,,,,,,,,,,,,13842.0,0.0,,
1994-02-05,23970,3959,,,,,,,,,,,,,,,,,17801.0,0.0,,
1994-02-07,24823,100990,,,,,,,,,,,,,,,,,118791.0,0.0,,
1994-02-08,25677,336790,,,,,,,,,,,,,,,,,455581.0,0.0,,
1994-02-12,26531,141587,,,,,,,,,,,,,,,,,597168.0,0.0,,
1994-02-14,27581,298295,,,,,,,,,,,,,,,,,895463.0,0.0,,
1994-02-15,28632,490742,,,,,,,,,,,,,,,,,1386205.0,0.0,,
1994-02-16,29683,3161931,,,,,,,,,,132.30401747479752,,,,,,,4548136.0,0.0,,
1994-02-17,29223,5042485,,,,,90.1569607458032,9.843039254196801,,,,106.77298400493615,,,,,,,-494349.0,-844680.2284263959,,
1994-02-18,30274,1907050,,,,,80.94619664399727,8.121293233706085,,,98.55876178838862,102.58314897648302,,,,,,,1412701.0,1062369.771573604,,
1994-02-19,29749,391092,,,,,75.05236038978009,7.529967458358552,,,96.7581650191737,93.11398883592746,,,,,,,1021609.0,828428.8948612753,,
1994-02-21,29420,418898,,,,,69.59521315991888,12.792710237815765,,96.76852077048353,94.9886355038883,72.52088503084299,,,,,,,602711.0,874500.5869086527,,
1994-02-22,30471,570443,,,,,69.70693182246322,11.28971751480839,,95.5784786756501,94.9886355038883,80.95317899919516,,,,,,,1173154.0,1444943.5869086527,,
1994-02-23,31522,955535,,,,,72.92965055312659,10.0886643931622,,95.58883442695996,96.78923227310325,102.82101167315182,,,33963.640264310336,25601.5,17239.359735689664,,2128689.0,2400478.5869086524,,
1994-02-24,32572,795873,,,,,75.70987671917052,9.052520815431437,90.38733803809308,97.25928925899719,100.0,126.45954281984459,77.13726343267348,14184.0,34509.73584819582,26310.7,18111.66415180418,934.9918393023469,2924562.0,3196351.5869086524,62126.19233776388,
