Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
1997-07-18,22600,449660,,,,,,,,,,,,,,,,,449660.0,449659.99999999994,,
1997-07-19,23300,35530,,,,,,,,,,,,,,,,,485190.0,425062.30769230763,,
1997-07-21,22400,40960,,,,,,,,,,,,,,,,,444230.0,427471.71945701353,,
1997-07-22,20700,15060,,,,,,,,,,,,,,,,,429170.0,412411.71945701353,,
1997-07-23,19400,19050,,,,,,,,,,,,,,,,,410120.0,412411.71945701353,,
1997-07-24,20900,42910,,,,,,,,,,,,,,,,,453030.0,455321.71945701353,,
1997-07-25,21000,25140,,,,,,,,,,,,,,,,,478170.0,449520.1809954751,,
1997-07-26,22000,18460,,,,,,,,,,,,,,,,,496630.0,467980.1809954751,,
1997-07-28,21600,130330,,,,,,,,,,,,,,,,,366300.0,389782.1809954751,,
1997-07-29,20700,5180,,,,,,,,,,,,,,,,,361120.0,385753.2921065862,,
1997-07-30,22300,22950,,,,,,,,,,,,,,,,,384070.0,408703.2921065862,,
1997-07-31,20900,8170,,,,,,,,,,,,,,,,,375900.0,404618.2921065862,,
1997-08-01,20600,5890,,,,,,,,,,,,,,,,,370010.0,401084.2921065862,,
1997-08-02,20500,3680,,,,,,,,,,-66.60237865638054,,,,,,,366330.0,397404.2921065862,,
1997-08-04,20400,4620,,,,,24.14909879669859,26.58717606144293,,,,-67.42966142107788,,,,,,,361710.0,395864.2921065862,,
1997-08-05,20000,4020,,,,,23.18956417540631,28.510799840311392,,,31.409295352323838,-94.02985074626835,,,,,,,357690.0,391844.2921065862,,
1997-08-06,19700,6290,,,,,21.79090792920798,29.806900267288384,,,30.39966503234869,-98.43971631205643,,,,,,,351400.0,385554.2921065862,,
1997-08-07,20300,4300,,,,,22.046679571489214,27.431225258750658,,32.39303771537654,35.37015276145711,-54.28973277074538,,,,,,,355700.0,387397.1492494434,,
1997-08-08,20300,28000,,,,,23.268236253380383,25.26283713386158,,35.43678611144878,40.54054054054054,-48.31970935513137,,,,,,,355700.0,380397.1492494434,,
