Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
1987-05-27,5294,10,,,,,,,,,,,,,,,,,10.0,0.0,,
1987-05-28,5594,10,,,,,,,,,,,,,,,,,20.0,0.0,,
1987-05-29,5894,10,,,,,,,,,,,,,,,,,30.0,0.0,,
1987-05-30,6193,10,,,,,,,,,,,,,,,,,40.0,0.0,,
1987-06-01,6493,10,,,,,,,,,,,,,,,,,50.0,0.0,,
1987-06-02,6793,10,,,,,,,,,,,,,,,,,60.0,0.0,,
1987-06-03,7092,10,,,,,,,,,,,,,,,,,70.0,0.0,,
1987-06-04,7492,10,,,,,,,,,,,,,,,,,80.0,0.0,,
1987-06-05,7891,10,,,,,,,,,,,,,,,,,90.0,0.0,,
1987-06-08,8291,10,,,,,,,,,,,,,,,,,100.0,0.0,,
1987-06-09,8690,10,,,,,,,,,,,,,,,,,110.0,0.0,,
1987-06-10,9090,10,,,,,,,,,,,,,,,,,120.0,0.0,,
1987-06-11,9490,10,,,,,,,,,,,,,,,,,130.0,0.0,,
1987-06-12,9889,10,,,,,,,,,,130.66361556064072,,,,,,,140.0,0.0,,
1987-06-13,10289,10,,,,,100.0,0.0,,,,128.56537050353083,,,,,,,150.0,0.0,,
1987-06-15,10888,10,,,,,100.0,0.0,,,100.0,134.74980918401758,,,,,,,160.0,0.0,,
1987-06-16,11487,10,,,,,100.0,0.0,,,100.0,138.761194538087,,,,,,,170.0,0.0,,
1987-06-17,12087,10,,,,,100.0,0.0,,100.0,100.0,140.82104372171764,,,,,,,180.0,0.0,,
1987-06-18,12686,10,,,,,100.0,0.0,,100.0,100.0,141.0780524902609,,,,,,,190.0,0.0,,
1987-06-19,13285,10,,,,,100.0,0.0,,100.0,100.0,139.63191890081276,,,13528.52798908831,8745.4,3962.27201091169,,200.0,0.0,,
1987-06-20,13885,10,,,,,100.0,0.0,100.0,100.0,100.0,136.1245520781191,162.27805062334718,8591.0,14179.04090544926,9174.95,4170.859094550742,461.9682665613714,210.0,0.0,0.0,
1987-06-22,14484,10,,,,,100.0,0.0,100.00000000000001,100.0,100.0,133.33333333333334,158.92027171969968,8890.0,14846.606644869176,9619.45,4392.293355130825,472.3582998761827,220.0,0.0,0.0,
1987-06-23,15083,10,,,,,100.0,0.0,100.0,100.0,100.0,130.29452660851976,155.90430946725485,9189.0,15526.199290474131,10078.9,4631.600709525869,481.71883055607395,230.0,0.0,0.0,
1987-06-24,15883,10,,,,,100.0,0.0,100.0,100.0,100.0,133.34784185709105,156.46697884708541,9690.0,16260.028841692249,10563.4,4866.771158307752,504.69467154929487,240.0,0.0,0.0,
1987-06-25,16682,10,,,,,100.0,0.0,100.0,100.0,100.0,135.1965146459029,156.92283998151856,10189.0,17038.35458134096,11072.85,5107.345418659043,525.4786239573664,250.0,0.0,0.0,
1987-06-26,17481,10,3619.8593709495763,,,,100.0,0.0,100.0,100.0,100.0,136.00516123291175,157.33843662593847,10688.0,17851.796865065546,11607.25,5362.703134934453,544.4045462710193,260.0,0.0,0.0,
1987-06-27,18280,10,3697.6798227561503,,,,100.0,0.0,100.0,100.0,100.0,135.89373375685815,157.7552171460801,11188.0,18691.239957231024,12166.65,5642.060042768975,561.6891627158014,270.0,0.0,0.0,
1987-06-29,19079,32035,3780.249352544708,,,100.0,99.99999999999999,0.0,100.0,100.0,100.0,134.97502446057985,154.6583021890016,11587.0,19558.73325472236,12746.0,5933.2667452776395,577.517146864067,32305.0,0.0,320250.0,100.0
1987-06-30,19878,32035,3865.5987066235502,,,100.0,100.00000000000001,0.0,100.0,100.0,100.0,133.32198359395178,151.9072360917501,11987.0,20447.133755508185,13345.35,6243.566244491816,592.0468415522698,64340.0,0.0,320250.0,100.0
1987-07-01,20677,32035,3952.1533435044294,,,100.0,100.0,0.0,100.0,100.0,100.0,130.65431074755213,149.39090580147146,12386.0,21349.941470889957,13964.65,6579.3585291100435,605.4147953473002,96375.0,0.0,320250.0,100.0
1987-07-02,21676,32035,4054.6203285990814,,,100.0,99.99999999999999,0.0,100.0,100.0,100.0,132.59625962596257,149.4361334867664,12986.0,22307.11354889196,14613.95,6920.786451108042,630.4723858281285,128410.0,0.0,320250.0,100.0
1987-07-03,22675,32035,4168.386538247611,,,100.0,100.00000000000001,0.0,100.0,100.0,100.0,133.6864593816763,149.44994499449945,13585.0,23307.720811626852,15293.2,7278.679188373149,653.6183959994324,160445.0,0.0,320250.0,100.0
1987-07-04,23674,32035,4289.708935684519,,,100.0,100.0,0.0,100.00000000000001,100.0,100.0,134.01777505363165,149.46259220231823,14184.0,24341.03423829106,16002.4,7663.765761708939,675.0363870375791,192480.0,0.0,320250.0,100.0
1987-07-06,23974,32035,4359.80814808455,383.3565317518637,3976.4516163326866,100.0,100.0,0.0,100.0,100.0,100.0,120.81294693263082,142.43098392152896,14085.0,25237.974522604913,16706.65,8175.32547739509,652.0554865566671,224515.0,0.0,320250.0,100.0
