Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
1996-07-01,5504,26788,,,,,,,,,,,,,,,,,26788.0,-138.7979274611399,,
1996-07-02,5408,10358,,,,,,,,,,,,,,,,,16430.0,-85.12953367875647,,
1996-07-03,5408,25872,,,,,,,,,,,,,,,,,16430.0,25786.870466321245,,
1996-07-04,5311,21539,,,,,,,,,,,,,,,,,-5109.0,4247.870466321245,,
1996-07-05,5504,32250,,,,,,,,,,,,,,,,,27141.0,36497.87046632124,,
1996-07-06,5408,20902,,,,,,,,,,,,,,,,,6239.0,15595.870466321241,,
1996-07-08,5408,10531,,,,,,,,,,,,,,,,,6239.0,5064.870466321241,,
1996-07-09,5408,22105,,,,,,,,,,,,,,,,,6239.0,5179.404145077718,,
1996-07-10,5311,8823,,,,,,,,,,,,,,,,,-2584.0,-3643.5958549222823,,
1996-07-11,5408,24758,,,,,,,,,,,,,,,,,22174.0,21114.40414507772,,
1996-07-12,5408,13597,,,,,,,,,,,,,,,,,22174.0,34711.404145077715,,
1996-07-13,5311,3808,,,,,,,,,,,,,,,,,18366.0,30903.404145077715,,
1996-07-15,5215,20623,,,,,,,,,,,,,,,,,-2257.0,10280.404145077715,,
1996-07-16,5215,25155,,,,,,,,,,-237.53098976543143,,,,,,,-2257.0,35435.404145077715,,
1996-07-18,5311,19864,,,,,8.400368416458713,23.41617038548079,,,,-98.04297774366752,,,,,,,17607.0,55299.404145077715,,
1996-07-19,5311,17651,,,,,16.072042948776208,21.45501361131994,,,40.02760524499655,-12.241054613936438,,,,,,,17607.0,37648.404145077715,,
1996-07-20,5311,14295,,,,,13.62661588193241,33.40595452728988,,,50.0,-116.8824230468897,,,,,,,17607.0,51943.404145077715,,
1996-07-22,5215,12094,,,,,12.599683444673252,30.888406619656813,,43.912483268194016,41.70984455958549,-93.2638815066793,,,,,,,5513.0,39849.404145077715,,
1996-07-23,5215,17399,,,,,10.832249218725286,33.605647010468964,,41.70984455958549,33.41968911917098,-103.53895786489284,,,,,,,5513.0,39939.55440414507,,
1996-07-24,5118,17224,,,,,9.410619413682989,35.72324996662094,,32.840520093546125,23.392026601881913,-159.5477386934667,,,5536.679308424884,5335.4,5134.120691575115,,-11711.0,39850.310880829005,,
1996-07-25,5022,10372,,,,,8.79249138671201,33.37680059403745,27.023543450960542,23.942410365560885,15.015515375629754,-178.69519193269758,-8.757267441860465,-482.0,5539.661205111551,5311.3,5082.93879488845,134.89383986307743,-22083.0,29478.310880829005,-61.28117067343587,
1996-07-26,4925,5697,,,,,8.205980735532329,37.82095804027831,23.89424968483544,15.015515375629754,6.639004149377594,-195.98646433919373,-8.93121301775148,-483.0,5566.060935604898,5287.15,5008.239064395101,132.02064948064802,-27780.0,23781.310880829005,-44.99903456265688,
1996-07-27,5022,4020,,,,,13.400279634424878,33.09112565371946,32.16312202272299,9.449597145556854,6.694271911663216,-120.98656219722763,-7.137573964497041,-386.0,5563.554768307851,5267.85,4972.1452316921495,136.52784640565903,-23760.0,23802.139896373046,-84.46196660482374,
1996-07-29,5118,6210,,,,,12.558951856804937,31.013521009286162,39.06077919634439,11.115692894513026,20.013802622498275,-67.92915017900904,-3.6339672378083225,-193.0,5560.1725815368,5258.2,4956.2274184632,133.6022527978407,-17550.0,30012.139896373046,-71.16857792840894,
1996-07-30,5118,5669,,,,,18.150747228768054,29.030227499766365,39.06077919634439,20.013802622498275,33.333333333333336,-20.127642053253524,-7.013081395348837,-386.0,5524.461131808934,5238.9,4953.338868191066,131.01738801070536,-17550.0,24343.139896373046,-82.4217054263566,
1996-07-31,5118,6052,-126.64087539810134,,,,16.981272528911752,27.15977466583344,39.06077919634439,31.10190936277893,39.958592132505174,-12.008501594049354,-5.362426035502959,-290.0,5503.521049009205,5224.4,4945.278950990794,128.66360326408414,-17550.0,18291.139896373046,-71.04583293464741,
1996-08-01,5118,3182,-119.3167696498067,,,,15.879438580359823,25.397506160285012,39.060779196344384,37.75017253278123,39.958592132505174,-5.674885081487017,-5.362426035502959,-290.0,5479.325240094538,5209.9,4940.474759905462,126.51394493490578,-17550.0,15109.139896373046,-69.78444592156491,
1996-08-02,5118,8830,-112.21877489373765,,,37.67770118803828,14.842311123949687,23.7387289415642,39.06077919634439,39.958592132505174,39.958592132505174,-3.8775626748909024,-5.362426035502959,-290.0,5451.504197544669,5195.4,4939.29580245533,124.5454454852872,-17550.0,6279.139896373046,-60.05428636055191,31.736890792749506
1996-08-03,5118,5231,-105.37882145358435,,,36.12147178613056,13.866955918264505,22.178749996496606,39.06077919634439,39.958592132505174,39.958592132505174,4.340664664275748,-3.6339672378083225,-193.0,5438.222473747138,5185.75,4933.277526252862,122.73841208615484,-17550.0,1048.1398963730462,-40.711776039895724,29.941207340157977
1996-08-05,5118,8683,-98.81898532293872,,,34.777968878652864,12.950458781428459,20.71290839505193,39.060779196344384,41.074304117782376,43.305728088336785,20.273849101256893,-5.362426035502959,-290.0,5403.500618944276,5171.25,4938.999381055724,121.0758624246474,-17550.0,-7634.860103626954,-64.928507957024,23.555576718822813
1996-08-06,5118,9943,-92.55337028812573,,,33.60937041201881,12.089942861670375,19.336602912809617,39.06077919634439,43.305728088336785,46.65286404416839,30.343925080766287,-5.362426035502959,-290.0,5362.799387283727,5156.75,4950.700612716273,119.54307335133375,-17550.0,-17577.860103626954,-26.873575053320586,12.265733424485578
1996-08-07,5215,10279,-78.85178163933324,,,30.391545260250943,16.78250940522594,16.926618569160276,47.23250669029881,49.44503445291912,58.376511226252155,113.85639923289375,-1.8075691960082847,-96.0,5347.613461075386,5151.95,4956.2865389246135,124.15666187490585,-7271.0,-17524.60103626944,169.93172268907563,20.874938097962126
1996-08-08,5311,11913,-59.56020327758051,,,27.558154281161077,15.732188995274642,15.86727919830828,53.70049491961332,60.02418438777979,75.04317789291882,177.07861597743732,1.840843720038351,96.0,5362.799387283727,5156.75,4950.700612716273,122.41059571296901,4642.0,-5611.60103626944,-42.23439848712602,27.937647639347773
1996-08-09,5118,17601,-59.16298144683333,35.559525594282405,-94.72250704111573,26.682332920545985,13.85486982644586,19.97124484358284,42.63984098707444,69.48762233736328,75.04317789291882,57.5111628809929,-1.8600191754554172,-97.0,5356.799877989225,5151.9,4947.000122010774,126.73606420348264,-12959.0,-23212.60103626944,-30.029815146094215,24.547937019968703
