Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2014-12-18,113000,12845103,,,,,,,,,,,,,,,,,12845103.0,8257566.214285714,,
2014-12-19,129500,4551888,,,,,,,,,,,,,,,,,17396991.0,12809454.214285713,,
2014-12-22,134500,4401710,,,,,,,,,,,,,,,,,21798701.0,10755322.880952379,,
2014-12-23,135000,2873094,,,,,,,,,,,,,,,,,24671795.0,12260276.880952379,,
2014-12-24,133000,1403337,,,,,,,,,,,,,,,,,23268458.0,11257893.309523808,,
2014-12-26,135500,1648394,,,,,,,,,,,,,,,,,24916852.0,11876041.059523808,,
2014-12-29,149000,4142037,,,,,,,,,,,,,,,,,29058889.0,13005687.514069263,,
2014-12-30,158000,2518666,,,,,,,,,,,,,,,,,31577555.0,15524353.514069263,,
2015-01-02,171000,3083018,,,,,,,,,,,,,,,,,34660573.0,17413945.191488616,,
2015-01-05,145500,6436987,,,,,,,,,,,,,,,,,28223586.0,10976958.191488616,,
2015-01-06,138500,4596735,,,,,,,,,,,,,,,,,23626851.0,9663605.33434576,,
2015-01-07,135500,1719259,,,,,,,,,,,,,,,,,21907592.0,8256938.879800305,,
2015-01-08,135000,1699199,,,,,,,,,,,,,,,,,20208393.0,7463979.346466972,,
2015-01-09,150000,2971066,,,,,,,,,,37.40347437782512,,,,,,,23179459.0,9368508.83364646,,
2015-01-12,147500,1625748,,,,,37.20544808753553,17.971341385682194,,,,32.711906537409874,,,,,,,21553711.0,9549147.500313126,,
2015-01-13,138000,2009453,,,,,33.54888083420014,20.529449018559927,,,44.20074745306738,-19.103313840156027,,,,,,,19544258.0,7861206.980313126,,
2015-01-14,137000,889108,,,,,32.05603753194433,20.829508440116513,,,29.462365591397855,-50.08417508417514,,,,,,,18655150.0,7457066.980313126,,
2015-01-15,140500,1167317,,,,,32.54330332203331,19.55187062044506,,31.355717816168546,20.404040404040405,-35.617860851505796,,,,,,,19822467.0,7534888.11364646,,
2015-01-16,136000,743075,,,,,30.781124429140593,19.326218997276744,,22.44224115191857,17.46031746031746,-60.94368340943666,,,,,,,19079392.0,6906132.344415691,,
2015-01-19,131000,1115099,,,,,28.60016702846163,22.95832392813103,,16.658489658489657,12.111111111111109,-103.21321321321317,,,162765.14654939482,139650.0,116534.85345060517,,17964293.0,6184597.697356868,,
2015-01-20,131500,620532,,,,,27.728943049441508,22.258962896274323,50.710745653823814,11.98172198172198,6.373737373737374,-93.73519913885899,16.371681415929203,18500.0,160628.1169647015,140575.0,120521.88303529848,11006.147795975494,18584825.0,5741360.554499725,-95.16911619937964,
