Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
1998-12-23,28750,1960,,,,,,,,,,,,,,,,,1960.0,0.0,,
1998-12-24,33050,4090,,,,,,,,,,,,,,,,,6050.0,0.0,,
1998-12-28,38000,250410,,,,,,,,,,,,,,,,,256460.0,0.0,,
1999-01-04,43700,15661950,,,,,,,,,,,,,,,,,15918410.0,15661950.0,,
1999-01-05,43600,3637630,,,,,,,,,,,,,,,,,12280780.0,16128312.82051282,,
1999-01-06,42500,2022400,,,,,,,,,,,,,,,,,10258380.0,14105912.82051282,,
1999-01-07,45000,3067480,,,,,,,,,,,,,,,,,13325860.0,17173392.82051282,,
1999-01-08,43900,1679230,,,,,,,,,,,,,,,,,11646630.0,17020735.547785547,,
1999-01-11,42700,756770,,,,,,,,,,,,,,,,,10889860.0,16336038.88111888,,
1999-01-12,42500,742810,,,,,,,,,,,,,,,,,10147050.0,16741207.972027972,,
1999-01-13,40600,385980,,,,,,,,,,,,,,,,,9761070.0,16355227.972027972,,
1999-01-14,39800,585070,,,,,,,,,,,,,,,,,9176000.0,16271646.543456543,,
1999-01-15,40300,540690,,,,,,,,,,,,,,,,,9716690.0,16324655.366985954,,
1999-01-18,39600,382130,,,,,,,,,,-3.8906065959953633,,,,,,,9334560.0,15942525.366985954,,
1999-01-19,38700,380360,,,,,37.52250130370385,19.847406653430255,,,,-59.904912836767046,,,,,,,8954200.0,15745787.435951471,,
1999-01-20,38700,473100,,,,,35.54654873461111,18.802232882917185,,,41.34985516575475,-88.0069399262633,,,,,,,8954200.0,15362801.721665757,,
1999-01-21,39400,787970,,,,,37.19934779600602,16.9691953276403,,,24.356602804081334,-72.14103456274664,,,,,,,9742170.0,15012592.832776869,,
1999-01-22,38200,387920,,,,,34.822917249183426,19.816443248590023,,24.92868032844862,9.079583015509789,-99.45872801082547,,,,,,,9354250.0,14684352.832776869,,
1999-01-25,37000,396310,,,,,32.581389663779646,24.482655826462562,,13.19798604517081,6.157772315921311,-127.73820981713195,,,,,,,8957940.0,14349013.602007639,,
1999-01-26,36000,331550,,,,,29.16050811813518,26.20734864081968,,5.377323250871856,0.8946144211844694,-134.99292422488065,,,47280.42967548041,39600.0,31919.570324519595,,8626390.0,14017463.602007639,,
1999-01-27,37700,337720,,,,,26.817381655004844,24.101516606617306,55.872404101693036,4.710192012505767,7.078189300411522,-110.52373959862942,31.130434782608695,8950.0,45994.38784155209,40047.5,34100.61215844791,2031.393839257272,8964110.0,14355183.602007639,17130.61224489796,
1999-01-28,38900,403900,,,,,32.645791240084414,22.18202378739694,58.838740441964596,9.064527647458403,19.22077922077922,-37.39279588336223,17.700453857791224,5850.0,45389.11873498732,40340.0,35290.88126501268,2006.2668636013132,9368010.0,14521495.36671352,9775.305623471882,
1999-01-29,38850,284270,,,,,31.227836751249175,21.218558084590832,58.66577470249175,19.697058771132845,32.79220779220779,-21.078871273307392,2.236842105263158,850.0,45366.0002759105,40382.5,35398.9997240895,1924.4988132137798,9083740.0,14584666.477824632,13.52182420829839,
1999-02-01,40000,534900,,,,,37.9542400533086,18.6499345749392,61.41210069907087,33.98268398268399,49.935064935064936,79.10153988653485,-8.466819221967963,-3700.0,44943.706379836425,40197.5,35451.293620163575,1976.8707456693376,9618640.0,14477686.477824632,-96.58471646250946,
1999-02-02,39450,244160,,,,,36.17461968151721,17.775465649846197,59.42441176079807,47.00577200577201,58.29004329004329,44.12219644238189,-9.51834862385321,-4150.0,44478.9419688831,39990.0,35501.0580311169,1907.8837681188118,9374480.0,14453270.477824632,-93.28793747577406,
1999-02-03,38900,219700,-544.1312230087497,,,,34.51873448894223,19.370996505131806,57.466532722671225,56.839826839826834,62.294372294372295,2.8054173576561365,-8.470588235294118,-3600.0,44168.7383495686,39810.0,35451.2616504314,1841.604364135044,9154780.0,14484656.192110347,-89.13666930379746,
1999-02-04,38700,132180,-520.5546026817392,,,,32.89704457609365,21.180841565636005,56.750823141197245,58.47763347763348,54.84848484848485,-21.13602391629299,-14.0,-6300.0,43163.909919853584,39495.0,35826.090080146416,1781.0728847671,9022600.0,14600313.692110347,-95.69092545020668,
1999-02-05,38750,128550,-492.16204142631614,,,23.92280583959974,34.17469184296631,19.90852726587269,56.89210780687004,55.91630591630592,50.606060606060616,16.283098243009405,-11.731207289293849,-5150.0,42307.65879068169,39237.5,36167.34120931831,1742.316911738923,9151150.0,14589601.192110347,-92.34470560911846,50.53059664065357
1999-02-08,38950,208020,-448.3540570646437,,,24.261541294280487,33.364797094247955,19.1348823194603,57.47700217864976,52.121212121212125,50.909090909090914,44.025157232704615,-8.782201405152225,-3750.0,41677.54638398642,39050.0,36422.45361601358,1677.2190427284584,9359170.0,14470732.620681776,-72.51212389497469,47.34421957540824
1999-02-09,38700,246540,-428.8651341936493,,,23.412636303326998,31.518181776606582,22.81980046240639,56.46887300610382,50.80808080808081,50.909090909090914,-13.296993723159062,-8.941176470588236,-3800.0,40958.475637218624,38860.0,36761.524362781376,1636.7043907876673,9112630.0,14688267.914799422,-66.80981677683391,49.100436676379516
1999-02-10,38100,230030,-456.57193098482094,,,21.991917829104832,29.197789858415067,24.2949644704169,54.07286063609313,49.595959595959606,46.969696969696976,-49.76669211843587,-6.157635467980295,-2500.0,40697.421972971184,38735.0,36772.578027028816,1621.6346127084707,8882600.0,14764944.581466088,-40.403647857401936,51.171162683559565
1999-02-11,38100,188360,-473.07643637979345,,,20.840339585269067,28.320650513053884,23.116745432588786,54.07286063609313,46.565656565656575,41.81818181818182,-29.044690446903502,-4.271356783919598,-1700.0,40567.28975379313,38650.0,36732.71024620687,1576.3111106331949,8882600.0,14744015.6925772,-67.80556172765652,50.98862428306097
1999-02-12,38550,188530,-444.71869631739537,,,19.826340609592037,27.522097996366323,22.464926533361496,55.63713724779207,43.23232323232324,40.909090909090914,-10.156250000000224,-4.3424317617866,-1750.0,40323.997942093636,38562.5,36801.002057906364,1509.5663232595118,9071130.0,14894839.6925772,-65.1315911150567,54.64897228922028
1999-02-18,37600,93850,-493.2165501566269,-15.255364355100824,-477.9611858015261,18.346148136309065,25.87226963578734,23.9728051245242,51.72233553277851,40.20202020202021,37.87878787878788,-82.46013667425977,-5.05050505050505,-2000.0,40204.01514492413,38462.5,36720.98485507587,1481.4057279033411,8977280.0,14800989.6925772,-75.44029518750163,49.02228156161419
1999-02-19,36700,289070,-597.3876145587928,-95.54114300581341,-501.84647155297944,17.639081298900447,23.95741455086007,29.599720070505175,48.331034193627,35.50116550116551,27.71561771561772,-224.65949820788515,-5.167958656330749,-2000.0,40260.62407392144,38362.5,36464.37592607856,1470.4137781227123,8688210.0,14800989.6925772,-24.00094647176359,44.76406618147354
1999-02-22,35100,324480,-799.8306124287701,-238.3873127006325,-561.4432997281376,19.93743825508356,17.915918640765987,45.51900261163474,43.0489568708627,30.158945692926277,24.88243148437324,-303.74545910058964,-9.30232558139535,-3600.0,40544.54889873181,38182.5,35820.45110126819,1712.0198418767777,8363730.0,14998353.81628854,-31.414077362079897,54.43657020149557
1999-02-23,34200,313920,-1021.11979181489,-367.7411936694019,-653.3785981454881,21.995832326710524,16.160415045642843,41.05879187204588,40.43253054130035,25.83074961715739,24.894199651481205,-194.363862411935,-13.197969543147208,-5200.0,40783.35214577758,37922.5,35061.64785422242,1740.9896896109751,8049810.0,14941277.452652177,-60.160919831973295,51.60900557581717
1999-02-24,33550,184910,-1234.7096640767777,-465.06485274503166,-769.644811331746,23.845150990595933,15.385548472931735,39.09008715451891,38.646836418449325,27.002747791582745,31.231612238893792,-153.76344086021504,-12.172774869109947,-4650.0,41121.70511553661,37690.0,34258.29488446339,1700.3484845840976,7864900.0,14756367.452652177,-52.332955248504845,47.950944662572574
1999-02-25,34000,208620,-1352.083955289636,-465.9513151663118,-886.1326401233241,25.71801113140711,14.394501018534307,38.872637680437414,40.55990778837974,28.66034827521551,29.855232935271545,-121.14271171343118,-8.108108108108109,-3000.0,41323.464021237705,37540.0,33756.535978762295,1682.837582466166,8073520.0,14830874.59550932,-47.35939037622064,50.114574999839995
1999-02-26,36000,295650,-1269.0913463505349,-306.36696498176855,-962.7243813687663,25.872130221322983,20.084322071980402,35.3677394410289,48.1270064899562,33.50348289303138,39.42360350492881,-54.603412713294475,0.0,0.0,41323.464021237705,37540.0,33756.535978762295,1701.1765207149228,8369170.0,15126524.59550932,-10.827929422409893,55.06916181378002
1999-03-02,36800,320790,-1125.7884037760232,-130.4512179258054,-995.3371858502178,24.824769140779814,24.88860501437771,32.452920365571316,50.76607560788557,40.76362821099048,53.01204819277109,-2.734193975504947,-2.387267904509284,-900.0,41291.169121627776,37495.0,33698.830878372224,1709.7149920433642,8689960.0,15221894.59550932,-5.013028544356271,57.833618342919955
1999-03-03,36600,177330,-1016.6389370435572,-17.04140095467153,-999.5975360888857,23.874528788526234,23.533759397498894,30.686300786578773,50.0953829414235,51.9631556529147,63.453815261044184,5.474971558589335,-5.912596401028278,-2300.0,41138.111227731315,37380.0,33621.888772268685,1680.685080762817,8512630.0,15192339.59550932,-56.09556820995296,58.57451655962374
1999-03-04,37700,218200,-831.788056417914,134.24758373677741,-966.0356401546915,22.11777318367178,26.543341389651097,27.70829723622653,53.64123724204843,63.11338067501796,72.8742785712386,47.44785230123966,-2.9601029601029603,-1150.0,41023.64509307595,37322.5,33621.35490692405,1710.0575058287964,8730830.0,15251848.686418412,-23.241988250606816,57.11042053737337
1999-03-05,38700,392880,-597.7107219514655,294.6599345625808,-892.3706565140463,20.37731428906551,25.55132836311823,25.751000105955438,56.59263212898648,73.34858196583242,83.71765206521451,78.44827586206885,-3.25,-1300.0,40810.98772335015,37257.5,33704.01227664985,1703.8732275185778,9123710.0,15644728.686418412,-26.55075715086932,63.39045102721709
1999-03-08,40500,771980,-263.9155371478191,502.7640954929818,-766.679632640801,19.867975198270685,31.42052031249773,23.720909317398363,61.265104789965186,83.98538968234972,95.36423841059604,145.8395087867882,2.661596958174905,1050.0,41019.123885771434,37310.0,33600.876114228566,1709.241482635724,9895690.0,16416708.686418412,216.17791612057667,70.79787493382321
1999-03-09,40000,426390,-39.27354863045912,581.9248672082736,-621.1984158387327,19.516803964583236,30.494062870721372,22.350458877486215,59.39566300567628,92.20858337497778,97.54385964912281,129.9121590383728,2.827763496143959,1100.0,41197.37524258784,37365.0,33532.62475741216,1686.5199760499106,9469300.0,16383909.455649182,94.07828857532999,69.60289555899088
1999-03-10,39900,279320,129.19836315528664,600.3174231952155,-471.11906003992885,18.804637681074006,28.968960723519032,23.505965514866887,59.01654107500926,95.88164672166067,94.73684210526316,104.04931781199153,3.10077519379845,1200.0,41374.87341569324,37425.0,33475.12658430676,1654.134586346409,9189980.0,16612444.001103727,111.31789983356029,68.50223110420959
1999-03-11,42000,1286250,427.24104773779254,718.6880862221772,-291.44703848438456,19.247080527859193,35.14770161159796,21.31433782417273,64.08417984912649,95.67251461988303,94.73684210526316,137.9168024329314,8.387096774193548,3250.0,41984.18909521701,37587.5,33190.81090478299,1678.6258185466816,10476230.0,17898694.00110373,900.5834305717619,74.37739363196182
1999-03-12,41000,544820,576.1093499293493,694.0451107309871,-117.93576080163781,19.65261854915057,32.795575574735466,19.887956961243795,60.344034466526715,94.52674897119341,94.10656270305394,107.43356878573834,5.2631578947368425,2050.0,42299.403432115716,37690.0,33080.596567884284,1668.8620961774539,9931410.0,17743031.14396087,161.90750889337565,72.804617546376
1999-03-15,39600,404450,574.4977992255372,553.94684802174,20.55095120379718,19.226051044392342,29.920459773984387,22.5278133813982,55.56496717274296,92.27281252306572,87.97503276088007,70.23870856946569,2.3255813953488373,900.0,42400.20096030173,37735.0,33069.79903969827,1686.8782005307348,9526960.0,17379026.14396087,64.05045834347368,64.93815207903663
1999-03-16,40000,348530,598.5970367171321,462.43686841066796,136.1601683064642,18.64261778466593,28.897368612087366,22.897294066054624,56.59872693089656,87.5359462177065,80.52624318918548,49.49159686001806,4.986876640419948,1900.0,42597.32629468554,37830.0,33062.67370531446,1636.1294274111913,9875490.0,17727556.14396087,51.515019780028695,64.53501576001085
1999-03-17,39200,269500,546.8389232223199,328.54300393268454,218.29591928963535,18.57987507319775,30.365284519357928,21.181335585874933,53.9560698273191,80.56187783065499,73.18435754189944,40.33799116206838,2.8871391076115485,1100.0,42688.758944826455,37885.0,33081.241055173545,1636.8776493643334,9605990.0,17474389.477294203,43.077086430239966,54.840247982273006
1999-03-18,39000,357280,484.1014961455003,212.64446148469193,271.45703466080835,18.315677004263705,28.549889511275257,21.06472056052467,53.30115149506501,74.44450191967263,69.62290502793297,17.881767830902778,1.1673151750972763,450.0,42727.69449815048,37907.5,33087.30550184952,1618.7767919472503,9248710.0,17172075.631140355,89.50830106614332,50.91320297039585
