Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2010-05-12,114000,9504811,,,,,,,,,,,,,,,,,9504811.0,-6150171.823529411,,
2010-05-13,115500,2184611,,,,,,,,,,,,,,,,,11689422.0,-7242477.323529411,,
2010-05-14,114000,1769839,,,,,,,,,,,,,,,,,9919583.0,-7439126.101307189,,
2010-05-17,107500,2444115,,,,,,,,,,,,,,,,,7475468.0,-9883241.10130719,,
2010-05-18,110000,996647,,,,,,,,,,,,,,,,,8472115.0,-8886594.10130719,,
2010-05-19,109500,852205,,,,,,,,,,,,,,,,,7619910.0,-8375271.101307189,,
2010-05-20,107500,740106,,,,,,,,,,,,,,,,,6879804.0,-9115377.10130719,,
2010-05-24,102500,1219811,,,,,,,,,,,,,,,,,5659993.0,-9793049.879084967,,
2010-05-25,98000,1596770,,,,,,,,,,,,,,,,,4063223.0,-9938210.788175875,,
2010-05-26,110000,3451763,,,,,,,,,,,,,,,,,7514986.0,-6486447.788175875,,
2010-05-27,109000,1536027,,,,,,,,,,,,,,,,,5978959.0,-5718434.288175875,,
2010-05-28,108000,692635,,,,,,,,,,,,,,,,,5286324.0,-5781401.106357694,,
2010-05-31,109000,477955,,,,,,,,,,,,,,,,,5764279.0,-5542423.606357694,,
2010-06-01,106000,302368,,,,,,,,,,-36.29745189807594,,,,,,,5461911.0,-5844791.606357694,,
2010-06-03,104000,905501,,,,,16.961144645690887,31.11405278278821,,,,-73.7941049491737,,,,,,,4556410.0,-6297542.106357694,,
2010-06-04,103000,418999,,,,,15.995800688275729,29.343195716712085,,,38.80854667448375,-77.50643741174521,,,,,,,4137411.0,-6716541.106357694,,
2010-06-07,102000,576382,,,,,14.832142407870807,34.483318238460065,,,37.120093515442356,-113.25569871159581,,,,,,,3561029.0,-6353633.921172509,,
2010-06-08,102500,389336,,,,,18.59075815961336,32.49446134040729,,38.30806752419509,38.99556238265916,-63.45381526104444,,,,,,,3950365.0,-6587235.521172509,,
2010-06-09,102000,243579,,,,,17.710712530946402,30.956244963592912,,39.06165033321823,41.069295101553166,-61.21739130434809,,,,,,,3706786.0,-6830814.521172509,,
2010-06-10,102500,267676,,,,,16.851630377920007,29.454670279544057,,41.383626329862885,44.086021505376344,-49.47061937533121,,,116002.55414040145,106825.0,97647.44585959855,,3974462.0,-6964652.521172509,,
2010-06-11,103000,457232,,,,,18.270501846231486,27.649256250371838,39.23592344840958,43.438868976503386,45.16129032258065,-25.09550396708769,-9.649122807017545,-11000.0,114972.55712829757,106275.0,97577.44287170243,3902.0502001321097,4431694.0,-7238991.721172509,-95.18946773376136,
2010-06-14,101000,770796,,,,,16.724895868109222,30.14428820074927,36.38924619993697,44.086021505376344,43.01075268817204,-67.33559449783314,-12.554112554112555,-14500.0,113429.72080723675,105550.0,97670.27919276325,3871.5659110643514,3660898.0,-7789560.292601081,-64.7170136925979,
2010-06-15,100500,475216,,,,,16.096424318412126,30.26412297594513,35.70748848685231,40.98240469208211,34.77517106549365,-111.70137840829047,-11.842105263157896,-13500.0,112022.55202849198,104875.0,97727.44797150802,3696.2751857487715,3185682.0,-7947965.625934414,-73.14919605681646,
2010-06-16,100500,588117,,,,,15.430366620833547,29.270436978215134,35.70748848685232,32.838465298142715,20.729472140762464,-98.96492519009097,-6.511627906976744,-7000.0,111808.37147205877,104525.0,97241.62852794123,3544.9508537754223,3185682.0,-8094994.875934414,-75.93742520298758,
2010-06-17,100500,663445,,,,,19.13533683682265,26.670589885507614,35.70748848685232,22.163163897034867,10.984848484848484,-73.42849146375598,-8.636363636363637,-9500.0,111077.80193232562,104050.0,97022.19806767438,3541.776407663662,3185682.0,-8568884.1616487,-33.43229849685997,
2010-06-18,101500,489330,-3121.5208186931995,,,,18.143616774540217,25.28834303571782,38.399639599847035,13.812180949277725,9.722222222222223,-73.723158242484,-7.30593607305936,-8000.0,110291.5359669281,103650.0,97008.4640330719,3435.0953835380856,3675012.0,-8324219.1616487,-42.58071708098404,
2010-06-21,100500,754193,-3041.6813239041076,,,,17.18449354776497,23.951529241995495,36.77853920115222,10.294063826672522,10.17512077294686,-80.7256235827669,-6.511627906976744,-7000.0,109829.93108692576,103300.0,96770.06891307424,3337.6660190195084,2920819.0,-8701315.6616487,1.9033760028968822,
2010-06-22,100500,458046,-2944.4659781416703,,,23.968694827908077,16.48081365771864,22.970749132497254,36.77853920115223,10.409957058507784,11.332528180354268,-81.78409315176489,-1.951219512195122,-2000.0,109836.26400921478,103200.0,96563.73599078522,3215.0987188838917,2920819.0,-8853997.6616487,-62.449428640994384,30.377319925085875
2010-06-23,100500,398825,-2834.744941112498,,,23.168333601239457,16.01013256324787,22.314719790315248,36.77853920115223,10.459396276520609,9.8705398762607,-85.29611980939434,2.5510204081632653,2500.0,109651.7290126889,103325.0,96998.2709873111,3069.7840471884747,2920819.0,-8853997.6616487,-75.02301521195915,34.16972103086533
2010-06-24,100500,332013,-2716.476380008593,,,22.47737657797312,15.532414395690207,21.648882264880704,36.77853920115223,11.008185178665727,11.821487479382215,-79.19741100323552,-8.636363636363637,-9500.0,108490.03546088138,102850.0,97209.96453911862,2936.088201635605,2920819.0,-8853997.6616487,-90.38135005213277,35.82782745568665
2010-06-25,106500,1830190,-2114.2263520211127,,,22.560863896939868,28.345623950816936,17.62723439653791,51.775607225575044,20.41956319574738,39.56666223159922,163.00388786576676,-2.293577981651376,-2500.0,107906.45732395814,102725.0,97543.54267604186,3201.183523838511,4751009.0,-7281580.90108532,19.150900342246587,51.62640447577056
2010-06-28,106500,597171,-1618.2842918939277,,,22.633958095254624,26.833451138371924,16.686862624891944,51.775607225575044,39.28238672802547,66.45901047309498,200.9148084619775,-1.3888888888888888,-1500.0,107560.1934788763,102650.0,97739.8065211237,3125.741128231753,4751009.0,-6982995.40108532,-13.782728276798025,59.65771813282565
2010-06-29,105000,713802,-1330.9418312028865,,,21.04670779619464,23.761862300874434,21.136109302790096,48.58318299936712,63.98038855414689,85.91549295774648,113.21617373910546,-3.669724770642202,-4000.0,106571.89276910492,102450.0,98328.10723089508,3210.962413496203,4037207.0,-6903684.067751987,49.34502202090155,58.35586938405953
