Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
1999-11-11,1058,127,,,,,,,,,,,,,,,,,127.0,0.0,,
1999-11-12,1181,1481,,,,,,,,,,,,,,,,,1608.0,0.0,,
1999-11-15,1323,4286,,,,,,,,,,,,,,,,,5894.0,0.0,,
1999-11-16,1479,2265,,,,,,,,,,,,,,,,,8159.0,0.0,,
1999-11-17,1654,2021,,,,,,,,,,,,,,,,,10180.0,0.0,,
1999-11-18,1852,8169,,,,,,,,,,,,,,,,,18349.0,0.0,,
1999-11-19,2074,2677,,,,,,,,,,,,,,,,,21026.0,0.0,,
1999-11-22,2320,2106,,,,,,,,,,,,,,,,,23132.0,0.0,,
1999-11-23,2594,1259,,,,,,,,,,,,,,,,,24391.0,0.0,,
1999-11-24,2901,2392,,,,,,,,,,,,,,,,,26783.0,0.0,,
1999-11-25,3246,783,,,,,,,,,,,,,,,,,27566.0,0.0,,
1999-11-26,3634,1460,,,,,,,,,,,,,,,,,29026.0,0.0,,
1999-11-29,4068,7640,,,,,,,,,,,,,,,,,36666.0,0.0,,
1999-11-30,4555,7143,,,,,,,,,,154.1005261720797,,,,,,,43809.0,0.0,,
1999-12-01,5094,5270,,,,,100.0,0.0,,,,153.86496838801975,,,,,,,49079.0,0.0,,
1999-12-02,5698,278127,,,,,100.00000000000001,0.0,,,100.0,153.7165644677705,,,,,,,327206.0,0.0,,
1999-12-03,6379,44487,,,,,99.99999999999999,0.0,,,100.0,153.79993265142903,,,,,,,371693.0,0.0,,
1999-12-06,7144,24116,,,,,100.0,0.0,,100.0,100.0,153.97098425141346,,,,,,,395809.0,0.0,,
1999-12-07,7995,19661,,,,,100.0,0.0,,100.0,100.0,153.93128697324283,,,,,,,415470.0,0.0,,
1999-12-08,8949,5608,,,,,100.0,0.0,,100.0,100.0,153.9669142471303,,,8448.124222453529,3759.9,-928.3242224535284,,421078.0,0.0,,
1999-12-09,10017,3206,,,,,100.0,0.0,100.0,100.0,100.0,153.95140647824283,846.7863894139887,8959.0,9456.375212857418,4207.85,-1040.6752128574171,529.1869772240533,424284.0,0.0,2424.4094488188975,
1999-12-10,11198,9725,,,,,100.0,0.0,100.0,100.0,100.0,153.5887258511587,848.1795088907705,10017.0,10580.98143399139,4708.7,-1163.5814339913913,578.6088071296276,434009.0,0.0,556.6509115462526,
1999-12-13,12521,2974,,,,,99.99999999999999,0.0,100.0,100.0,100.0,153.39712560173186,846.4096749811035,11198.0,11836.975031923801,5268.6,-1299.7750319238003,633.6293619065414,436983.0,0.0,-30.611292580494634,
1999-12-14,13986,3577,,,,,100.0,0.0,100.0,100.0,100.0,153.0637166870196,845.6389452332658,12507.0,13236.000053629436,5893.95,-1448.100053629435,693.6437184600261,440560.0,0.0,57.92494481236203,
1999-12-15,15640,17619,,,,,100.0,0.0,100.0,100.0,100.0,153.13536021121712,845.5864570737606,13986.0,14800.032557738446,6593.25,-1613.5325577384465,761.4644383749312,458179.0,0.0,771.7961405244928,
1999-12-16,17483,4718519,5036.396545066325,,,,100.0,0.0,100.0,100.0,100.0,153.15463102597457,844.0064794816415,15631.0,16547.010150230966,7374.8,-1797.4101502309668,836.29975221738,5176698.0,0.0,57661.28045048354,
