Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2013-10-30,38750,16962211,,,,,,,,,,,,,,,,,16962211.0,16962211.0,,
2013-10-31,36450,8952654,,,,,,,,,,,,,,,,,8009557.0,10751811.378378378,,
2013-11-01,37350,2685352,,,,,,,,,,,,,,,,,10694909.0,11188961.703959774,,
2013-11-04,36700,2261819,,,,,,,,,,,,,,,,,8433090.0,9310501.856502147,,
2013-11-05,35050,2254062,,,,,,,,,,,,,,,,,6179028.0,8022466.427930718,,
2013-11-06,35000,1258031,,,,,,,,,,,,,,,,,4920997.0,7483310.285073576,,
2013-11-07,33800,1265278,,,,,,,,,,,,,,,,,3655719.0,6294715.80022509,,
2013-11-08,34350,1250427,,,,,,,,,,,,,,,,,4906146.0,6749416.527497818,,
2013-11-11,34450,650733,,,,,,,,,,,,,,,,,5556879.0,6463094.007497817,,
2013-11-12,35850,766202,,,,,,,,,,,,,,,,,6323081.0,7229296.007497817,,
2013-11-13,34200,873530,,,,,,,,,,,,,,,,,5449551.0,6526210.885546598,,
2013-11-14,33550,1120559,,,,,,,,,,,,,,,,,4328992.0,6967643.218879931,,
2013-11-15,33500,501548,,,,,,,,,,,,,,,,,3827444.0,6752694.076022788,,
2013-11-18,34100,621179,,,,,,,,,,-69.53161813212722,,,,,,,4448623.0,6841433.933165645,,
2013-11-19,33800,367999,,,,,15.824661239124536,21.438365005281558,,,,-64.80318883906338,,,,,,,4080624.0,6571567.999832312,,
2013-11-20,33700,349307,,,,,15.146211635116286,21.508614791867902,,,18.0,-68.95818568391232,,,,,,,3731317.0,6383479.615216927,,
2013-11-21,32750,375291,,,,,14.002399249051267,25.7944344747497,,,13.19047619047619,-115.38357094365229,,,,,,,3356026.0,6073456.615216927,,
2013-11-22,31650,654528,,,,,12.619152942036997,29.619610435336384,,13.015873015873018,7.857142857142858,-185.51912568306034,,,,,,,2701498.0,5418928.615216927,,
2013-11-25,31800,513819,,,,,11.808657504002166,31.249726977404865,,9.081676683618431,6.197411003236245,-185.81928231733662,,,,,,,3215317.0,5624456.215216926,,
2013-11-26,32450,688714,,,,,16.38464840992457,28.947176775549025,,9.225402429285923,13.62165342747867,-96.14789821453736,,,38030.395037693794,34462.5,30894.604962306206,,3904031.0,5502918.450511044,,
2013-11-27,31700,397652,,,,,15.476925412093111,30.60235128407181,28.52653837558365,12.49370729953254,17.662057467882708,-119.56358164033101,-18.193548387096776,-7050.0,37285.311008389566,34110.0,30934.688991610434,1493.400475567349,3506379.0,5218881.307653901,-97.65565939487487,
2013-11-28,33150,698694,,,,,19.53201697910034,27.426000922914625,38.573418813257625,19.40657927712944,26.936026936026934,-54.27956989247319,-9.053497942386832,-3300.0,36955.46508034888,33945.0,30934.534919651123,1505.2741798189818,4205073.0,5875230.21674481,-92.19567739354163,
2013-11-29,31950,2366739,,,,,17.514900658682702,25.201138841758578,34.36522919373373,22.72236932431107,23.569023569023567,-80.15564202334623,-14.457831325301205,-5400.0,36367.30384615109,33675.0,30982.696153848912,1519.6670457722132,1838334.0,5140725.009848258,-11.864850492598363,
2013-12-02,31600,653579,,,,,16.853358799748293,24.249285984495785,33.25149504047224,24.466891133557798,22.895622895622893,-92.8104575163398,-13.896457765667575,-5100.0,35873.44655535839,33420.0,30966.553444641613,1453.2788147396193,1184755.0,4596075.8431815915,-71.10383280006049,
2013-12-03,32500,814436,,,,,19.153633896875114,22.566460013192888,38.63464415187145,23.027375201288248,22.617479139218272,-45.28158295281554,-7.275320970042796,-2550.0,35657.29914580497,33292.5,30927.700854195027,1428.3301326651865,1999191.0,5114353.297727046,-63.86807461374177,
2013-12-04,32550,367975,-1254.315407516453,,,,18.224966394264126,21.472321001449448,38.92270124781683,25.472112428634166,30.903235251061336,-34.25991922071737,-7.0,-2450.0,35419.31100561926,33170.0,30920.68899438074,1381.3940445993308,2367166.0,5433264.964393713,-70.74992587623039,
2013-12-05,33050,579978,-1133.1386781549481,,,,21.432280103459032,20.542705241944844,41.798546710026876,33.299175328160835,46.3768115942029,28.492249069022634,-2.2189349112426036,-750.0,35363.4807260485,33132.5,30901.519273951493,1331.739326316911,2947144.0,5745560.810547559,-54.16201024596966,
2013-12-06,33200,376660,-1013.3205719240796,,,17.603087289463975,21.090603746296644,19.56056124826602,42.65126816769087,43.675270259739214,53.74576393395341,53.03030303030373,-3.3478893740902476,-1150.0,35235.67119201417,33075.0,30914.328807985832,1289.60404013609,3323804.0,6014603.667690416,-69.87748984946742,58.527771724316004
2013-12-09,33100,348969,-915.8753824620144,,,16.400535022070276,20.96052973827085,18.47352521971073,42.217209906854784,53.78801799014898,61.24147844229065,74.40312213039465,-3.918722786647315,-1350.0,35074.44823350753,33007.5,30940.551766492466,1257.4850877180352,2974835.0,6058224.792690416,-46.37293636560617,53.0248553290028
