Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2007-07-20,1943,13695426,,,,,,,,,,,,,,,,,13695426.0,13695426.0,,
2007-07-23,2233,3106184,,,,,,,,,,,,,,,,,16801610.0,16801610.0,,
2007-07-24,2323,10050691,,,,,,,,,,,,,,,,,26852301.0,12183724.945945945,,
2007-07-25,2228,5385871,,,,,,,,,,,,,,,,,21466430.0,10968619.903263018,,
2007-07-26,2482,8120919,,,,,,,,,,,,,,,,,29587349.0,14423701.8050812,,
2007-07-27,2186,4267150,,,,,,,,,,,,,,,,,25320199.0,11563095.680359596,,
2007-07-30,2112,2083097,,,,,,,,,,,,,,,,,23237102.0,12299800.716944963,,
2007-07-31,2049,1714006,,,,,,,,,,,,,,,,,21523096.0,10808919.758365082,,
2007-08-01,1764,2643835,,,,,,,,,,,,,,,,,18879261.0,8475294.731698416,,
2007-08-02,1742,2011212,,,,,,,,,,,,,,,,,16868049.0,8514121.218184903,,
2007-08-03,1827,2558920,,,,,,,,,,,,,,,,,19426969.0,8342092.982890786,,
2007-08-06,1558,4900492,,,,,,,,,,,,,,,,,14526477.0,3441600.9828907857,,
2007-08-07,1368,8875085,,,,,,,,,,,,,,,,,5651392.0,-3036563.2506858567,,
2007-08-08,1362,2902680,,,,,,,,,,-132.99458558933773,,,,,,,2748712.0,-5358707.250685857,,
2007-08-09,1563,2884934,,,,,21.906461847654008,34.913214609993844,,,,-91.94366780573678,,,,,,,5633646.0,-2473773.2506858567,,
2007-08-10,1795,8784896,,,,,29.480281615740903,31.52719316395839,,,19.622132253711204,-37.8509825245065,,,,,,,14418542.0,6311122.749314143,,
2007-08-13,1668,6472206,,,,,31.394719938202588,27.942099842033073,,,27.918216429127853,-29.157760814249343,,,,,,,7946336.0,1019810.4756299332,,
2007-08-14,1521,4584460,,,,,27.746473251490276,29.70786409189995,,24.781936078470096,26.805459552571236,-54.521350052477466,,,,,,,3361876.0,-3235047.8250236614,,
2007-08-16,1294,2219735,,,,,25.389419587336555,35.26750726368395,,23.001839600042427,14.281842818428187,-123.46474181010548,,,,,,,1142141.0,-5454782.825023661,,
2007-08-17,1135,3552841,,,,,23.49560630041029,39.72299266838707,,15.724397595220202,6.085890414661176,-148.43951985226226,,,2546.444497813837,1807.65,1068.8555021861632,,-2410700.0,-7906243.115023661,,
2007-08-20,1304,3736383,,,,,22.002155215122098,37.19808031869122,38.27204861916598,9.116231416167292,6.980961015412514,-105.51681088294802,-32.88728769943386,-639.0,2543.0348942932283,1775.7,1008.3651057067719,250.1608278865446,1325683.0,-4169860.1150236614,-72.71802279096686,
2007-08-21,1320,4406458,,,,,23.49329229321437,35.242440516285235,38.76291399460854,9.051804543362133,14.088562200012712,-79.79098310851857,-40.88669950738916,-913.0,2491.7421884856108,1730.05,968.357811514389,241.58073667577852,5732141.0,-3172778.377797384,41.860817002469915,
2007-08-22,1288,1833608,,,,,22.84194206080558,34.26534579774017,38.12466092046905,13.812310921933824,20.367409550376248,-70.5937834941051,-44.554455445544555,-1035.0,2411.9391756170053,1678.3,944.6608243829946,228.8246912434096,3898533.0,-4740646.087942312,-81.75639863965573,
2007-08-23,1478,6946913,,,,,26.14467715582235,31.66218626979932,43.898093939053595,21.14864195872188,28.989954125776666,-21.23581906927885,-33.66247755834829,-750.0,2333.7584691740185,1640.8,947.8415308259814,226.02204371582275,10845446.0,2206266.9120576885,28.984021340280893,
2007-08-24,1478,5388835,,,,,27.49389996516964,29.89840266726366,43.898093939053595,28.795849916050525,37.03018607199866,10.503643206021325,-40.451248992747786,-1004.0,2168.4309095228455,1590.6,1012.7690904771542,219.73527368145406,10845446.0,2166932.3500138926,-33.64254710581401,
2007-08-27,1473,3021941,-234.9157946436667,,,,26.50727406614476,28.825490550453505,43.778983067690206,36.926653995991266,44.759821790198465,23.102189143386223,-32.61665141811528,-713.0,2065.509095502175,1554.95,1044.390904497825,210.41245818711226,7823505.0,282663.2558962456,-29.18128024559718,
2007-08-28,1447,5232330,-219.85927747516916,,,,27.740251666230122,26.768674325024946,43.13829235880423,41.92514235341768,43.985419198055894,26.411494664043378,-31.486742424242426,-665.0,1965.0035528844755,1521.7,1078.3964471155246,207.6009450775271,2591175.0,-4949666.744103754,151.18033389707728,
2007-08-29,1389,3636771,-210.1841226853187,,,11.373260138260441,26.169573053689437,30.915099468878594,41.70510484952198,43.041987309302016,40.38072093965169,-39.59402844161215,-32.210834553440705,-660.0,1862.965734472178,1488.7,1114.4342655278222,202.55856869903937,-1045596.0,-2538773.6092722933,112.17959563735482,45.707404347533824
2007-08-30,1420,2530748,-197.7356780757741,,,10.30542553070048,28.691192722703402,29.471978166320298,42.774745484036536,40.86674767112192,38.23410287565817,-6.398537477147966,-19.501133786848072,-344.0,1824.5968705610385,1471.5,1118.4031294389615,196.22414369564711,1485152.0,-3302773.005498708,-4.277384935141566,41.638684645711
2007-08-31,1457,2435540,-182.77765818993976,,,9.452556755004462,29.14861260815532,27.9980969008743,44.06422211091911,39.08464965573108,38.639125151883356,30.4247517818153,-16.360505166475317,-285.0,1787.814895292889,1457.25,1126.685104707111,190.71916651293753,3920692.0,-4661547.95286713,21.09812391731951,40.214490278946805
2007-09-03,1536,1950587,-162.67348126297634,,,8.969168987174548,29.19948725112689,26.628575821293328,46.76048121705254,41.397979136043496,47.320709380588966,79.71852165127686,-15.92775041050903,-291.0,1729.62096472722,1442.7,1155.77903527278,185.32552326806123,5871279.0,-3881313.15286713,-23.773037062510745,36.936673111090876
2007-09-04,1468,1220644,-150.49301807218762,,,8.456455063784565,28.177275463033382,26.175925992745487,44.803692365177135,48.059918883670626,58.21992211853956,65.014980410233,-5.7766367137355585,-90.0,1720.532853206988,1438.2,1155.8671467930121,178.27072573300578,4650635.0,-4908204.136994114,-75.091398986061,35.19198259433026
2007-09-05,1373,1798646,-146.81324756006325,,,8.12034956775165,26.37898634124405,29.09850948743437,42.20632364693364,55.65876270008405,61.435656601123604,7.297574677253795,0.3654970760233918,5.0,1720.5425202836805,1438.45,1156.3574797163196,175.40136043503108,2851989.0,-6570589.076388054,-79.73376029638025,33.63971608840761
2007-09-06,1341,1498390,-144.80985758549218,38.552601920128694,-183.36245950562088,8.35746834581914,25.273591290525744,31.32129995437543,41.356236255837274,57.50974759200225,52.87366405634358,-71.76328738553788,-1.5418502202643172,-21.0,1720.776357517699,1437.4,1154.0236424823013,169.80060903976195,1353599.0,-6570589.076388054,-48.37908415671035,40.027520171415176
