Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2007-07-25,166788,2900137,,,,,,,,,,,,,,,,,2900137.0,2706794.533333333,,
2007-07-26,147600,2166708,,,,,,,,,,,,,,,,,733429.0,540086.5333333332,,
2007-07-27,145632,1225187,,,,,,,,,,,,,,,,,-491758.0,417567.8333333332,,
2007-07-30,154980,580319,,,,,,,,,,,,,,,,,88561.0,997886.8333333333,,
2007-07-31,154488,374695,,,,,,,,,,,,,,,,,-286134.0,1142000.2948717948,,
2007-08-01,145140,408167,,,,,,,,,,,,,,,,,-694301.0,869888.9615384614,,
2007-08-02,140712,471318,,,,,,,,,,,,,,,,,-1165619.0,712782.9615384614,,
2007-08-03,134808,696106,,,,,,,,,,,,,,,,,-1861725.0,16676.961538461503,,
2007-08-06,135300,440144,,,,,,,,,,,,,,,,,-1421581.0,126712.9615384615,,
2007-08-07,130380,464549,,,,,,,,,,,,,,,,,-1886130.0,-337836.0384615385,,
2007-08-08,133824,467105,,,,,,,,,,,,,,,,,-1419025.0,-244415.0384615385,,
2007-08-09,133332,508027,,,,,,,,,,,,,,,,,-1927052.0,-616968.1717948718,,
2007-08-10,126444,453847,,,,,,,,,,,,,,,,,-2380899.0,-957353.4217948718,,
2007-08-13,129888,546390,,,,,,,,,,-96.81917211328971,,,,,,,-1834509.0,-684158.4217948718,,
2007-08-14,118572,504419,,,,,6.9053558356841656,34.88336889506893,,,,-131.12947658402203,,,,,,,-2338928.0,-1188577.4217948718,,
2007-08-16,109716,814038,,,,,6.212454234217991,41.41734325472891,,,3.5294117647058822,-182.25538971807623,,,,,,,-3152966.0,-2002615.4217948718,,
2007-08-17,110208,414713,,,,,5.699232202870966,39.09727262292603,,,1.0309278350515465,-155.22388059701504,,,,,,,-2738253.0,-2251443.2217948716,,
2007-08-20,123000,577442,,,,,12.131928452417,33.87365976492594,,5.18563439121353,10.996563573883163,-78.55444602948167,,,,,,,-2160811.0,-1674001.2217948716,,
2007-08-21,125952,362445,,,,,14.341211930599373,31.43798866175826,,12.044223071675871,24.1051778060929,-44.97428705002343,,,,,,,-1798366.0,-1311556.2217948716,,
2007-08-22,122016,617937,,,,,13.518702535374256,29.634930373071775,,23.095700820709506,34.18536108215246,-42.044861763171646,,,163537.58705848103,134439.0,105340.41294151897,,-2416303.0,-1592436.6763403262,,
2007-08-23,127920,442528,,,,,15.215533898995163,27.618901423332254,39.18753874601549,33.6067077954986,42.52958449825043,3.107923497267823,-23.303834808259587,-38868.0,157611.89882287596,132495.6,107379.30117712406,8919.525013659646,-1973775.0,-1248248.2318958817,-84.74113464294963,
2007-08-24,131856,536044,,,,,20.89328871545889,25.59919378607437,42.45674016543051,43.66788023805615,54.288695133765565,65.83783783783787,-10.666666666666666,-15744.0,155849.71249456002,131708.4,107567.08750543997,8765.490528054534,-1437731.0,-1355457.0318958818,-75.25997965577272,
2007-08-27,133824,527849,,,,,26.232298015794754,22.894660905931044,44.04007448246021,54.99862121822347,68.17758402265444,106.98581560283692,-8.108108108108109,-11808.0,154431.74070371376,131118.0,107804.25929628624,8881.276718212668,-909882.0,-1772179.9266327238,-56.91686248711421,
2007-08-28,133824,470859,,,,,24.630922132741908,23.53189971231642,44.04007448246021,65.77800134138162,74.86772486772486,80.16587259572972,-13.65079365079365,-21156.0,150715.47101347256,130060.2,109404.92898652743,8666.355312117596,-909882.0,-1772179.9266327238,-18.862039671284244,
2007-08-29,127920,664075,,,,,22.760524642483745,26.301176594642115,40.349528101749804,70.72098531640093,69.11764705882352,25.027932960893835,-17.197452229299362,-26568.0,146085.5962140853,128731.8,111378.00378591473,8575.512418692373,-1573957.0,-1867047.7837755808,77.2308143957085,
2007-08-30,128904,567068,-4458.215530890971,,,,23.134807048040013,24.94140020772725,41.21378580649541,69.40035273368606,64.21568627450979,41.766109785202815,-11.186440677966102,-16236.0,143562.1958560811,127920.0,112277.80414391891,8322.57443975364,-1006889.0,-1867047.7837755808,38.9303887869426,
2007-08-31,126444,436081,-4341.430235540232,,,,22.14828435689699,25.476928497992837,39.70009448855675,63.398692810457504,56.862745098039206,15.312061007425271,-10.13986013986014,-14268.0,141710.0890753915,127206.6,112703.1109246085,8024.767642392921,-1442970.0,-1929345.0694898665,-7.47626867635015,
2007-09-03,142680,687328,-2905.277309148165,,,24.071967790824644,32.61662228062268,21.419434906957683,51.958448628993736,64.05228758169933,71.07843137254902,124.51304667401686,5.839416058394161,7872.0,143286.51494774985,127600.2,111913.88505225015,8572.434394915828,-755642.0,-1242017.0694898665,-1.261014845440206,52.55134034632828
2007-09-04,138744,458559,-2060.9606026113615,,,24.027982268249186,32.499702150158065,20.063813692744812,49.39597426210537,68.92514996866326,78.83427343540154,133.68606701940033,2.5454545454545454,3444.0,143863.43281209757,127772.4,111681.36718790242,8429.656176108874,-1214201.0,-1630028.531028328,4.183858010105784,49.484062788103145
2007-09-05,139728,464036,-1297.4764524459606,,,23.385837446912813,30.576017652765742,21.342504591922086,50.04431701186253,79.95568090249797,89.95433789954336,104.56790123456791,7.169811320754717,9348.0,145129.88125024864,128239.8,111349.71874975137,8266.513678948659,-750165.0,-1475349.8643616613,-0.11042968556600058,56.20001422936249
2007-09-06,148092,747667,-17.305378071963787,,,23.85449466839624,33.55651176032361,18.84048864855158,55.18200084896616,86.08425105201896,89.464141821112,138.91001267427112,10.661764705882353,14268.0,147816.50823159076,128953.2,110089.89176840923,8523.305466973596,-2498.0,-787496.2243616612,60.06401130366834,63.68129314666621
2007-09-07,155472,1037321,1574.592818409903,,,25.19655435521974,38.3446051978152,17.350919148035647,59.08980472278218,91.16162687136857,94.06640089345036,193.66780321480778,16.605166051660518,22140.0,152144.97245162376,130060.2,107975.42754837623,8513.300013332893,1034823.0,-46552.65293308976,104.18619482822763,67.9978703447663
2007-09-10,154488,562320,2725.3667009138153,,,26.43078700693617,36.131037532380596,16.138484394622125,58.3754309103546,93.30363380047419,96.38035868686022,155.76227390180887,22.17898832684825,28044.0,155887.80924856736,131462.4,107036.99075143263,8443.021199267698,472503.0,140887.3470669102,23.900785947687215,67.96569200332489
2007-09-11,153504,484791,3517.416133634397,4324.448339828901,-807.0322061945044,27.577302217605993,34.88271425976287,15.367522061816913,57.64188459938539,94.46524857271707,92.94898613784062,134.44351928948092,18.181818181818183,23616.0,158867.12307493296,132643.2,106419.27692506708,8227.142947527816,-12288.0,-149987.25293308977,-11.27381540657772,66.9047338063868
2007-09-12,154980,601359,4215.6267588868795,4018.127172065107,197.4995868217724,28.596458834963986,33.83820180385605,14.907363827269606,58.46596431334295,93.5434238065817,91.30092659504423,114.07407407407412,30.70539419087137,36408.0,161567.575903177,134463.6,107359.62409682301,7907.505265548117,589071.0,-149987.25293308977,19.218149990384976,60.60716038230589
2007-09-13,160884,1104971,5185.590903926437,3990.4730536837315,1195.1178502427053,29.996438047059275,35.43745120027105,13.659359627985497,61.61066669895867,92.60103052672711,93.55317884729648,111.90140845070411,46.63677130044843,51168.0,163958.2698531181,137022.0,110085.73014688189,7934.875791910496,1694042.0,954983.7470669103,35.73948636304448,69.66874922705144
2007-09-14,156456,652890,5533.208500137756,3470.4725199160407,2062.7359802217156,31.250250646893026,33.82306858051808,13.03709611767394,58.13565971578051,92.73975462533076,93.36515843365157,92.07807118254877,41.964285714285715,46248.0,164551.69189584002,139334.4,114117.10810415997,7726.683602078189,1041152.0,302093.74706691026,57.43176606472428,66.67854035069729
2007-09-17,154488,434139,5585.510508563864,2818.2196226737187,2767.2908858901455,30.85700654103798,31.266504083790885,18.09858195701372,56.6410595747426,92.29089172683047,89.95433789954336,60.21505376344087,25.6,31488.0,165779.6798203843,140908.8,116037.92017961568,7706.293081693654,607013.0,331036.34706691024,-24.816864724076183,61.34046624953078
2007-09-18,146124,283431,4895.62164897105,1702.664610464723,3192.9570385063266,29.53659544154948,27.79703173500377,20.432371229604335,50.79855456505855,86.52506803191734,76.25570776255707,23.514211886304906,16.015625,20172.0,165900.52023403125,141917.4,117934.27976596875,7916.746031401094,323582.0,47605.34706691024,-21.800273144890948,48.555866088982405
2007-09-19,153504,378387,4888.037822806073,1356.0646274397968,3531.973195366276,28.34388391600568,25.787300025946667,18.955106148108165,55.10016612858165,79.90867579908674,73.5159817351598,30.54287163876205,25.806451612903224,31488.0,166139.35682717228,143491.8,120844.24317282769,7885.710348164507,701969.0,425992.34706691024,-38.76608780506751,52.90209968479235
2007-09-20,146616,484070,4276.921858456801,595.9589304724195,3680.962927984381,26.742027386041414,23.924496099737652,19.99374990009513,50.74171997444649,71.80474016090453,65.64253098499672,-13.78224059854312,14.615384615384615,18696.0,165941.068623696,144426.6,122912.13137630402,7856.696154106946,217899.0,6465.013733576925,9.387428592089089,50.15655079728307
2007-09-21,148584,371014,3906.3789022463316,180.33277940956032,3726.0461228367712,25.288709383711655,22.744886056994094,19.00794739558537,51.88632502288182,67.38660152036461,63.00129184093728,-30.134086097388913,12.686567164179104,16728.0,166045.85106524124,145263.0,124480.14893475876,7689.441845047118,588913.0,6465.013733576925,-30.78665184201297,48.21250673760063
2007-09-27,162360,731211,4670.490501770924,755.5555031473223,3914.934998623602,25.633669073506574,30.292844548366972,16.47157270568951,58.91998599971625,66.16480991178814,69.85060690943043,90.44943820224718,21.323529411764707,28536.0,168045.71728397536,146689.8,125333.88271602461,8061.524755224958,1320124.0,737676.013733577,38.526548312111984,54.884496393577095
2007-09-28,157440,442505,4823.449840409623,726.8118734288164,4096.637966980807,25.94777607747417,28.459534101062147,15.47471992493903,55.85054908479271,70.07424043107376,77.3708225428536,91.05111224316514,17.647058823529413,23616.0,168858.8263795681,147870.6,126882.3736204319,7967.936693771952,877619.0,627049.763733577,-6.021760229707832,54.8205234085591
2007-10-01,153504,474046,4574.3387827572005,382.16065262111533,4192.178130136085,25.373599599218558,26.59301313768519,18.20752824660474,53.503383618342276,74.25010103145506,75.52887364208118,20.816688859298395,20.0,25584.0,168141.95593449037,149149.8,130157.64406550961,7907.627005504248,403573.0,356166.3351621484,-28.615593118247187,50.709437621202326
2007-10-02,156456,487362,4562.52426428016,296.27690731526036,4266.2473569649,24.849205446988872,25.315827961554895,17.333073552428576,54.99652179062533,72.10245256860128,63.407661520869055,49.51768488745956,21.374045801526716,27552.0,167314.55247324565,150527.4,133740.24752675433,7741.750891860256,890935.0,453638.7351621484,-14.055809885234222,56.138957317958955
2007-10-04,153012,626460,4226.538253914594,-31.767282440245253,4258.305536354839,23.456002463898397,23.380951801159696,20.307474916413604,52.90992294896513,63.14719522266691,50.50505050505049,-28.451707521474848,21.011673151750973,26568.0,164504.21959455794,151855.8,139207.38040544203,7748.942749423314,264475.0,453638.7351621484,43.65679770501352,51.490979294327474
2007-10-05,145140,763391,3287.169861133443,-776.9085401771172,4064.0784013105604,21.80323868433534,21.602849433986755,22.565567298086805,48.48403110590158,49.75541579315163,35.35353535353534,-124.44444444444446,1.7241379310344827,2460.0,164311.81808317808,151978.8,139645.7819168219,7755.702241425854,-498916.0,-309752.2648378516,11.066477722426557,49.812980446783264
2007-10-08,145632,568808,2552.984711676603,-1208.874951707166,3761.859663383769,20.28833442563573,20.255018933272353,21.15767154974006,48.76598524130746,33.65079365079364,15.093795093795082,-105.46265328874001,4.964539007092198,6888.0,163488.02321579691,152323.2,141158.3767842031,7681.380649518751,69892.0,-878560.2648378515,24.04248962510822,45.90863429055372
2007-10-09,145140,473680,1909.4267203736526,-1481.9463544080936,3391.3730747817463,19.16937106179111,19.54778802377267,21.915337433882364,48.4866439629309,17.73383773383772,2.754182754182745,-120.34078807241733,3.8732394366197185,5412.0,162740.3383180668,152593.8,142447.2616819332,7450.8389595308445,-403788.0,-1081565.9791235658,2.078287029454611,33.38683227506203
2007-10-10,153504,671525,2050.668445473915,-1072.5637034462652,3123.2321489201804,18.35577688814743,23.818759281473042,20.081502087825378,53.27606323098459,12.573092573092564,19.871299871299865,-2.398081534772438,3.654485049833887,5412.0,162802.79999999987,152864.4,142926.00000000012,7500.303022669599,267737.0,-410040.97912356583,-10.183945526551259,43.72833190358631
2007-10-11,151536,543177,1980.967022740806,-913.8121009434999,2894.779123684306,17.607978682349753,22.619715404316803,19.07059292005708,52.07685331288942,18.352638352638348,32.43243243243243,-11.52882205513758,-2.5316455696202533,-3936.0,162547.37162489083,152667.6,142787.82837510918,7361.113428659748,-275440.0,-228981.97912356583,-47.63655609015917,46.75554062065475
2007-10-12,148092,687036,1629.04748045429,-1012.5853145840128,2641.632795038303,16.920121457128996,20.307748108735534,17.121382403902608,50.0034788296772,30.047190047190043,37.83783783783783,-36.09022556390951,-4.140127388535032,-6396.0,162383.99704071204,152347.8,142311.60295928793,7520.74287968337,-962476.0,-588857.9791235658,22.17883055911225,44.13583626559505
2007-10-15,146616,549950,1217.0188079454529,-1139.69118967428,2356.709997619733,16.286948383698565,19.29632130070799,16.26865244777571,49.12120851427317,31.831831831831824,25.225225225225216,-73.48712805081905,-4.487179487179487,-6888.0,162325.9070675683,152003.4,141680.89293243169,7381.521183179321,-1512426.0,-918827.9791235658,13.440637305560541,40.30919027830576
2007-10-16,145140,1072382,762.591570988996,-1275.2947413045895,2037.8863122935854,15.399301053386647,18.22127113223799,19.920593742420227,48.225524543450135,26.99210838745722,17.9132620993086,-124.73118279569886,-6.349206349206349,-9840.0,162152.59911288184,151511.4,140870.20088711815,7276.460760027475,-2584808.0,-275398.77912356576,78.32642398301181,47.95609524949972
2007-10-17,153504,996944,1065.0820084619627,-778.2434430652984,1843.325451527261,15.369031875757349,24.539073262026395,18.139659651704154,53.304381197040335,24.408129059291838,30.085899853341704,-4.491498235482758,-4.587155963302752,-7380.0,160936.0428033698,151142.4,141348.75719663018,7360.437580584417,-1587864.0,610773.6653208786,-9.77645567168731,57.14495549472198
2007-10-18,172200,1396030,2781.357057667745,750.4252849123868,2030.931772755358,17.347594273761455,36.841479716088585,15.075490154879361,62.06117615582241,35.63796354494028,58.914728682170534,234.72057074910848,10.062893081761006,15744.0,165213.96443944526,151929.6,138645.23556055475,7961.195549945918,-191834.0,2006803.6653208786,113.8231555085849,66.36800425258369
2007-10-19,165312,557524,3544.850534308527,1211.135009242535,2333.715525065992,19.363239513584556,35.96391105450657,13.818586577704718,57.85370582212363,55.24447155774104,76.73278613771089,203.90390390390394,7.006369426751593,10824.0,166955.66771220218,152470.8,137985.9322877978,8034.4732427229665,-749358.0,1449279.6653208786,28.42062104533341,56.843715357696674
2007-10-22,161868,515381,3827.8969842771476,1195.3451673689242,2632.5518169082234,19.516345403035757,32.858367780767544,21.26049433821769,55.86049941815971,71.19623043015655,77.94117647058823,85.65834557023999,10.774410774410775,15744.0,167986.80703926826,153258.0,138529.19296073174,8129.605799731993,-1264739.0,1771392.7903208786,81.83649636066626,57.871767805246535
2007-10-23,159900,648199,3849.042812779313,973.1927966968715,2875.8500160824415,19.755786826792324,31.178808251831178,19.618527887089428,54.72638672283132,72.63641890864872,63.23529411764705,73.87387387387388,4.166666666666667,6396.0,168589.12233482438,153577.8,138566.4776651756,8167.7765837970255,-1912938.0,1771392.7903208786,71.30583238853343,59.97251333329563
2007-10-24,153012,872350,3272.2762361040513,317.1409760172878,2955.1352600867635,19.020391300641517,26.94559797146623,22.14616414431292,50.91778679275894,64.05228758169933,50.980392156862735,27.203674262497938,4.3624161073825505,6396.0,168570.75249562948,153897.6,139224.44750437053,8616.458437412324,-2785288.0,1309560.4373797022,80.21153965335591,55.03182480821471
