Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2011-05-13,5242,452573,,,,,,,,,,,,,,,,,452573.0,-452573.0,,
2011-05-16,4465,514202,,,,,,,,,,,,,,,,,-61629.0,-452573.0,,
2011-05-17,3796,12942983,,,,,,,,,,,,,,,,,-13004612.0,-13395556.0,,
2011-05-18,3730,6528294,,,,,,,,,,,,,,,,,-19532906.0,-18274596.77894737,,
2011-05-19,3280,6521059,,,,,,,,,,,,,,,,,-26053965.0,-22824439.350124873,,
2011-05-20,3266,2949781,,,,,,,,,,,,,,,,,-29003746.0,-23618611.15781718,,
2011-05-23,3270,3426809,,,,,,,,,,,,,,,,,-25576937.0,-23243803.92344218,,
2011-05-24,3157,2935668,,,,,,,,,,,,,,,,,-28512605.0,-26179471.92344218,,
2011-05-25,2938,3303309,,,,,,,,,,,,,,,,,-31815914.0,-29273416.268512603,,
2011-05-26,2796,2940025,,,,,,,,,,,,,,,,,-34755939.0,-32092203.124182705,,
2011-05-27,2801,1961887,,,,,,,,,,,,,,,,,-32794052.0,-32174635.351073463,,
2011-05-30,2749,1674700,,,,,,,,,,,,,,,,,-34468752.0,-33849335.35107346,,
2011-05-31,2692,1509640,,,,,,,,,,,,,,,,,-35978392.0,-34382817.15558474,,
2011-06-01,2834,2187722,,,,,,,,,,-71.66771839169412,,,,,,,-33790670.0,-33607091.0280947,,
2011-06-02,2877,1739435,,,,,6.15862404158279,52.90476890056921,,,,-65.97762645914393,,,,,,,-32051235.0,-32424275.2280947,,
2011-06-03,2801,1412833,,,,,6.9935769263815954,49.485892430087404,,,9.53939146109728,-57.27180820335062,,,,,,,-33464068.0,-33483899.9780947,,
2011-06-07,3071,2126318,,,,,13.498558570799219,43.19654210836205,,,19.063913183390238,-12.58844622059197,,,,,,,-31337750.0,-32009743.409404606,,
2011-06-08,3033,1007882,,,,,12.669679525921328,40.54405826151182,,18.324107158231865,26.369016830208068,10.379138788814565,,,,,,,-32345632.0,-31757772.909404606,,
2011-06-09,2938,676659,,,,,11.908117457322252,39.45638074646917,,26.84076752501056,35.08937256143337,2.3639191290824835,,,,,,,-33022291.0,-32130625.827771954,,
2011-06-10,2777,1142846,,,,,10.930966576127465,41.554448548346926,,30.35744810224422,29.613954915091217,-42.79642286374904,,,4486.805545521646,3225.65,1964.494454478354,,-34165137.0,-33228433.561762102,,
2011-06-13,2635,839503,,,,,9.983534706499533,46.262336158225466,18.27050289921658,28.58782257306446,21.060140242668794,-128.49727813647297,-49.73292636398321,-2607.0,3978.0167382575232,3095.3,2212.583261742477,242.44494373169786,-35004640.0,-33521104.332404304,85.49559960492562,
2011-06-14,2664,462874,,,,,9.55792214170958,44.290105668291005,19.532453851655635,21.517167217246918,13.877406493980734,-126.67381154760601,-40.33594624860022,-1801.0,3644.5786713420575,3005.25,2365.9213286579425,231.94775784968655,-34541766.0,-33601217.14009661,-9.982069303503293,
2011-06-15,2697,409346,,,,,9.227954086930463,42.76107877346494,20.99368126873606,16.999317518828914,16.060405819837204,-105.9603836156671,-28.951527924130662,-1099.0,3489.382220074082,2950.3,2411.2177799259184,220.79068149149373,-34132420.0,-33333373.461084265,-96.83731331486722,
2011-06-16,2673,517909,,,,,10.890367250824971,40.90245027265102,20.705833107004462,16.536151226458188,19.67064136555662,-80.19553345036108,-28.33780160857909,-1057.0,3313.6588297958133,2897.45,2481.2411702041863,211.99894763776487,-34650329.0,-33704803.14795295,-92.0667022655536,
2011-06-17,2607,1138833,,,,,10.314875094370864,43.39844537226632,19.915386238950486,17.77962259064594,17.60782058654399,-115.79384871155438,-20.51829268292683,-673.0,3259.1528044670995,2863.8,2468.447195532901,205.36070678634468,-35789162.0,-33795506.661227286,-82.5360727452397,
2011-06-20,2616,361634,-303.13279488805574,,,,10.043620026776459,42.25717627058127,20.351832453376826,16.834498498761032,13.22503354418248,-91.35604542418172,-19.90202082057563,-650.0,3194.6274556099506,2831.3,2467.9725443900497,195.0259052646163,-35427528.0,-33860084.161227286,-87.74031021285987,
2011-06-21,2616,440896,-294.50837630128945,,,,9.834727847737867,41.37829060907215,20.35183245337683,13.705514024662962,10.283687943262413,-85.4684633390271,-20.0,-654.0,3112.461370671831,2798.6,2484.738629328169,184.63689776320945,-35427528.0,-33818094.06598919,-87.13391963193747,
2011-06-22,2616,417288,-284.395132379449,,,61.50253421478242,10.062155203962378,40.157588267905766,20.35183245337683,11.441441441441443,10.815602836879433,-73.13771678273919,-17.136522014570794,-541.0,3048.2458438430194,2771.55,2494.854156156981,176.12386558292826,-35427528.0,-33825414.90809445,-85.78558610851091,42.0088419472989
2011-06-23,2611,539151,-273.62954090359744,,,60.983260341745776,10.720807869337978,38.71192665653844,20.280216313694392,10.539795114263201,10.520094562647754,-61.581617427633375,-11.13002042205582,-327.0,3029.2537173621267,2755.2,2481.146282637873,168.96513330335387,-35966679.0,-34139249.07227355,-83.67845696542467,39.81533084906305
2011-06-24,2626,447345,-260.88009412447036,,,60.5349678487838,10.436963089023385,37.686987262856505,21.156352755294144,10.815602836879435,11.111111111111112,-54.94918484014406,-6.080114449213162,-170.0,3025.66601943606,2746.7,2467.7339805639394,161.08690482482723,-35519334.0,-34129731.093550146,-84.78431305856243,37.835560754044515
2011-06-27,2645,576913,-246.40254927900696,,,59.1668886816022,13.050520781431812,36.02598698598304,22.295010684115738,11.581530824919176,13.113386800998653,-32.78445134296153,-5.5694394858978935,-156.0,3020.0717624513536,2738.9,2457.7282375486466,155.6698495311378,-34942421.0,-34418187.593550146,-70.59397406680405,37.285375148909
2011-06-28,2659,572923,-231.1349281120024,,,57.969118155564715,12.533891243986616,34.59983018317895,23.155783581755106,13.667792160562264,16.778878569577028,-22.784285270032246,-3.2739177882866497,-90.0,3017.654232095481,2734.4,2451.1457679045193,150.03798052188887,-34369498.0,-34418187.593550146,-65.78951453991759,36.993605839072586
2011-06-29,2616,582655,-219.96929981179073,,,57.30829090864251,11.639220960908968,35.84905386023946,22.355149501771155,15.768232278009345,17.412431463452354,-62.67166042446907,-2.823179791976226,-76.0,3018.0358363182995,2730.6,2443.1641636817003,148.11323646789202,-34952153.0,-34491631.50111317,-61.404374552873534,38.46906876382915
2011-06-30,2616,386768,-208.71452778385537,49.370721503202105,-258.0852492870575,56.72347867931708,11.29625795930579,34.792720351507654,22.355149501771155,18.3178934754376,20.762370393283415,-71.29629629629629,-7.6923076923076925,-218.0,3007.158588321867,2719.7,2432.241411678133,141.91737573308095,-34952153.0,-34417569.54366636,-82.32097131171145,40.72659272575562
2011-07-01,2583,465604,-200.150651946768,46.3476778722316,-246.4983298189996,56.2676936592513,10.941661261595979,34.35452634456042,21.716642668165434,18.8532296531571,18.38488710273553,-102.40353384435355,-10.218978102189782,-294.0,2988.825298379127,2705.0,2421.174701620873,136.2266233543218,-35417757.0,-34786172.71033303,-73.23245766585127,38.26192577022655
2011-07-04,2593,343562,-190.36242270749108,44.90872568920682,-235.2711483966979,55.86093327045258,10.722661261100152,33.6669121782455,22.423417489617908,19.647370495003116,19.7948539889904,-102.71598071931795,-7.425919314530525,-208.0,2978.835395403177,2694.6,2410.364604596823,129.79752593046564,-35074195.0,-34774325.74481579,-75.68275939194513,40.68535364986225
2011-07-05,2578,292527,-181.72079099344228,42.840285922604494,-224.56107691604677,55.55926112910874,10.53473715980962,33.73409042500073,22.108255555915637,17.597954200799723,14.614121510673236,-137.6291727533414,-16.053402800390753,-493.0,2899.6084202680154,2669.95,2440.2915797319843,123.51665945292656,-35366722.0,-34847457.49481579,-86.24255638150079,39.24074501170627
2011-07-06,2621,505659,-169.44919018051633,44.089509388424375,-213.5386995689407,54.37881934691036,13.105914497975213,31.950133502755094,25.27736839854705,19.797127418489804,24.982406755805773,-44.90010515247048,-13.583910319815365,-412.0,2807.9807347269134,2649.35,2490.7192652730864,120.4278429969897,-34861063.0,-34541213.3117172,-49.82954353783479,47.13056741776527
2011-07-07,2588,368369,-160.5361218492435,42.40206217575778,-202.93818402500128,53.315263212227485,12.668945509035222,30.884872659236418,24.472999350332277,21.37876639911337,24.5397709308611,-71.88755020080201,-11.91286589516678,-350.0,2721.4474888040972,2631.85,2542.2525111959026,115.91364882084686,-35229432.0,-34823915.10241487,-45.5606147261767,44.04357745026972
2011-07-08,2593,353362,-151.32461678230038,41.29085379416074,-192.61547057646112,51.93783583510391,13.60780998007552,29.481651335725186,24.85438084728818,25.763365482791485,27.76791876170758,-21.275684931508092,-6.625855239467051,-184.0,2684.109824275704,2622.65,2561.1901757242963,112.50714884479213,-34876070.0,-35177277.10241487,-69.08052353510446,40.14792172214445
2011-07-11,2654,601553,-137.51703170954124,44.078751093535914,-181.59578280307716,49.72309371453218,16.260453548651515,27.1724873370904,29.43063183157269,28.94958416483368,34.54106280193236,121.87916212616682,0.7210626185958254,19.0,2686.367507517826,2623.6,2560.8324924821736,111.73220121089543,-34274517.0,-35140144.2011803,-28.344151241865724,42.790178731322804
2011-07-12,2649,276512,-125.53083791510562,44.85195591037723,-170.38279382548285,47.713722379374786,15.69867550172138,26.233712362530696,29.276799955176664,37.19478129416018,49.275362318840585,87.96934865900285,-0.5630630630630631,-15.0,2684.0064387452403,2622.85,2561.6935612547595,107.76072764988756,-34551029.0,-35113809.724989824,-40.261928732225186,45.793329940949846
