Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2014-12-12,2995,9190546,,,,,,,,,,,,,,,,,9190546.0,-8789086.892355694,,
2014-12-15,3162,3244594,,,,,,,,,,,,,,,,,12435140.0,-8571745.667475311,,
2014-12-16,2967,1258787,,,,,,,,,,,,,,,,,11176353.0,-9426566.638822015,,
2014-12-17,2925,631744,,,,,,,,,,,,,,,,,10544609.0,-10058310.638822015,,
2014-12-18,3127,1561177,,,,,,,,,,,,,,,,,12105786.0,-8957270.017769383,,
2014-12-19,3260,1027645,,,,,,,,,,,,,,,,,13133431.0,-8047551.49317922,,
2014-12-22,3524,1621802,,,,,,,,,,,,,,,,,14755233.0,-7804919.697903629,,
2014-12-23,3462,667322,,,,,,,,,,,,,,,,,14087911.0,-7897907.189706909,,
2014-12-24,3664,1658521,,,,,,,,,,,,,,,,,15746432.0,-7443221.275868788,,
2014-12-26,3629,644401,,,,,,,,,,,,,,,,,15102031.0,-7212435.801450184,,
2014-12-29,3517,313690,,,,,,,,,,,,,,,,,14788341.0,-7406624.849069231,,
2014-12-30,3503,399002,,,,,,,,,,,,,,,,,14389339.0,-7174869.19637462,,
2015-01-02,3496,312685,,,,,,,,,,,,,,,,,14076654.0,-7088611.265340137,,
2015-01-05,3678,402132,,,,,,,,,,75.60741994189208,,,,,,,14478786.0,-6686479.265340137,,
2015-01-06,3691,604429,,,,,32.04618861286193,5.490430555835962,,,,92.90194783757013,,,,,,,15083215.0,-6635122.552921836,,
2015-01-07,3636,263123,,,,,30.215824328016446,5.176836695448051,,,85.34639100471527,77.7414330218069,,,,,,,14820092.0,-6780366.448921836,,
2015-01-08,3636,164738,,,,,28.825736297288714,6.25311188812606,,,83.82299601015598,66.699039602892,,,,,,,14820092.0,-6756832.448921836,,
2015-01-09,3524,286210,,,,,25.51114801610513,11.126843143134852,,82.31169145206142,77.76568734131303,31.153076767787844,,,,,,,14533882.0,-6889357.701840124,,
2015-01-12,3573,239971,,,,,23.464727716344576,11.785436224248604,,78.49787040960304,73.90492787734009,-6.473708056821377,,,,,,,14773853.0,-6723631.873110842,,
2015-01-13,3664,401673,,,,,27.065027099859652,10.716458816859895,,74.50614420571401,71.84781739848894,72.8517110266156,,,3935.853639415663,3431.65,2927.446360584337,,15175526.0,-6587178.3659338085,,
2015-01-14,3914,510955,,,,,30.469104810375306,9.191446116886041,72.5869225892305,75.90675266510634,81.96751271949002,191.53439153439177,30.684474123539232,919.0,3981.758070450132,3477.6,2973.441929549868,233.97574601130182,15686481.0,-6076223.3659338085,-94.44042824006321,
2015-01-15,4109,935808,,,,,36.79335482089944,8.247890992017632,76.24100541546497,81.20850639571404,89.81018906916317,295.0997663131402,29.949399114484503,947.0,4077.235967592877,3524.95,2972.6640324071227,236.32806999072594,16622289.0,-5486487.758386639,-71.1579322405207,
2015-01-16,4109,618177,,,,,37.01688591286169,7.3114811267297135,76.24100541546497,87.84043151765728,91.74359276431863,214.70172186722604,38.49005729693293,1142.0,4127.88824527052,3582.05,3036.21175472948,241.55167934224414,16622289.0,-5544882.328419212,-50.89105623111774,
2015-01-19,4569,2467753,,,,,43.99809536253591,5.876759171820262,82.3800551230981,89.84079770087057,87.9686112691299,234.35203533977383,56.205128205128204,1644.0,4280.190865668126,3664.25,3048.309134331874,268.3655105454598,19090042.0,-4605737.462022451,290.6254748758991,
