Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2019-03-05,15617,15994245,,,,,,,,,,,,,,,,,15994245.0,2531381.5720369057,,
2019-03-06,16976,6007527,,,,,,,,,,,,,,,,,22001772.0,6709455.905370239,,
2019-03-07,17297,4126431,,,,,,,,,,,,,,,,,26128203.0,4648848.768834209,,
2019-03-08,17272,1910724,,,,,,,,,,,,,,,,,24217479.0,5482223.964788697,,
2019-03-11,17099,1596965,,,,,,,,,,,,,,,,,22620514.0,6242243.91661914,,
2019-03-12,16605,1356839,,,,,,,,,,,,,,,,,21263675.0,5240870.724925849,,
2019-03-13,16309,1823072,,,,,,,,,,,,,,,,,19440603.0,5739699.014496401,,
2019-03-14,17297,2820162,,,,,,,,,,,,,,,,,22260765.0,7701658.682042575,,
2019-03-15,16902,1937386,,,,,,,,,,,,,,,,,20323379.0,7380121.157190006,,
2019-03-18,16704,1610194,,,,,,,,,,,,,,,,,18713185.0,7526143.652288046,,
2019-03-19,17964,3981437,,,,,,,,,,,,,,,,,22694622.0,11507580.652288046,,
2019-03-20,17643,2422505,,,,,,,,,,,,,,,,,20272117.0,10431214.538677247,,
2019-03-21,18038,2560235,,,,,,,,,,,,,,,,,22832352.0,10427759.430715034,,
2019-03-22,17272,4400000,,,,,,,,,,60.35403297795275,,,,,,,18432352.0,8611886.414842017,,
2019-03-25,16655,2531959,,,,,25.03187105655082,23.233137881878775,,,,-73.72358109712654,,,,,,,15900393.0,8615550.610211048,,
2019-03-26,16877,776269,,,,,24.163086954993638,21.66795014352672,,,48.091196676522316,-52.34358233714419,,,,,,,16676662.0,8894404.522832407,,
2019-03-27,17421,1186823,,,,,27.368496596902126,19.98785460203014,,,46.02085717952119,29.334318371563327,,,,,,,17863485.0,9673464.3133352,,
2019-03-28,15468,3408786,,,,,22.08569261462596,29.85131999094891,,43.260108364283866,35.66827123680809,-158.73156016628,,,,,,,14454699.0,6645591.686197231,,
2019-03-29,15098,3075411,,,,,19.242241517673246,36.70160971573459,,36.9624361797271,29.198180122852012,-225.64685094030048,,,,,,,11379288.0,7531512.550394761,,
2019-04-01,15048,831530,,,,,18.378851131807394,35.05482563679753,,26.759540418529397,15.412169895928097,-163.53544034479552,,,18481.03287008032,16778.1,15075.167129919679,,10547758.0,7696471.943107312,,
2019-04-02,14628,975686,,,,,17.058959422048765,35.23383243256274,38.42751469256485,20.875345431096637,18.015686274509804,-149.37395852935504,-6.332842415316642,-989.0,18611.50806953153,16728.65,14845.791930468473,1020.0821860647255,9572072.0,7147571.475344986,-93.89976832291865,
2019-04-03,15098,1161275,,,,,16.655573058441714,33.00097494145972,42.37026576883707,17.147847481649237,18.015686274509804,-98.62291573785134,-11.0626767200754,-1878.0,18642.09978267366,16634.75,14627.400217326338,995.2063068966694,10733347.0,7209473.127797011,-80.66966656995466,
2019-04-04,15048,540109,,,,,16.144469937221373,31.988286801777516,42.06860465951489,18.015686274509804,18.015686274509804,-83.58402038544492,-13.002254726253108,-2249.0,18618.65713560452,16522.3,14425.942864395478,945.3733623443436,10193238.0,7167408.563934083,-86.91098918169236,
2019-04-05,14727,937264,,,,,15.438763484540043,33.50414681665259,40.13744032841594,18.27450980392157,18.7921568627451,-86.55218445753756,-14.734830940250117,-2545.0,18600.07911318649,16395.05,14190.020886813509,909.1806002290541,9255974.0,6948421.648046233,-50.94718023115845,
2019-04-08,15691,1451117,,,,,21.744299845657377,30.254734633177545,47.72349647144849,20.083660130718954,23.44313725490196,-41.448424596286436,-8.234399672495467,-1408.0,18525.18559616744,16324.65,14124.114403832556,916.5123650843932,10707091.0,8251865.2669455055,-9.132823825193414,
2019-04-09,16012,1298806,-716.4056921046522,,,,25.957037717344853,28.44240861284352,49.94679143947749,24.413071895424835,31.003921568627447,5.1710602952720475,-3.571213489912677,-593.0,18495.607007168706,16295.0,14094.392992831295,895.8572268535464,12005897.0,8194799.9769630805,-4.27707340369786,
2019-04-10,16358,733193,-610.6628045619236,,,,25.962595773335092,26.85042467789586,52.25090134836109,33.102448327153326,44.860286157930574,34.188234833812515,0.3004476056165308,49.0,18498.222998289464,16297.45,14096.677001710535,873.5988309088727,12739090.0,8672408.093160264,-59.78255384318337,
2019-04-11,16556,632578,-505.0618208226115,,,17.901267991210783,25.538834128218,25.38493229237016,53.53921987819316,44.10431450120908,56.448735777069224,57.38352880191789,-4.283979880904203,-741.0,18417.124497936627,16260.4,14103.67550206337,851.6154898587342,13371668.0,9304986.093160264,-77.5694445921901,64.25969017893146
2019-04-12,16309,507718,-436.2740207895604,,,16.403546449837783,26.083480446492555,24.158117139306782,51.70725266708184,54.798753637487636,63.08723897746311,65.47015905603925,-3.508460537214531,-593.0,18367.59027245838,16230.75,14093.90972754162,826.5807908857472,12863950.0,8905293.199543243,-73.79365805265445,60.29556789843307
2019-04-15,15790,746718,-418.8103709540992,,,15.86483704883829,23.921880034377708,29.935518854999792,48.06927499891311,60.124333616683934,60.837026095519455,20.948068073917206,-5.471743295019157,-914.0,18318.542767740262,16185.05,14051.557232259736,825.8973341811651,12117232.0,8702141.978955008,-53.62558797262938,57.073036155761606
2019-04-16,15468,537086,-426.0418661433632,,,15.73868116005818,22.693289807106492,30.452414816334468,45.95758262850003,58.62442931121688,51.94902286066807,-3.0752580538906664,-13.894455577822312,-2496.0,18050.071788502682,16060.25,14070.42821149732,804.8307651305681,11580146.0,8560442.693848625,-86.51024743076432,56.52672639467022
2019-04-17,15567,367661,-418.9549536432896,,,15.401631696641097,22.55452170384515,28.859449832794684,46.71515220616122,53.94174422969822,49.03918373290713,12.585098937456376,-11.766706342458766,-2076.0,17817.614310317607,15956.45,14095.285689682394,785.308504722937,11947807.0,8486017.3902049,-84.82310666025457,52.64161302554596
2019-04-18,15567,355354,-408.62811389373564,,,15.046310953984564,21.736566968293907,27.465675317098047,46.715152206161214,50.08884729224986,49.278335283174385,11.236488089187185,-13.698857966515135,-2471.0,17434.9731443976,15832.9,14230.8268556024,764.205109464083,11947807.0,8327106.275598159,-86.12025849189625,49.936445178531564
2019-04-19,15641,325771,-389.97742048432883,91.22447544873387,-481.2018959330627,14.731862788285675,20.891717401674462,26.398148696063185,47.32669609896944,50.08821758190218,51.94713372962503,6.50466993826172,-9.443029180176007,-1631.0,17211.89788007789,15751.35,14290.802119922111,738.5789826844434,12273578.0,8327106.275598159,-92.59611363636364,47.01268663318199
2019-04-22,15938,451643,-347.2285590326919,107.17866952029664,-454.40722855298856,14.14161997536774,21.49220266854551,25.337581302883983,49.76255737540442,51.9453651775122,54.61062651973719,25.67315476399991,-4.30501350945662,-717.0,17119.675986121405,15715.5,14311.324013878595,714.791374032433,12725221.0,8778749.275598159,-82.16230989522342,46.697099626054055
2019-04-23,15790,425314,-321.5851085046834,106.25769603864416,-427.84280454332753,13.306802945789617,22.021169863828852,24.214224156309413,48.58403658797682,54.49070103977194,56.91434286995362,22.340709144228324,-6.440718137109676,-1087.0,16961.606885098474,15661.15,14360.693114901527,694.1783194757096,12299907.0,8580422.26212107,-45.210487601591716,47.173893647193765
2019-04-24,15493,549304,-321.52160614222885,85.05695872087898,-406.57856486310783,13.475742670729298,20.103985648896195,27.33446784531556,46.269315038119416,54.9998263978708,53.47450980392157,-39.49827718698045,-11.067102921761093,-1928.0,16584.67977699449,15564.75,14544.820223005512,696.9579754368552,11750603.0,8397320.928787736,-53.71643454836989,46.34339155969576
2019-04-25,15493,367495,-317.8077896913928,71.016620137372,-388.82440982876483,13.768513534522112,19.089526907060186,26.844222122339286,46.26931503811942,51.72154941266749,44.77579556412729,-96.3014735861145,0.16162399793121282,25.0,16585.51360952173,15566.0,14546.48639047827,680.6684330127199,11750603.0,8591568.285930593,-89.21918243034324,50.419861411328974
2019-04-26,15221,272987,-332.97436894283055,44.68003270874743,-377.654401651578,14.128155220220883,18.2174075716904,26.222851214711987,44.13549211072076,42.152072794629696,28.205913015840235,-124.35756396152422,0.8146774407206252,123.0,16581.732542440204,15572.15,14562.567457559797,662.5558577848143,11477616.0,8463190.615660323,-91.12356039566744,47.098117656422424
2019-04-29,15394,282448,-327.261867000876,40.314027720561626,-367.57589472143763,14.453015245833429,17.52528157379292,25.226577897925477,45.808694642578594,30.955754704279826,19.88555553287195,-97.01215120466526,2.2993088782562467,346.0,16574.061898160908,15589.45,14604.838101839094,641.4187181624252,11760064.0,8650538.278959986,-66.03273483818984,51.46558472722667
2019-04-30,15320,318685,-324.959914003608,34.09278457426376,-359.05269857787175,14.520115603479814,17.58766954759998,23.92469953287592,45.199150974724105,19.946360555396108,11.747613117476135,-90.77102119073298,4.730653541153951,692.0,16515.293732095783,15624.05,14732.806267904214,627.2809008641834,11441379.0,8649731.48149163,-67.33734008687222,50.6050449300642
2019-05-02,15839,593974,-278.05143329060775,64.80101222981125,-342.852445520419,13.469289175492808,21.027071192953365,21.735055889568912,50.10100875304757,18.73589363203107,24.574512245745126,4.022854864963124,4.907934825804742,741.0,16522.91178919763,15661.1,14799.28821080237,632.3337394445791,12035353.0,9120928.73288828,-48.85156401369185,52.82712590110772
2019-05-03,16136,751222,-214.43878961756673,102.73092472228183,-317.16971433984855,13.123272257187734,24.625646251925293,20.48047506096086,52.65217599832914,27.914316068350587,47.42082284183049,175.94729628155912,7.230196703880915,1088.0,16552.643834714214,15715.5,14878.356165285786,621.7381527969856,12786575.0,9372461.492438842,39.087110194423715,56.750520374497235
2019-05-07,15913,333395,-179.9452506758098,109.77957093123104,-289.72482160704084,12.128706241411752,22.812442490875842,22.49226394286261,50.60721780061372,46.002973571174984,66.01358562594933,77.78078484438488,8.053235553744823,1186.0,16481.2832906729,15774.8,15068.316709327095,618.7747255231499,12453180.0,9621665.835873185,-64.42891223817409,61.10660481697515
2019-05-08,15641,439300,-172.56774579921148,93.72566064626352,-266.293406445475,11.566351873019444,21.207633218355564,23.462198155843605,48.20348081296582,59.81976417426091,66.02488405500289,-17.793791574279503,-0.3186540054808489,-50.0,16480.303983039652,15772.3,15064.296016960345,614.5430422205756,12013880.0,9924112.253318667,-69.72676910269813,58.964110962384794
2019-05-09,14480,1360611,-257.4364500035954,7.085565153503694,-264.5220151570991,13.074784439957181,17.62484354300086,33.25015742156631,39.72564258005611,58.096905094011674,42.25224560108281,-223.03232102876257,-9.567824131901075,-1532.0,16590.303845285733,15695.7,14801.096154714269,661.3171160294328,10653269.0,9125595.95813374,4.758601361558231,51.444903088081695
2019-05-10,14579,542691,-313.09783990727374,-38.86065980013973,-274.237180107134,14.906479718445155,15.775174583646294,33.90711946271349,40.66237649328365,46.06032578911425,29.90384771125707,-220.17476493908163,-10.87541264213229,-1779.0,16571.292974677657,15606.75,14642.207025322343,676.6497027759988,11195960.0,9468317.75046601,-25.982517563588306,55.059712694184405
2019-05-13,13986,633436,-400.44396772460277,-100.96543009397499,-299.4785376306278,16.75430610962211,14.211734927801462,32.15147204789176,37.033483872597785,30.42441109124363,19.117139961391008,-205.05906400148697,-15.523073206088426,-2570.0,16577.997766535595,15478.25,14378.502233464405,689.687272105458,10562524.0,9349648.7276812,0.13563544732823463,52.65872503865827
2019-05-14,13591,768899,-495.8240511401764,-157.07641080763887,-338.7476403325375,18.94894949320659,12.942231476450832,34.27755560862738,34.85258677494002,22.570980839122683,18.69195484471997,-185.74186651349115,-16.66564473603532,-2718.0,16649.975064764374,15342.35,14034.724935235627,697.9033953717595,9793625.0,9305711.641966913,51.44213914023139,49.04451240518038
2019-05-15,14579,538236,-486.08680537015425,-117.87133203009336,-368.2154733400609,19.6112206736391,17.43582343374765,30.714334740808653,43.597843408426435,20.367521931420598,23.293470988150812,-85.85824692648346,-7.669411019632679,-1211.0,16612.844942892625,15281.8,13950.755057107373,715.0467463588124,10331861.0,9815287.578069149,-27.919776943906534,54.860067780057896
2019-05-16,14406,395423,-486.719028138712,-94.80284383892086,-391.91618429979115,19.899427095894634,17.898449528817338,28.82531338391825,42.54517580287856,24.753747749836823,32.27581741663969,-58.19511002964588,-6.865787432117921,-1062.0,16609.595810696825,15228.7,13847.804189303177,708.4357240963313,9936438.0,9749272.60842328,-26.376222802307264,54.050827045609886
2019-05-17,13862,514573,-525.0637151723258,-106.51802469802772,-418.5456904742981,20.66768710955363,16.321552553727656,30.319093104677357,39.39659978590273,30.25648702015012,35.20017265565987,-80.76335519048635,-10.952656260037259,-1705.0,16636.26190710687,15143.45,13650.638092893134,716.8812895233452,9421865.0,9352486.260446401,39.95854877183057,49.541851294076075
2019-05-20,13319,558321,-592.4384561226216,-139.11421251865875,-453.3242436039628,21.949176559592978,14.908660887670578,32.88444307395147,36.55424064405946,29.693176504442288,21.603539441027305,-112.05205223938799,-14.440804265433288,-2248.0,16706.6982297905,15031.05,13355.401770209497,724.7861618315792,8863544.0,8889803.579890845,57.11684686256522,48.64682273471105
