Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2021-09-17,111500,17373529,,,,,,,,,,,,,,,,,17373529.0,-1184558.7954545456,,
2021-09-23,99100,2914293,,,,,,,,,,,,,,,,,14459236.0,-4057219.038311688,,
2021-09-24,99200,2262592,,,,,,,,,,,,,,,,,16721828.0,-3743937.069080919,,
2021-09-27,97000,672212,,,,,,,,,,,,,,,,,16049616.0,-4184351.8277016087,,
2021-09-28,100000,1037427,,,,,,,,,,,,,,,,,17087043.0,-4184351.8277016087,,
2021-09-29,107500,1435139,,,,,,,,,,,,,,,,,18522182.0,-2892726.7277016086,,
2021-09-30,115500,1704373,,,,,,,,,,,,,,,,,20226555.0,-1653182.7277016086,,
2021-10-01,113500,1203513,,,,,,,,,,,,,,,,,19023042.0,-1825113.1562730372,,
2021-10-05,104500,706523,,,,,,,,,,,,,,,,,18316519.0,-2531636.156273037,,
2021-10-06,107000,797435,,,,,,,,,,,,,,,,,19113954.0,-2930353.656273037,,
2021-10-07,109500,474072,,,,,,,,,,,,,,,,,19588026.0,-2930353.656273037,,
2021-10-08,104500,423907,,,,,,,,,,,,,,,,,19164119.0,-3172586.2277016086,,
2021-10-12,101000,292797,,,,,,,,,,,,,,,,,18871322.0,-3412147.40951979,,
2021-10-13,102000,252749,,,,,,,,,,-61.4936247723133,,,,,,,19124071.0,-3317366.53451979,,
2021-10-14,102000,248276,,,,,18.44864556109979,17.145307791284903,,,,-52.48525695029473,,,,,,,19124071.0,-3234607.8678531237,,
2021-10-15,105000,292470,,,,,23.49772539636647,15.738872000755709,,,30.555555555555557,3.6305605425893495,,,,,,,19416541.0,-3276389.2964245523,,
2021-10-18,101500,659149,,,,,21.59041935302366,20.143237768327392,,,29.468599033816428,-58.83343861865651,,,,,,,18757392.0,-3441176.5464245523,,
2021-10-19,101500,332255,,,,,20.51447243176385,19.139410361982875,,29.0438808373591,27.107487922705317,-74.30167597765372,,,,,,,18757392.0,-3441176.5464245523,,
2021-10-20,100500,269309,,,,,19.636274710283086,18.320077248431616,,24.788366475676895,17.789012470508933,-86.59086453636542,,,,,,,18488083.0,-3602761.9464245522,,
2021-10-21,100500,239165,,,,,18.770904698288586,17.51271201739249,,18.874523072085857,11.727068823043325,-77.03101920236341,,,114114.04632032556,104140.0,94165.95367967444,,18488083.0,-3746260.9464245522,,
2021-10-22,101000,169264,,,,,18.25118434201193,17.02782793346874,42.28095582588824,12.202313434240265,7.090859009168535,-71.53772683858652,-9.417040358744394,-10500.0,113076.34768413041,103615.0,94153.65231586959,5306.93200214635,18657347.0,-3689839.6130912188,-99.02573622204217,
2021-10-25,106000,516573,,,,,24.96465720165391,15.07943568530579,49.662726305959794,12.768594576132477,19.487855896185565,12.403309947832701,6.962663975782038,6900.0,113239.09478343658,103960.0,94680.90521656342,5397.39291899731,19173920.0,-3252739.382321988,-82.27450019610245,
2021-10-26,108500,388727,,,,,27.757757521709525,13.655593854763902,52.837307210616736,22.88420981356325,42.07391453533565,95.3122204329931,9.375,9300.0,113635.1845801265,104425.0,95214.8154198735,5404.9769669748775,19562647.0,-3005367.6550492607,-82.81939474726332,
2021-10-27,113500,771405,,,,,35.17225660854636,11.801045863742866,58.36519967550879,42.98351249843417,67.3887670637813,197.1846321356354,17.010309278350515,16500.0,114606.81569766125,105250.0,95893.18430233875,5628.398155232355,20334052.0,-2778483.831519849,14.756207862995602,
2021-10-28,112000,569668,,,,,33.6948376471552,10.532456784829446,56.28201265280841,60.97426837598517,73.46012352883857,189.5213409365818,12.0,12000.0,115321.5363062177,105850.0,96378.4636937823,5725.261190687891,19764384.0,-3185389.545805563,-45.088377302692145,
2021-10-29,117000,693739,2551.0511224165384,,,,31.6810321481748,9.43965527102175,61.14771951633513,73.46654447643027,79.55074283667098,176.57051282051273,8.837209302325581,9500.0,116961.14121756572,106325.0,95688.85878243428,5813.464928268821,20458123.0,-2954143.2124722297,-51.660501177934684,
2021-11-01,118500,385442,3202.3687012163573,,,,29.12413114840966,8.677803072298346,62.466881363306136,79.22719253290693,84.67071123321124,139.52645935624673,2.5974025974025974,3000.0,117693.17721379014,106475.0,95256.82278620986,5792.183632885654,20843565.0,-2638781.5761085935,-77.38511464333219,
2021-11-02,116000,368462,3476.7358219146117,,,31.825063804722802,26.795201836753545,7.9838771373796416,58.95509525567484,84.87267279912253,90.39656432748536,104.5643153526973,2.202643171806167,2500.0,118178.42821802685,106600.0,95021.57178197315,5772.695783267736,20475103.0,-2672278.121563139,-69.38446032572976,60.46100765614525
2021-11-03,116500,281713,3691.960935602241,,,33.48839812288596,24.84976301364704,8.856295716742414,59.435197775357224,88.18336573270783,89.48282163742691,80.83473703911658,11.483253588516746,12000.0,119502.03235242049,107200.0,94897.96764757951,5722.005476281075,20756816.0,-2503250.321563139,-60.12684654285848,59.64518984616121
2021-11-04,112500,292430,3499.422652188252,,,34.58054094944774,23.047689038546213,8.93923573202296,54.10572402104559,86.27558479532162,78.94736842105264,53.96825396825403,5.140186915887851,5500.0,119990.88990044258,107475.0,94959.11009955742,5675.368179614149,20464386.0,-2737194.321563139,-63.32867255638391,54.20554889760616
2021-11-05,113500,330870,3388.4661890896823,,,33.43301029071727,21.07281730051804,13.171634356244684,55.16372612731806,80.99719785575049,74.56140350877193,30.042340261739835,3.65296803652968,4000.0,120439.30569988044,107675.0,94910.69430011956,5696.035854913205,20795256.0,-2516614.321563139,-30.206804029767632,56.71356567437509
2021-11-08,112000,176789,3143.2613682678493,,,32.428332759092164,19.851580129871987,12.408296011655649,53.22631382365605,73.39181286549707,66.66666666666666,21.936037776346836,7.177033492822966,7500.0,120859.76190254919,108050.0,95240.23809745081,5589.513408184399,20618467.0,-2516614.321563139,-58.29533364629506,60.7897930193342
2021-11-09,109500,335982,2715.898487358805,,,31.543684240064678,17.896890838512846,11.186510986014266,50.137067538783434,67.54385964912281,61.40350877192983,2.7216174183513493,8.415841584158416,8500.0,120878.52772399854,108475.0,96071.47227600146,5676.981266440344,20282485.0,-2756601.464420282,14.749126527935736,53.7359022556391
2021-11-10,111000,255794,2469.777728955887,-656.7714940452488,3126.549223001136,29.45028815684663,16.520460798856266,13.822027538474437,51.90024745387551,61.69590643274854,57.01754385964912,-39.148395297108586,8.823529411764707,9000.0,121005.04552971554,108925.0,96844.95447028446,5666.1364817431095,20538279.0,-2547315.464420282,1.2047525410585205,54.54523350499157
2021-11-11,112000,164295,2328.574539563793,-638.3797467498744,2966.9542863136676,27.789131520463187,16.646704685821735,13.320539731805335,53.064913912853044,58.47953216374268,57.017543859649116,-28.908554572271154,9.803921568627452,10000.0,121139.41419790169,109425.0,97710.58580209831,5474.290206500463,20702574.0,-2383020.464420282,-33.82566176352124,57.18397357206067
2021-11-12,112000,169377,2191.40879813621,-620.4363905419664,2811.8451886781763,27.052531322469694,18.886962544436486,12.723949038141981,53.064913912853044,57.38791423001948,58.12865497076023,-18.14814814814847,6.666666666666667,7000.0,121357.2061801714,109775.0,98192.7938198286,5325.936632594478,20702574.0,-2439479.464420282,-42.087393578828596,52.92696424941895
2021-11-15,114000,180931,2218.513601312472,-474.66526989256363,2693.1788712050356,26.392836806076108,18.01791436515495,12.138480373244056,55.455140667399924,58.163142899985,59.34322986954566,-11.931818181817965,12.31527093596059,12500.0,121466.16464724796,110400.0,99333.83535275204,5187.853087671658,20883505.0,-2258548.464420282,-72.55081931399425,60.0330422187853
2021-11-16,111500,145772,2015.037152503981,-542.513374960844,2557.550527464825,25.984575159907756,17.813942673433065,11.475089792899142,51.97255386226665,56.62168241115609,52.39316239316239,-35.39325842696667,9.852216748768473,10000.0,121188.82889351362,110900.0,100611.17110648638,5088.580429305465,20737733.0,-2362671.321563139,-56.12646912762788,53.279558836166174
2021-11-17,108500,179729,1593.3386566853296,-771.3694966235962,2364.708153308926,24.102640979441706,16.43231690261744,15.238617480042201,48.15276783881609,50.920677762783015,41.02564102564102,-108.56481481481478,7.960199004975125,8000.0,120505.43317829209,111300.0,102094.56682170791,5083.4160176078985,20558004.0,-2506454.5215631393,-33.262906178404734,49.391219306473545
2021-11-18,106000,175355,1045.360192363747,-1055.478368756143,2100.83856111989,22.783191788236255,15.40308607084347,18.19881307084509,45.236363023627405,38.38873061095283,21.74738841405508,-182.29166666666706,5.472636815920398,5500.0,119743.69022548909,111575.0,103406.30977451091,5020.770829066586,20382649.0,-2637970.7715631393,-26.680325298434134,50.078417756152554
2021-11-19,109000,122211,843.435638352661,-1005.9223382137834,1849.3579765664444,21.588593706672235,14.42976121639801,17.048825529271195,49.128255410959845,26.353276353276346,16.286799620132953,-127.27272727272714,7.920792079207921,8000.0,118686.74343967355,111975.0,105263.25656032645,4962.205994413052,20504860.0,-2546312.5215631393,-27.79858682295113,48.419136419136414
