Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2022-01-27,505000,15946992,,,,,,,,,,,,,,,,,15946992.0,-4094497.945945946,,
2022-01-28,450000,4559773,,,,,,,,,,,,,,,,,11387219.0,-7454330.682788052,,
2022-02-03,477000,2918435,,,,,,,,,,,,,,,,,14305654.0,-6517218.526824749,,
2022-02-04,504000,2088996,,,,,,,,,,,,,,,,,16394650.0,-4572291.216479922,,
2022-02-07,548000,1911176,,,,,,,,,,,,,,,,,18305826.0,-2661115.2164799217,,
2022-02-08,542000,2583335,,,,,,,,,,,,,,,,,15722491.0,-3489732.1032723747,,
2022-02-09,511000,2070704,,,,,,,,,,,,,,,,,13651787.0,-5082581.334041606,,
2022-02-10,474500,2306815,,,,,,,,,,,,,,,,,11344972.0,-6999512.108689493,,
2022-02-11,482000,1411055,,,,,,,,,,,,,,,,,12756027.0,-5797502.293874677,,
2022-02-14,463000,3285402,,,,,,,,,,,,,,,,,9470625.0,-8060779.227208011,,
2022-02-15,451500,825406,,,,,,,,,,,,,,,,,8645219.0,-8748617.560541345,,
2022-02-16,455500,961669,,,,,,,,,,,,,,,,,9606888.0,-8965768.625057474,,
2022-02-17,454500,711183,,,,,,,,,,,,,,,,,8895705.0,-8856355.855826704,,
2022-02-18,454500,418728,,,,,,,,,,-80.2650532987612,,,,,,,8895705.0,-8437627.855826704,,
2022-02-21,453000,327509,,,,,18.522443983846713,21.44083410593865,,,,-75.3372745187206,,,,,,,8568196.0,-8110118.855826704,,
2022-02-22,440000,557179,,,,,17.5072518952292,23.427732228978105,,,5.807418508804797,-90.99603599068762,,,,,,,8011017.0,-8667297.855826704,,
2022-02-23,442000,381560,,,,,16.893625387478817,23.48283997446291,,,3.900409084497108,-82.9357506361322,,,,,,,8392577.0,-8667297.855826704,,
2022-02-24,416500,883314,,,,,15.047661543317142,30.16278371184338,,3.590193291982613,1.0627522826459328,-111.52510139527654,,,,,,,7509263.0,-9510461.219463067,,
2022-02-25,420000,465140,,,,,14.181182843013207,28.425941774446542,,2.2846903332284847,1.890909632542413,-109.17718685647795,,,,,,,7974403.0,-9854260.34989785,,
2022-02-28,412000,970088,,,,,13.098194614868396,32.4069748580508,,1.8760861079333668,2.674596408611754,-143.7652811735939,,,542133.9760809281,467800.0,393466.0239190718,,7004315.0,-9962047.905453406,,
2022-03-02,434000,895460,,,,,16.812267746290114,28.965972858177768,39.10869644747717,5.615106881702178,12.279814603952365,-88.025095471904,-14.05940594059406,-71000.0,537917.1568611142,464250.0,390582.8431388858,23878.26513922752,7899775.0,-9101028.674684176,-94.38477174880379,
2022-03-03,437000,460544,,,,,18.76325063205592,27.629314074485464,40.098500827934444,13.385356088873335,25.201657254055885,-36.7041198501871,-2.888888888888889,-13000.0,537984.5414047838,463600.0,389215.45859521616,22901.80807723266,8360319.0,-8975425.765593268,-89.89984808454281,
2022-03-04,428500,310930,,,,,17.9522104592141,27.731786804850113,38.244389129285885,23.803431730723798,33.92882333416314,-51.01972584419923,-10.167714884696016,-48500.0,536805.8634090608,461175.0,385544.13659093925,21948.19034930473,8049389.0,-9188167.344540637,-89.3460022237946,
2022-03-07,414000,370588,,,,,16.671700901161543,32.238147842744006,35.312411787464605,29.519633130545945,29.428418803418804,-107.29258931207525,-17.857142857142858,-90000.0,532288.0114464435,456675.0,381061.9885535565,21554.900493718473,7678801.0,-9394049.566762859,-82.25999475346052,
2022-03-08,410500,393413,,,,,15.61745050434557,34.34258204382523,34.63769989770624,27.767442535889142,19.94508547008547,-115.54790590935143,-25.09124087591241,-137500.0,515272.4369486886,449800.0,384327.5630513114,21056.680781295956,7285388.0,-9353351.670211134,-79.41513497448692,
2022-03-10,417500,1076446,-27325.978921048285,,,,20.072389715194657,31.393727046603985,37.16523596712066,22.514718815805775,18.170652173913044,-50.583622917223835,-22.970479704797047,-124500.0,494957.1710323727,443575.0,392192.8289676273,20983.565258602695,8361834.0,-10429797.670211134,-58.33114946377454,
2022-03-11,391000,1811373,-28434.495861093048,,,,17.84472974833894,39.00774061957504,32.20286947450107,17.112824383748293,13.222735507246377,-153.9283192090395,-23.483365949119374,-120000.0,483832.1886305253,437575.0,391317.8113694747,21392.024111056577,6550461.0,-12156920.76323439,-12.523808327988935,
2022-03-14,363500,1999479,-31172.6843940501,,,30.016171029252188,15.783627328725395,45.856703936966774,28.10384182158097,13.692684657216018,9.684666290488634,-235.9538293557945,-23.39304531085353,-111000.0,485328.3535530364,432025.0,378721.6464469636,21932.803939375277,4550982.0,-13823153.26323439,-13.32295827797201,26.93790116427397
2022-03-15,359500,1064506,-33281.83285270247,,,32.24660867809933,14.844734627838399,45.70660065639372,27.566595922700387,8.503106380039018,2.6019173423820434,-202.30591852421193,-25.414937759336098,-122500.0,482853.13863168564,425900.0,368946.86136831436,21477.99886915853,3486476.0,-14248955.66323439,-24.55956713239385,25.106406549507728
2022-03-16,363500,625328,-34235.931128254044,,,34.1721599255571,14.3543071544701,44.19658560808611,28.995392310086586,5.913879140713056,5.45505378926849,-147.61826633852883,-21.490280777537798,-99500.0,481324.7309596657,420925.0,360525.2690403343,20607.399611414476,4111804.0,-14290644.196567724,-80.9664692479033,27.44841895889901
2022-03-17,376000,816118,-33596.13996376307,,,34.400040780837834,19.055143017685847,40.92081257617282,33.32193368031856,6.9743207849103435,12.865991223080497,-84.7798742138366,-16.72203765227021,-75500.0,478857.454979119,417150.0,355442.545020881,20441.399591824444,4927922.0,-14530678.902450077,-1.1252644153301528,32.25878633170827
2022-03-18,382000,643915,-32233.38460738113,,,34.59955333716584,17.978844348819102,38.60946723156941,35.31345925348498,13.346416429564266,21.718204276343812,-66.14091981132077,-16.136114160263446,-73500.0,474358.0641475936,413475.0,352591.9358524064,20005.433060750536,5571837.0,-14077553.532079708,-33.04193022755231,35.478832712879424
2022-03-21,386000,655247,-30479.278449447884,,,33.522836166919525,22.49090741278495,36.089016294941004,36.64144463065455,21.734783512728,30.62015503875969,-30.136018371312456,-15.071507150715071,-68500.0,468992.25988202356,410050.0,351107.74011797644,19726.039706268442,6227084.0,-14538653.272820449,-7.865204876944471,33.998130163257265
2022-03-22,397500,413972,-27840.2576311304,3115.2961254107577,-30955.553756541158,32.43923757230157,21.881074248332006,34.079576644503355,40.34758320179994,30.430615895732174,38.95348837209303,-9.897879025923096,-12.541254125412541,-57000.0,462680.08651759656,407200.0,351719.91348240344,19313.89183352102,6641056.0,-14237582.727365904,-1.1358208670067442,42.636365252266714
2022-03-23,407000,523438,-24697.5460768232,5006.406143774366,-29703.952220597566,30.75413324088487,24.66409892563789,32.576948048336476,43.23493489939049,39.405684754521964,48.64341085271318,25.40999802410587,-10.154525386313466,-46000.0,456255.2334236736,404900.0,353544.7665763264,18749.53351650678,7164494.0,-13769243.464208009,59.82400483650831,51.93790892435341
2022-03-24,408000,320746,-21874.082083256915,6263.896109872523,-28137.97819312944,29.04486567719161,24.457588422279155,30.820776396156095,43.53775352650686,48.63389927236411,58.30479859228611,40.86204720434171,-7.2727272727272725,-32000.0,452112.29353349423,403300.0,354487.70646650577,18344.84476304474,7485240.0,-13555412.797541343,-42.43393954187074,57.509617367755595
