Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2021-11-29,76000,8764092,,,,,,,,,,,,,,,,,8764092.0,-5447949.081081081,,
2021-11-30,68000,6863151,,,,,,,,,,,,,,,,,1900941.0,-12311100.081081081,,
2021-12-01,62700,4481654,,,,,,,,,,,,,,,,,-2580713.0,-15836667.894414414,,
2021-12-02,68700,7312303,,,,,,,,,,,,,,,,,4731590.0,-13215276.25290498,,
2021-12-03,66000,3301896,,,,,,,,,,,,,,,,,1429694.0,-15814641.189075192,,
2021-12-06,66000,11832989,,,,,,,,,,,,,,,,,1429694.0,-17927674.939075194,,
2021-12-07,65600,2244270,,,,,,,,,,,,,,,,,-814576.0,-20005702.71685297,,
2021-12-08,64600,2294736,,,,,,,,,,,,,,,,,-3109312.0,-22300438.71685297,,
2021-12-09,65100,3184427,,,,,,,,,,,,,,,,,75115.0,-19116011.71685297,,
2021-12-10,63300,1443615,,,,,,,,,,,,,,,,,-1368500.0,-20389789.65802944,,
2021-12-13,63000,1178159,,,,,,,,,,,,,,,,,-2546659.0,-21567948.65802944,,
2021-12-14,60600,1917405,,,,,,,,,,,,,,,,,-4464064.0,-23485353.65802944,,
2021-12-15,58200,2260768,,,,,,,,,,,,,,,,,-6724832.0,-25434291.589063924,,
2021-12-16,56400,2564560,,,,,,,,,,-154.86903962390863,,,,,,,-9289392.0,-27532567.952700287,,
2021-12-17,57000,3344436,,,,,3.232267016317548,40.164663503740634,,,,-147.76440240756676,,,,,,,-5944956.0,-27532567.952700287,,
2021-12-20,58400,2704260,,,,,4.956353178967533,35.786174777265316,,,10.40571959399984,-102.27831853674216,,,,,,,-3240696.0,-27017470.809843145,,
2021-12-21,60900,2579600,,,,,8.355128879467204,32.680322819974194,,,21.93709346876949,-49.65356383343617,,,,,,,-661096.0,-25500059.045137264,,
2021-12-22,65700,4156492,,,,,17.737705602285143,28.73124502823091,,24.988081427547755,42.621431219873934,38.514793761842135,,,,,,,3495396.0,-21697311.045137264,,
2021-12-23,64900,2251218,,,,,16.86007160101703,27.30966784677784,,41.12650151201003,58.82097984738666,55.70618872549012,,,,,,,1244178.0,-21247067.445137262,,
2021-12-24,65800,1920024,,,,,19.652177789480106,25.732833293753448,,58.59780122867977,74.35099261877873,85.24084778420034,,,72753.30511376885,63845.0,54936.69488623116,,3164202.0,-21887075.445137262,,
2021-12-27,65200,1205094,,,,,18.361527140242554,26.821381991842898,44.84856543714857,70.19486945278597,77.41263589219253,71.49289099526052,-14.210526315789474,-10800.0,70305.70710714282,63305.0,56304.29289285717,3813.7008922913665,1959108.0,-21979774.983598802,-86.24964229038217,
2021-12-28,64800,1100056,,,,,17.641679568826422,26.031234049975144,44.112048424123685,77.60730883454012,81.05829799264914,61.19848374868928,-4.705882352941177,-3200.0,69849.1703438979,63145.0,56440.8296561021,3638.2712399898273,859052.0,-21759763.783598803,-83.97156058492666,
2021-12-29,64500,986784,,,,,18.105067812807057,25.112359870707397,43.5474564773387,79.41838593447224,79.78422391857505,64.86744685932635,2.8708133971291865,1800.0,69961.15045921515,63235.0,56508.84954078485,3465.4414401811323,-127732.0,-22746547.783598803,-77.98170050610779,
2021-12-30,66400,2543077,,,,,23.277618339932317,22.482637659644908,47.9856795192009,80.72335271436941,81.32753623188405,92.9440937781787,-3.3478893740902476,-2300.0,69540.15576135035,63120.0,56699.844238649646,3504.029750301462,2415345.0,-23090206.83765286,-65.22194170564322,
2022-01-03,66500,1123222,,,,,21.976477191498475,21.22593327704451,48.21125081029834,81.33612616931568,82.89661835748792,78.68910666098553,0.7575757575757576,500.0,69613.53151804952,63145.0,56676.46848195048,3404.876644024387,3538567.0,-22822773.02812905,-65.98251428876016,
2022-01-04,70000,3183183,994.6724136636985,,,,27.15146349555466,18.84863421063293,55.34581574816217,84.55991576861142,89.45559271646228,110.7637845239288,6.0606060606060606,4000.0,70377.06228641357,63345.0,56312.93771358643,3473.7327882869854,6721750.0,-20073660.43721996,-73.09907919292412,
2022-01-05,67600,2733991,1097.223359446747,,,,25.530188540285412,17.372352125869714,50.34010466676687,86.92070803287095,88.40991302466261,98.51962034282492,3.048780487804878,2000.0,70657.0662781203,63445.0,56232.93372187969,3448.3598768552833,3987759.0,-22454878.404961895,21.820948459855543,
2022-01-06,61700,3617004,694.4103014768116,,,22.719528165475328,21.794285194134257,28.998936672492974,40.792784223466,84.1803119321006,74.67543005517689,-27.676399026763896,-4.489164086687307,-2900.0,70529.9377590682,63300.0,56070.0622409318,3638.5564779976016,370755.0,-25493161.764961895,57.6217917878135,41.890516023445265
2022-01-07,61000,2312174,315.0620617399545,,,22.47816618275499,20.320234381582285,30.76917299239439,39.84892671103069,72.23743368638236,53.626957979307555,-101.33741704951508,-6.298003072196621,-4100.0,70341.6475007413,63095.0,55848.352499258704,3590.1057741017403,-1941419.0,-25732352.178754997,-27.391207272140324,41.73550289328044
2022-01-10,57500,2262799,-264.94082764635823,,,23.100934239835635,18.63525585380037,33.51550008114154,35.523000300740605,51.65620302219432,26.666221032098488,-181.55829305057418,-9.162717219589258,-5800.0,70448.94531639258,62805.0,55161.05468360742,3590.7448827562666,-4204218.0,-27862045.355225585,56.74532337222875,39.170130988192405
2022-01-11,57200,1645760,-740.2714010670243,,,23.87226455600584,17.424996178121322,32.96246413426209,35.17843729527745,31.133065674217363,13.106018011246043,-181.12211221122092,-9.206349206349206,-5800.0,70538.03558511366,62515.0,54491.96441488634,3540.4021330474684,-5849978.0,-28920033.926654156,39.68912515203805,35.931395220616686
2022-01-12,59400,2164247,-928.7466776664951,,,23.724150779261457,19.151966716978272,30.173768400618204,39.69385949126872,15.918720189529,7.983921525242468,-107.81206561023059,-1.9801980198019802,-1200.0,70552.0303198148,62455.0,54357.969680185204,3550.4259513713755,-3685731.0,-28850219.50729932,12.873753849604022,35.06088987843732
2022-01-13,58000,1094076,-1177.509396624293,,,23.5937321831249,18.295967434102803,28.825148465429905,37.92424930629489,10.653168251293271,10.869565217391305,-103.15635451505005,-0.3436426116838488,-200.0,70563.49123914045,62445.0,54326.50876085956,3448.078843632717,-4779807.0,-29713963.717825636,-51.6060029158233,27.298492829908753
2022-01-14,59000,1422881,-1279.2179724843954,-1135.9604014664671,-143.25757101792826,23.77426806713847,17.084136149375865,28.808343357625912,39.93753672538382,11.356959348993866,15.217391304347826,-85.30961791831359,4.609929078014185,2600.0,70379.32572359714,62575.0,54770.67427640285,3408.366869210844,-3356926.0,-29104157.574968494,-44.51753907102973,32.47359078878129
2022-01-17,59300,915485,-1320.3945721185592,-941.7096008805047,-378.68497123805446,23.934749445100746,16.455337658244655,27.748023849698853,40.54645527180603,13.687600644122384,14.975845410628018,-65.41889483065947,4.035087719298246,2300.0,70225.48936698872,62690.0,55154.510633011276,3292.7328535056813,-2441441.0,-28676931.241635162,-72.62662523666172,39.014335752673006
2022-01-18,62900,2986345,-1050.428722007222,-537.395000615334,-513.033721391888,21.839933805432057,24.56747967593465,24.74069069092697,47.295763053380824,19.00161030595813,26.81159420289855,-3.5847299813779325,7.705479452054795,4500.0,70188.86417250145,62915.0,55641.135827498554,3371.114020243034,544904.0,-27147339.90017175,10.431134580254858,44.973003907710954
2022-01-19,62300,1539452,-874.8095662560954,-289.42067589136593,-585.3888903647295,19.963830059995423,22.99232573841028,23.154431258826573,46.37220464166933,25.52334943639291,34.78260869565217,2.8294862248697807,2.2988505747126435,1400.0,70206.71032373911,62985.0,55763.28967626089,3331.272090904144,-994548.0,-27204356.64091249,-40.32206543650178,49.83547260574944
