Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
1985-01-04,612763,11,,,,,,,,,,,,,,,,,11.0,11.0,,
1985-01-05,636793,74,,,,,,,,,,,,,,,,,85.0,55.39802916306012,,
1985-01-07,652413,288,,,,,,,,,,,,,,,,,373.0,77.56038511696538,,
1985-01-08,648808,478,,,,,,,,,,,,,,,,,-105.0,-143.07030088450716,,
1985-01-09,699271,797,,,,,,,,,,,,,,,,,692.0,364.111517297311,,
1985-01-10,684853,1161,,,,,,,,,,,,,,,,,-469.0,-332.4884827026889,,
1985-01-11,645204,252,,,,,,,,,,,,,,,,,-721.0,-561.5698582559746,,
1985-01-12,648808,160,,,,,,,,,,,,,,,,,-561.0,-689.5831749434486,,
1985-01-14,644002,44,,,,,,,,,,,,,,,,,-605.0,-709.1407649929238,,
1985-01-15,636793,39,,,,,,,,,,,,,,,,,-644.0,-748.1407649929238,,
1985-01-16,648808,68,,,,,,,,,,,,,,,,,-576.0,-680.1407649929238,,
1985-01-17,636793,68,,,,,,,,,,,,,,,,,-644.0,-748.1407649929238,,
1985-01-18,630786,8,,,,,,,,,,,,,,,,,-652.0,-756.1407649929238,,
1985-01-19,623577,19,,,,,,,,,,-100.36641597327112,,,,,,,-671.0,-775.1407649929238,,
1985-01-21,621174,49,,,,,31.418734478659772,23.96217044925136,,,,-113.97408728848463,,,,,,,-720.0,-802.361980196845,,
1985-01-22,631987,143,,,,,32.64464558911442,21.968799347281703,,,9.787899299323902,-81.40533033348373,,,,,,,-577.0,-754.6953135301784,,
1985-01-23,629584,79,,,,,32.47440723830664,20.552418110325846,,,9.350754614988134,-62.45308493876616,,,,,,,-656.0,-817.9018886446187,,
1985-01-24,624778,78,,,,,30.17024222534058,21.674373180450416,,9.30339470451252,8.771530199225525,-71.08750173128342,,,,,,,-734.0,-881.725435860115,,
1985-01-25,630786,72,,,,,29.15741370612914,20.94675478318235,,8.847694100128617,8.420797486172194,-64.04602599976249,,,,,,,-662.0,-809.725435860115,,
1985-01-26,629584,53,,,,,28.14007163025536,20.21589383616145,,9.81061724253602,12.239524042210343,-60.24402093432186,,,680925.4233028686,640878.25,600831.0766971314,,-715.0,-777.9324931171057,,
1985-01-28,622375,48,,,,,26.926066006118603,20.78180018967331,47.37205055749473,11.36212214045576,13.426044892984741,-84.22615915540797,1.5686325708308106,9612.0,680259.142797227,641358.85,602458.5572027729,16688.942694493937,-763.0,-825.9324931171057,336.3636363636364,
