Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2016-11-10,142315,7264007,,,,,,,,,,,,,,,,,7264007.0,4681292.512592193,,
2016-11-11,159610,8236911,,,,,,,,,,,,,,,,,15500918.0,3662986.386782147,,
2016-11-14,173447,3012422,,,,,,,,,,,,,,,,,18513340.0,5711667.453891352,,
2016-11-15,164058,2623646,,,,,,,,,,,,,,,,,15889694.0,4054649.937035624,,
2016-11-16,168011,1680639,,,,,,,,,,,,,,,,,17570333.0,4673813.8843143545,,
2016-11-17,165540,923060,,,,,,,,,,,,,,,,,16647273.0,3750753.8843143545,,
2016-11-18,166034,1327987,,,,,,,,,,,,,,,,,17975260.0,5078740.8843143545,,
2016-11-21,167023,649726,,,,,,,,,,,,,,,,,18624986.0,5241192.927061288,,
2016-11-22,168999,574968,,,,,,,,,,,,,,,,,19199954.0,5126106.233679381,,
2016-11-23,164058,464520,,,,,,,,,,,,,,,,,18735434.0,4785424.808962706,,
2016-11-24,153681,847813,,,,,,,,,,,,,,,,,17887621.0,3937611.8089627055,,
2016-11-25,160105,710685,,,,,,,,,,,,,,,,,18598306.0,4445302.654582827,,
2016-11-28,159610,416201,,,,,,,,,,,,,,,,,18182105.0,4349156.595429651,,
2016-11-29,155163,904503,,,,,,,,,,-85.70778334091933,,,,,,,17277602.0,4801350.899084641,,
2016-11-30,152198,2473867,,,,,24.125072373660302,25.24692161466591,,,,-137.05406656156123,,,,,,,14803735.0,4491921.980025579,,
2016-12-01,142809,862375,,,,,21.7825673820727,29.106929502918756,,,26.645644945296755,-170.07486190426232,,,,,,,13941360.0,3715758.3024985124,,
2016-12-02,140339,710865,,,,,20.296911254201344,31.993008168371176,,,11.785755900487823,-175.27008435184618,,,,,,,13230495.0,3614235.518456882,,
2016-12-05,140339,411777,,,,,19.882644848304025,30.550561755685496,,14.608767892486794,5.394902831675805,-134.7214108038766,,,,,,,13230495.0,3202458.518456882,,
2016-12-06,144292,414504,,,,,20.193522410566214,28.693095152939826,,9.397285031550757,11.011196362488642,-98.5918945374533,,,,,,,13644999.0,3315560.529864426,,
2016-12-07,148739,349765,,,,,23.050576108715987,26.929541414946854,,12.005446207423438,19.610239428105864,-55.92944302059722,,,177566.33261451664,156818.5,136070.66738548336,,13994764.0,3474486.1277305037,,
2016-12-08,148739,364023,,,,,23.835603877393556,24.871830115042286,48.61300263692494,19.528751029196243,27.964817296994227,-41.01232289101945,4.513930365737975,6424.0,177165.8140024719,157139.7,137113.58599752813,9431.560213165025,13994764.0,3450224.4760845243,-94.98867498338039,
2016-12-09,143304,291657,,,,,22.36330672795596,25.909400973255238,44.13627128296592,25.064609669986947,27.61877228486075,-65.59518658177261,-10.216151870183573,-16306.0,177191.86817800376,156324.4,135456.93182199623,9166.064576821082,13703107.0,3207258.9482599036,-96.45914591040258,
