Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2014-08-25,253232,34,,,,,,,,,,,,,,,,,34.0,0.0,,
2014-08-26,310688,2008,,,,,,,,,,,,,,,,,2042.0,401.6,,
2014-08-27,320352,2795,,,,,,,,,,,,,,,,,4837.0,-219.16099210822995,,
2014-08-28,314396,1534,,,,,,,,,,,,,,,,,3303.0,87.33610773133563,,
2014-08-29,303091,1957,,,,,,,,,,,,,,,,,1346.0,-434.53863686652204,,
2014-09-01,296639,2404,,,,,,,,,,,,,,,,,-1058.0,-434.69897835921864,,
2014-09-02,293454,1594,,,,,,,,,,,,,,,,,-2652.0,-434.69897835921864,,
2014-09-03,293950,4719,,,,,,,,,,,,,,,,,2067.0,1924.053161101954,,
2014-09-04,300276,4594,,,,,,,,,,,,,,,,,6661.0,3456.0324903573855,,
2014-09-05,305567,5002,,,,,,,,,,,,,,,,,11663.0,7206.9401170745805,,
2014-09-11,315604,4916,,,,,,,,,,,,,,,,,16579.0,9172.968115561149,,
2014-09-12,313484,1281,,,,,,,,,,,,,,,,,15298.0,8990.265273883206,,
2014-09-15,314018,1759,,,,,,,,,,,,,,,,,17057.0,8990.265273883206,,
2014-09-16,313484,3078,,,,,,,,,,58.740609080848415,,,,,,,13979.0,9607.264894951792,,
2014-09-17,316637,5294,,,,,52.935775160419695,16.41413313411425,,,,73.2078164181314,,,,,,,19273.0,10666.466869135542,,
2014-09-18,342533,4958,,,,,66.9561000407407,10.937159700561333,,,77.8367804006167,204.86276987056755,,,,,,,24231.0,11761.071262040068,,
2014-09-19,375953,5535,,,,,66.97144823978012,7.7367016135595845,,,78.87643525295516,317.228676307039,,,,,,,29766.0,11548.38285367424,,
2014-09-22,355075,3911,,,,,56.81840144263658,14.18008237070678,,77.53198386956063,75.88273595511002,159.07405066525425,,,,,,,25855.0,9592.729565283553,,
2014-09-23,347682,2924,,,,,53.12869587272085,16.180755520728578,,74.72492856828235,69.41561449678188,90.30541424791754,,,,,,,22931.0,9592.381594320801,,
2014-09-24,359804,7208,,,,,55.54033415470989,14.56082904067396,,69.8002613152206,64.10243349376988,101.2928816834008,,,371356.985741003,317295.95,263234.914258997,,30139.0,10621.537390930971,,
2014-09-25,372555,4524,,,,,55.82911060162855,13.35607345489105,74.59187980079558,67.7863623051541,69.84103892491056,112.99229405393487,47.120032223415684,119323.0,373958.15887601126,323262.1,272566.0411239887,17048.03251390019,34663.0,11666.036745214225,13205.882352941177,
2014-09-26,362939,3184,,,,,52.132165873441195,16.780921220069153,69.89706362047541,69.34072163391905,74.07869248307672,80.03219059324374,16.81783654341333,52251.0,379034.958465151,325874.65,272714.341534849,16686.586114666003,31479.0,10074.186102564821,58.56573705179283,
2014-09-29,348067,3541,,,,,46.02698087341187,25.16041497936689,63.40067171381454,70.71494916029988,68.22511607291234,27.151591225418628,8.651420936969334,27715.0,381211.6495773732,327260.4,273309.1504226269,17141.62818213221,27938.0,10196.194473209167,26.69051878354204,
2014-09-30,324418,9757,,,,,39.4004764650329,32.16780301683488,54.86515707770892,62.81019594550359,46.126779280521696,-39.289523397907494,3.1876995890532958,10022.0,381410.82633500634,327761.5,274112.17366499366,18103.1891359034,18181.0,5616.130028678191,536.0495436766623,
2014-10-01,321790,4591,,,,,37.68586509690155,31.802448601935478,54.01453727978573,47.065715221515546,26.84525031111259,-67.55178709069006,6.1694342623172576,18699.0,381233.66289324366,328696.45,276159.23710675637,17456.01067038987,13590.0,7506.6626385898135,134.59376596831885,
2014-10-02,326523,9296,13540.495013523847,,,,38.182745745459535,30.86613642417345,55.32754188185205,29.552161776909298,15.6844557390936,-56.43791824044882,10.074197930818267,29884.0,380654.8646566258,330190.65,279726.43534337427,16648.520891920518,22886.0,13084.968753287876,286.68885191347755,
2014-10-06,324933,3309,11598.621355953394,,,,38.701704513398305,29.115724805011844,54.774496089046906,19.47742990040051,15.902583650995338,-58.675498464251525,10.727064548447116,31479.0,379433.66725078644,331764.6,284095.5327492135,16263.071075214255,19577.0,11667.08442186868,107.5909661229611,
2014-10-07,321824,3073,9697.020953515545,,,34.565076077870586,37.82761073490306,29.01093540294874,53.6702812457707,15.636254164548568,15.321723103556765,-79.43978434088758,9.482565062085389,27874.0,377861.14873293875,333158.3,288455.45126706123,15455.229043324374,16504.0,10643.40666186868,-34.88027124390761,41.95109478670143
