Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
1985-01-04,11535,168,,,,,,,,,,,,,,,,,168.0,0.0,,
1985-01-05,11535,630,,,,,,,,,,,,,,,,,168.0,0.0,,
1985-01-07,11559,630,,,,,,,,,,,,,,,,,798.0,0.0,,
1985-01-08,11559,273,,,,,,,,,,,,,,,,,798.0,273.0,,
1985-01-09,11549,21,,,,,,,,,,,,,,,,,777.0,273.0,,
1985-01-10,11340,21,,,,,,,,,,,,,,,,,756.0,273.0,,
1985-01-11,11340,21,,,,,,,,,,,,,,,,,756.0,273.0,,
1985-01-12,11340,21,,,,,,,,,,,,,,,,,756.0,273.0,,
1985-01-14,11340,21,,,,,,,,,,,,,,,,,756.0,273.0,,
1985-01-15,11292,63,,,,,,,,,,,,,,,,,693.0,273.0,,
1985-01-16,11197,42,,,,,,,,,,,,,,,,,651.0,273.0,,
1985-01-17,11149,21,,,,,,,,,,,,,,,,,630.0,273.0,,
1985-01-18,11139,2624,,,,,,,,,,,,,,,,,-1994.0,273.0,,
1985-01-19,11092,3064,,,,,,,,,,-127.7433690686436,,,,,,,-5058.0,273.0,,
1985-01-21,10958,3064,,,,,2.1292597993698603,96.84180795044158,,,,-157.714579459035,,,,,,,-8122.0,273.0,,
1985-01-22,10768,3064,,,,,1.4768627018191078,97.80946597284424,,,0.0,-172.54405114610898,,,,,,,-11186.0,-2791.0,,
1985-01-23,10672,965,,,,,1.2658252911419792,98.12248398631407,,,0.0,-179.4359099406649,,,,,,,-12151.0,-2791.0,,
1985-01-24,10672,965,,,,,0.8688757439637109,98.71125333439704,,2.725186460126219,8.175559380378656,-167.83759289468924,,,,,,,-12151.0,-1826.0,,
1985-01-25,10682,273,,,,,0.5513564619847224,77.00033786127939,,10.17065264053216,22.336398541217818,-143.6448538348363,,,,,,,-11878.0,-1553.0,,
1985-01-26,10672,63,,,,,0.5469276147907082,76.38182197584386,,22.23927344409272,36.20586241068168,-85.25839155692893,,,11808.269285423146,11169.5,10530.730714576854,,-11941.0,-1553.0,,
1985-01-28,10649,42,,,,,0.5362581013948253,76.84256752973495,2.9462467800802123,33.25728822716774,41.22960372960373,-78.00245888249769,-7.680970957954053,-886.0,11779.14360613129,11125.2,10471.25639386871,102.5666015870395,-11983.0,-1553.0,-75.0,
