Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2006-06-29,38500,1195650,,,,,,,,,,,,,,,,,1195650.0,-398550.0,,
2006-06-30,40950,689510,,,,,,,,,,,,,,,,,1885160.0,290960.0,,
2006-07-03,41450,207420,,,,,,,,,,,,,,,,,2092580.0,440763.3333333334,,
2006-07-04,44000,277370,,,,,,,,,,,,,,,,,2369950.0,657616.2424242424,,
2006-07-05,44000,182840,,,,,,,,,,,,,,,,,2369950.0,840456.2424242424,,
2006-07-06,44400,227800,,,,,,,,,,,,,,,,,2597750.0,909786.6772068511,,
2006-07-07,45800,294450,,,,,,,,,,,,,,,,,2892200.0,1164976.677206851,,
2006-07-10,45750,139580,,,,,,,,,,,,,,,,,2752620.0,1282223.877206851,,
2006-07-11,45500,202270,,,,,,,,,,,,,,,,,2550350.0,1394596.0994290733,,
2006-07-12,44500,199060,,,,,,,,,,,,,,,,,2351290.0,1464536.0994290733,,
2006-07-13,43000,181780,,,,,,,,,,,,,,,,,2169510.0,1420100.9883179623,,
2006-07-14,43050,99630,,,,,,,,,,,,,,,,,2269140.0,1386890.9883179623,,
2006-07-18,40500,208680,,,,,,,,,,,,,,,,,2060460.0,1178210.9883179623,,
2006-07-19,40500,119190,,,,,,,,,,-87.91357191087103,,,,,,,2060460.0,1157177.4589061975,,
2006-07-20,40800,123610,,,,,22.573131536829237,19.873392235120125,,,,-101.09214293288073,,,,,,,2184070.0,1253318.5700173085,,
2006-07-21,39400,111830,,,,,20.661659563776084,21.986490380557274,,,20.854867004883598,-127.30774521942487,,,,,,,2072240.0,1149772.2737210123,,
2006-07-24,40050,232970,,,,,19.850192525765017,21.122991871625835,,,12.512446067042815,-115.59384377117394,,,,,,,2305210.0,1382742.2737210123,,
2006-07-25,40000,174590,,,,,26.15210371976042,19.07501162215176,,13.49733166858955,7.12468193384224,-77.87356321839088,,,,,,,2130620.0,1250477.1222058607,,
2006-07-26,39500,396370,,,,,24.891959797470243,19.96282307209906,,9.090238595714865,7.633587786259542,-84.62273161413565,,,,,,,1734250.0,854107.1222058607,,
2006-07-27,39950,204550,,,,,23.663994057798668,18.978020629900268,,7.29431721798134,7.124681933842239,-67.0555372987183,,,46713.50838997838,42080.0,37446.49161002162,,1938800.0,772287.1222058607,,
2006-07-28,40000,107430,,,,,22.830134307123316,20.551668538786195,46.849962273474056,7.302798982188295,7.150127226463103,-66.6426253155429,3.896103896103896,1500.0,46598.97344726541,42155.0,37711.02655273459,1496.5749526078446,2046230.0,879717.1222058607,-91.01492911805295,
2006-07-31,40100,99320,,,,,23.81560941087843,19.932787041987392,47.45035808119631,8.16924381809878,10.232922293990995,-53.65082785619374,-2.075702075702076,-850.0,46617.59433863488,42112.5,37607.40566136512,1417.2214455684511,2145550.0,912823.7888725273,-85.59556786703601,
2006-08-01,40100,70770,,,,,23.311614457627016,19.510961847423697,47.45035808119631,9.46956351536504,11.025641025641024,-51.210013908205774,-3.2569360675512664,-1350.0,46627.56478404834,42045.0,37462.43521595166,1334.6437037405117,2145550.0,983593.7888725273,-65.88082152155047,
2006-08-02,40200,67820,,,,,24.09867807689293,18.935566673271587,48.09997072052883,11.10328179030469,12.051282051282051,-38.949557982318986,-8.636363636363637,-3800.0,46412.61999293492,41855.0,37297.38000706508,1267.1743490187887,2213370.0,1017503.7888725273,-75.54890579370516,
2006-08-03,40450,68030,,,,,25.442479715931537,17.163938679249608,49.73515045311957,12.307692307692307,13.846153846153845,-20.20997375328026,-8.068181818181818,-3550.0,46163.08524609666,41677.5,37191.91475390334,1269.4925087726367,2281400.0,1048902.250410989,-62.792605556770944,
2006-08-04,41100,164470,-1082.8728616051594,,,,26.242213403918797,16.221018476324275,53.725317545762245,17.293057019084415,25.98173515981735,112.90322580645109,-7.4324324324324325,-3300.0,45824.79347331557,41512.5,37200.20652668443,1233.5469640192239,2445870.0,1213372.250410989,-27.80070237050044,
2006-08-07,40950,43430,-974.1117945775914,,,,26.005354318986388,15.605516354823289,52.70891654960716,28.949158401213197,47.01958619766839,149.65349965349958,-10.589519650655022,-4850.0,45110.23436784789,41270.0,37429.76563215211,1183.7460829288502,2402440.0,1213372.250410989,-85.25046697232128,
2006-08-08,41500,71830,-833.924499389861,,,15.08897366342074,26.406914804062723,14.481186203388011,55.92706372367552,49.23773841582061,74.71189388997608,161.67486216659347,-9.289617486338798,-4250.0,44307.619228582254,41057.5,37807.380771417746,1168.155858151689,2474270.0,1285202.250410989,-48.53847256053876,71.22345739179414
