Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2021-08-10,454000,5121520,,,,,,,,,,,,,,,,,5121520.0,1771594.968553459,,
2021-08-11,407000,1647759,,,,,,,,,,,,,,,,,3473761.0,284592.9441632151,,
2021-08-12,406000,947958,,,,,,,,,,,,,,,,,2525803.0,-253437.2720530011,,
2021-08-13,437000,1669847,,,,,,,,,,,,,,,,,4195650.0,649182.7279469989,,
2021-08-17,451500,1189500,,,,,,,,,,,,,,,,,5385150.0,1292155.7009199718,,
2021-08-18,469000,1168167,,,,,,,,,,,,,,,,,6553317.0,1862655.8637106693,,
2021-08-19,492500,1258932,,,,,,,,,,,,,,,,,7812249.0,2600650.4844003245,,
2021-08-20,491500,1100068,,,,,,,,,,,,,,,,,6712181.0,2743012.225576795,,
2021-08-23,484500,462461,,,,,,,,,,,,,,,,,6249720.0,2493994.7640383337,,
2021-08-24,460000,651528,,,,,,,,,,,,,,,,,5598192.0,2034092.6463912749,,
2021-08-25,451000,547287,,,,,,,,,,,,,,,,,5050905.0,1944032.7603153256,,
2021-08-26,469500,356488,,,,,,,,,,,,,,,,,5407393.0,2235704.7603153256,,
2021-08-27,497000,779064,,,,,,,,,,,,,,,,,6186457.0,2969605.629880543,,
2021-08-30,497000,358146,,,,,,,,,,99.92967651195492,,,,,,,6186457.0,3204253.0091908877,,
2021-08-31,491500,409300,,,,,25.04116548464741,17.365207773414237,,,,66.6265483175366,,,,,,,5777157.0,3511228.0091908877,,
2021-09-01,507000,529067,,,,,27.736856100027495,16.115536548065982,,,89.40681549129037,98.77369007803794,,,,,,,6306224.0,4040295.0091908877,,
2021-09-02,491500,573318,,,,,29.514809299637005,14.512785365187256,,,84.84401815866688,92.86151960784332,,,,,,,5732906.0,3466977.0091908877,,
2021-09-03,509000,338553,,,,,27.355913522086478,14.322018391926333,,87.00821987443722,86.77382597335442,94.09778352552362,,,,,,,6071459.0,3773286.866333745,,
2021-09-06,482500,400109,,,,,24.54748179872954,16.385970824968403,,81.565904330122,73.07986885834468,24.19941775836974,,,,,,,5671350.0,3503825.703068439,,
2021-09-07,464500,331012,,,,,22.772679108431916,21.086201175955832,,73.27210538721876,59.962621329957194,-88.73239436619727,,,528714.8785319198,470675.0,412635.12146808027,,5340338.0,3301540.591957328,,
2021-09-08,483500,334185,,,,,23.091954481675224,19.662074296237368,53.58829458878144,60.85172025120135,49.51267056530215,-28.009098082903616,6.497797356828194,29500.0,529918.590081462,472150.0,414381.4099185379,28003.67450050123,5674523.0,3598593.9252906614,-93.47488636186132,
2021-09-09,475000,766976,,,,,24.61909662394646,18.360065654054477,51.4400863512259,52.02132861745812,46.588693957115005,-10.165016501650387,16.707616707616708,68000.0,524983.692963403,475550.0,426116.307036597,27358.908072014874,4907547.0,2910282.1304188664,-53.45338729753562,
2021-09-10,447000,832774,,,,,21.860919646457223,27.18178136512939,45.16240835972156,45.289148797920724,39.76608187134503,-133.76485914346193,10.098522167487685,41000.0,517879.7715981608,477600.0,437320.2284018392,27886.731135148697,4074773.0,2457369.95498027,-12.150749294799981,
2021-09-13,451500,255115,,,,,20.566294158736643,26.065557454124136,46.27166392009699,37.88174139051332,27.29044834307992,-127.5993547440976,3.3180778032036615,14500.0,516099.69391007686,478325.0,440550.30608992314,27173.035245125513,4329888.0,2556581.343869159,-84.72225299683144,
2021-09-14,478000,270284,,,,,25.55793548676009,23.63684850636971,52.25803073757004,31.53562919644791,27.550357374918775,-52.603417984347594,5.869324473975637,26500.0,515371.282171837,479650.0,443928.717828163,27302.056179664574,4600172.0,2817545.2059381246,-77.27751155947877,
2021-09-15,493500,343058,4815.601393716235,,,,29.784061612456732,21.447596358325317,55.322868131478906,33.31528409501119,45.10504656703487,30.662200463798378,5.223880597014926,24500.0,516731.484769146,480875.0,445018.515230854,27454.13977399015,4943230.0,3021054.188988972,-70.63279479731922,
2021-09-16,492000,225694,5762.225943707745,,,,28.483886366649056,20.511336078246305,54.96343596648036,44.31448992852501,60.2880658436214,46.93655183974558,-0.10152284263959391,-500.0,516674.7121412022,480850.0,445025.2878587978,26506.786039751634,4717536.0,3046131.300100083,-82.07258215693938,
2021-09-17,493500,236970,6557.8750818069675,,,15.63873669518324,28.487955869825985,19.557842302944486,55.26934612069551,57.353259692440986,66.66666666666667,61.30191359572165,0.4069175991861648,2000.0,516903.9983868276,480950.0,444996.0016131724,25672.617598696128,4954506.0,2995352.014385797,-78.45860437718396,53.834553169786595
2021-09-23,500000,307363,7625.031813003763,,,15.499630909660295,26.76520067454677,20.054927338067277,56.61359835822343,65.4320987654321,69.34156378600822,56.56395442144135,3.199174406604747,15500.0,518607.888986629,481725.0,444842.111013371,25169.279351107423,5261869.0,3268563.5699413526,-33.53753073232121,59.97568089144081
2021-09-24,493000,212264,7815.823761229112,,,15.57917790978745,26.37169693957894,18.989974121281048,54.74847057780137,68.58710562414267,69.75308641975307,62.0536813592711,7.173913043478261,33000.0,519158.90001103847,483375.0,447591.09998896153,24544.700917193397,5049605.0,3179549.6344574816,-67.42058668238357,63.45458850219821
2021-09-27,498000,206449,8275.095814554079,,,15.648369053220444,25.164722905664377,18.120845156178444,55.84228287931452,71.3730945342839,75.02463339709037,70.75685189841582,10.42128603104213,47000.0,518763.57593783364,485725.0,452686.42406216636,23809.70787277259,5256054.0,3258953.095995943,-62.2777445837376,65.25087901633803
2021-09-28,500000,258981,8700.16541969974,,,15.779448149079958,24.700998917079346,17.522915548103484,56.28717508849666,75.32717461251629,81.20380402070542,86.62746100741496,6.496272630457934,30500.0,519966.20393627597,487250.0,454533.79606372403,22879.55871738971,5515035.0,3345280.095995943,-27.35211283409259,60.257088874003166
2021-09-29,500000,262394,8934.0499773529,,,14.494323655363022,22.685661579548004,21.713829620033838,56.28717508849667,82.16402349944343,90.26363308053448,54.25407925407922,0.6036217303822937,3000.0,520320.51032411255,487400.0,454479.48967588745,22856.021316690483,5515035.0,3584350.184884832,-66.31932678188184,63.894052162216724
2021-09-30,502000,383165,9175.02448859287,1657.1474115191568,7517.877077073713,14.4106660516415,26.62018310752116,20.250811958305736,56.76977635717971,87.10142231268992,89.83682983682984,100.80093932150858,1.0060362173038229,5000.0,520932.27756629646,487650.0,454367.72243370354,22589.099770324465,5898200.0,3387589.7794794263,6.985698569856986,60.608724210800474
2021-10-01,498000,170528,8940.17517986527,1137.8384822332446,7802.336697632025,13.963163080358928,25.423595990428623,21.026169366916736,55.48026693957473,88.06545567108947,84.09590409590409,61.985635825940136,1.3224821973550356,6500.0,521527.1608842113,487975.0,454422.8391157887,21947.472550265054,5727672.0,3359168.446146093,-58.336672367456636,59.82209625095612
2021-10-05,463000,325618,5862.271303456277,-1552.0523153405993,7414.323618796876,13.970599331958722,22.16063562178172,29.403835231117505,45.88124513844647,79.04539904539905,63.2034632034632,-57.25490196078415,-8.678500986193294,-44000.0,519815.38043265673,485775.0,451734.61956734327,22820.0134716417,5402054.0,3061865.054841745,-38.45429784885468,46.308140053921825
2021-10-06,454000,242842,2666.0529238941963,-3798.6165559221445,6464.669479816341,14.654130464680986,20.24414746326516,31.530951949653918,43.82867666568347,63.24120324120324,42.42424242424242,-136.77554438860986,-7.62970498474059,-37500.0,520506.8299638196,483900.0,447293.1700361804,22949.4324177563,5159212.0,2935587.2148417453,-57.64270439790832,45.75932139223819
2021-10-07,474000,174489,1726.9524507455644,-3790.173623256622,5517.126074002186,15.04705369750341,19.743609857066225,29.142491972225425,49.14997391562015,45.085306850012735,29.628214922332564,-106.51873767258388,-6.8762278978389,-35000.0,517098.6766559193,482150.0,447201.3233440807,22893.59066189606,5333701.0,3072348.863490394,-48.46035923474316,49.719441883338895
2021-10-08,470000,105885,652.4212828855962,-3891.7638328932726,4544.185115778869,15.325038437983057,19.326132523453655,28.000403208966265,48.18890113491171,34.02512520159579,30.02291825821237,-98.85751673461176,-2.5906735751295336,-12500.0,516871.1101112979,481525.0,446178.8898887021,22200.171142235085,5227816.0,3043471.136217667,-73.53596145050474,47.1269944744521
2021-10-12,484000,161134,919.9262507117819,-2899.4070920536697,3819.3333427654516,14.83429369578101,21.28462316047109,25.7298568317853,51.67058221973206,33.60920125626008,41.17647058823529,-47.864926804171844,4.198062432723359,19500.0,516978.9791032159,482500.0,448021.0208967841,22246.418778213458,5388950.0,3162570.1796959275,-51.32079803753338,46.44001257338004
2021-10-13,488000,184613,1438.114744014747,-1904.9748790005638,3343.0896230153107,13.621709048659342,24.312489471054686,24.38723558660647,52.627988692588154,39.74620151090739,48.0392156862745,20.36984886886334,0.9307135470527405,4500.0,517285.7797944433,482725.0,448164.2202055567,21801.982356261684,5573563.0,3048962.1796959275,-44.75724523841585,45.99483764280758
2021-10-14,478500,189867,1069.8793499470921,-1818.568218454575,2888.447568401667,12.980935797855127,22.85123312061709,25.65344653418605,50.14457669866531,47.140522875817,52.20588235294118,-14.220314735336382,0.7368421052631579,3500.0,517337.7699626442,482900.0,448462.2300373558,21500.017376192573,5383696.0,2870602.2706050184,-75.24472734479306,42.5317956996982
2021-10-15,472500,236323,290.5510001796065,-2078.3172545776483,2368.868254757255,12.994783766188567,21.501679669083668,28.014095854868522,48.61931325507559,48.93790849673203,46.56862745098039,-56.45055664702045,5.704697986577181,25500.0,514888.6370363394,484175.0,453461.3629636606,21188.93667687221,5147373.0,2781981.1456050184,-71.62219281581798,46.04239676219833
2021-10-18,486000,178931,753.5780651745154,-1292.2321516661916,2045.810216840707,12.590890429456806,22.291721574546106,26.14349430608738,52.07208850144898,48.12091503267974,45.588235294117645,-8.82732598550277,7.641196013289036,34500.0,512705.96948442643,485900.0,459094.03051557357,21009.746063974628,5326304.0,2891327.8678272404,-29.86261097936225,52.46828692308224
2021-10-19,493500,147933,1706.0513717639842,-271.80707606137844,1977.8584478253626,11.72312465363852,24.22347145027498,25.042980347507044,53.88434905578355,48.36601307189542,52.94117647058823,53.53319057815837,3.2426778242677825,15500.0,513418.73758471315,486675.0,459931.26241528685,20450.746014954464,5474237.0,2935707.7678272403,-45.2675704074233,49.53517437998104
2021-10-20,487000,281768,1914.33044249058,-50.82240426782619,1965.1528467584062,10.990044207742336,24.468927394750377,23.313543482116,52.08756983380346,52.859477124183,60.04901960784313,50.56433408577874,-1.3171225937183384,-6500.0,512911.43821407267,486350.0,459788.56178592733,20314.67808420535,5192469.0,2747862.434493907,-17.86578362842435,46.139344797189786
2021-10-21,493000,176975,2534.3287977039,455.34076075639496,2078.988036947505,10.319647732528228,23.405186937076177,22.30003116040328,53.59121902603711,58.8235294117647,63.48039215686274,61.532653831634484,0.2032520325203252,1000.0,513007.51773465535,486400.0,459792.48226534465,19800.357188007965,5369444.0,2763951.070857543,-21.586307123804797,40.69324941571328
2021-10-22,488000,198513,2592.3408560880343,410.6822553124234,2181.658600775611,9.817043262699187,21.569171990711055,23.296277533934006,52.155422357173244,62.699231739479416,64.56828345373236,52.8967254408056,-1.1144883485309016,-5500.0,512546.34553727345,486125.0,459703.65446272655,19811.323498279817,5170931.0,2724248.470857543,-16.228636536270415,42.1319941489307
2021-10-25,488000,496570,2608.249553043279,341.27276181413436,2266.9767912291445,9.695638514927886,24.165325479967624,20.484234937570474,52.155422357173244,64.56711073584138,65.65265659692905,93.97189349112438,-2.4,-12000.0,511193.0248558396,485525.0,459856.9751441604,20504.889051141712,5170931.0,2426306.470857543,61.55815761819087,40.70977735580891
2021-10-26,498000,172246,3388.7107879450778,897.3871973727464,2491.3235905723313,9.584248657883975,22.970902640384374,19.471757862469392,54.83685136056632,66.35576612356799,68.84635832004253,83.91058707934172,1.0141987829614605,5000.0,511823.94431642094,485775.0,459726.05568357906,20096.573172034074,5343177.0,2558803.393934466,-18.852937850978027,46.804764511421766
2021-10-27,489500,135786,3283.502800612303,633.7433680319773,2649.7594325803257,9.710768131303947,23.036307211583775,18.380488806863145,52.21835437030225,66.27753880623823,64.33360150174309,69.40799066783333,-1.7068273092369477,-8500.0,510859.01801324385,485350.0,459840.98198675615,19793.41826673946,5207391.0,2441746.497382742,-34.22782382089523,41.25617946489719
2021-10-28,475000,203112,2006.960898279096,-514.2388274409841,2521.19972572008,9.289685977190121,21.14409067463505,22.983494337485357,48.09452506689422,61.54829148494728,51.46491463305622,-57.23270440251616,-5.0,-25000.0,509059.16665275506,484100.0,459140.83334724494,19885.47660892262,5004279.0,2285869.8462199513,-21.572625018823775,35.02365783481734
2021-10-29,469500,127375,545.2034431943321,-1580.7970260205984,2126.0004692149305,9.22519377798002,20.149270096793387,23.86252974167647,46.62437520916167,48.55919072733232,29.879056047197636,-141.10439744880856,-6.1,-30500.0,507186.53184992756,482575.0,457963.46815007244,19461.780088737378,4876904.0,2200953.179553285,-51.456588184181044,34.57661602521343
2021-11-01,478000,131659,71.80140923114959,-1643.359247987025,1715.1606572181745,8.75649569873584,21.09122787963558,22.396727286324722,49.15288651817771,33.29028413356132,18.5268817204301,-80.24504867405213,-4.780876494023905,-24000.0,504368.2055181525,481375.0,458381.7944818475,19249.70001367931,5008563.0,2190825.5641686693,-65.63908498949539,33.774881449300054
2021-11-02,483500,106072,138.8305688413675,-1261.0640707014456,1399.8946395428131,8.404125237858704,22.87644497303941,21.091496398343022,50.74222669793815,23.689673401634575,22.66308243727598,-2.9304029304032695,-2.9116465863453813,-14500.0,502380.39346169325,480650.0,458919.60653830675,18996.336151668973,5114635.0,2123325.2005323055,-37.79789829236255,33.51915073619539
2021-11-03,472000,135814,-727.6147399407928,-1702.007503586885,974.392763646092,8.201143040820526,21.52549106459158,24.12230198924638,47.476071058921804,21.1373954599761,22.222222222222214,-88.7766554433218,1.9438444924406046,9000.0,501692.71715922887,481100.0,460507.28284077113,18757.286684193277,4978821.0,2006244.1660495468,-58.29038935194,33.510641891319295
2021-11-04,468000,152616,-1717.250070297916,-2153.3142671552064,436.0641968572904,8.427013383544896,20.280205199913528,25.412757196197944,46.382959821326125,20.64584917273089,17.052242858694466,-134.49594615266912,3.0837004405286343,14000.0,499393.7488898756,481800.0,464206.2511101244,18505.16175361451,4826205.0,1929936.1660495468,-37.154199026527536,28.609478475514674
2021-11-05,451000,246727,-3829.1609408591758,-3412.180110173173,-416.9808306860029,9.426551012178889,18.776188751736075,29.29624118896261,42.051480882039314,15.039880360344334,5.845176000116305,-187.83542039356016,-4.852320675105485,-23000.0,502600.1708421598,480650.0,458699.8291578402,18478.469390619397,4579478.0,1696916.2216051023,41.39974439649491,26.054583098061357
2021-11-08,441500,249370,-6197.989560918766,-4624.806984186211,-1573.1825767325556,11.344151130315801,17.03748445378246,35.64221155332296,39.861776550987905,10.249782182283022,7.851927688038285,-225.1461988304096,-6.0638297872340425,-28500.0,506748.5807990167,479225.0,451701.4192009833,18716.70721608019,4330108.0,1832288.507319388,135.51022335552722,31.841623500734386
2021-11-09,465500,275041,-6068.747145741305,-3596.4516552069995,-2472.2954905343054,11.58252077947142,23.517338118857342,31.539665455131566,47.176462663838635,11.242337580073587,20.02990905206616,-102.62095041677429,-3.822314049586777,-18500.0,506357.7974901809,478300.0,450242.2025098191,19309.625127922875,4605149.0,2070657.3739860547,70.69085357528516,43.643386833974034
2021-11-10,484500,546349,-4382.65981594997,-1528.2914603325316,-2854.3683556174383,11.055792941390346,30.609423341537628,28.00977148941353,52.03787308834352,23.182834468923705,41.66666666666666,23.441623441623673,-0.7172131147540983,-3500.0,505981.55219154013,478125.0,450268.44780845987,19896.165676706907,5151498.0,2276657.8166090054,195.9428642619967,46.49277234880999
2021-11-11,540000,1822609,1415.6440443246975,3416.009919953709,-2000.3658756290113,12.340326635329767,39.70002222210996,22.077207043303325,62.61652360181754,43.438197430613876,68.61801657310879,192.81370923161967,12.852664576802507,61500.0,519979.37596197234,481200.0,442420.62403802766,22411.44174248113,6974107.0,3884842.2283737115,859.9398526336856,59.76545756386348
2021-11-12,547000,1351285,6500.746566826827,6800.889953964671,-300.1433871378436,13.798003106241362,38.18687031748874,19.581272572183142,63.680074399110204,65.28309919114515,85.56461433366003,214.27255107552512,15.767195767195767,74500.0,532874.2179289715,484925.0,436975.78207102855,23224.68257758257,8325392.0,4738285.386268448,471.7958048941491,65.69005234669635
2021-11-15,548000,514345,10490.490747512842,8632.507307720549,1857.9834397922937,15.173490247163542,36.18833286362075,18.40207410436971,63.83479489171975,83.1146944754511,95.16145251958449,179.3410239010782,12.757201646090534,62000.0,543307.4339189222,488025.0,432742.5660810778,23056.81794793336,8839737.0,4892588.886268448,187.45438185669337,67.23259983484442
2021-11-16,547000,540891,13417.036863463232,9247.242738936751,4169.794124526482,16.669521078699045,35.87426064345011,17.02215028792598,63.549828484648636,91.02877579207824,92.36026052299019,142.11352657004838,10.840932117527862,53500.0,551668.3524461667,490700.0,429731.6475538333,23157.765001840453,8298846.0,4741139.406268448,265.6324146742106,68.25001456128909
2021-11-17,567000,762917,17152.455764980346,10386.129312363091,6766.326452617255,18.495615357828175,37.38093278263551,15.38242274310647,66.6811824996761,92.96098274147808,91.36123518185957,133.974358974359,16.427104722792606,80000.0,564088.327548659,494700.0,425311.67245134094,23668.067998396935,9061763.0,4884186.343768448,170.7606967434201,68.69930109510638
2021-11-18,543000,519439,17969.066519559536,8962.192053553823,9006.874466005713,19.772496555684004,33.867548043505586,15.930348439714022,60.15360693898882,89.60198871339912,85.08447043534763,90.6675036618538,10.141987829614605,50000.0,569696.4826732994,497200.0,424703.5173267006,24151.020027634702,8542324.0,4427709.64679875,193.5098177708716,60.86963582015572
2021-11-19,542000,366848,18324.313503693556,7453.951230150275,10870.362273543282,20.117622548921094,31.63576248972766,19.178239610117675,59.896440210610365,85.71582000105737,80.70175438596492,57.3898891262333,11.065573770491802,54000.0,574807.0090178483,499900.0,424992.9909821517,24091.55593197475,8175476.0,4571258.864190055,84.79797292872507,60.97252155590474
2021-11-22,516000,499182,16319.742753329105,4359.504383828658,11960.238369500446,19.501355767051127,28.552325460175698,22.600053371171875,53.62237673183205,78.43458956032056,69.51754385964912,23.238230255774095,5.737704918032787,28000.0,576311.5991030721,501300.0,426288.4008969279,24654.173788321925,7676294.0,4336349.687719467,0.5260084177457357,50.94553364200231
