Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2020-10-15,255420,6623446,,,,,,,,,,,,,,,,,6623446.0,-6012050.984615385,,
2020-10-16,198495,4549894,,,,,,,,,,,,,,,,,2073552.0,-10309173.095726496,,
2020-10-19,187110,1997976,,,,,,,,,,,,,,,,,75576.0,-11791542.386049077,,
2020-10-20,180675,1829915,,,,,,,,,,,,,,,,,-1754339.0,-12262091.957477648,,
2020-10-21,177210,1675397,,,,,,,,,,,,,,,,,-3429736.0,-13149066.839830589,,
2020-10-22,178200,1206055,,,,,,,,,,,,,,,,,-2223681.0,-13212543.418777958,,
2020-10-23,170775,914694,,,,,,,,,,,,,,,,,-3138375.0,-13980886.378777958,,
2020-10-26,154440,997930,,,,,,,,,,,,,,,,,-4136305.0,-14978816.378777958,,
2020-10-27,160875,1129785,,,,,,,,,,,,,,,,,-3006520.0,-14434845.823222402,,
2020-10-28,156915,587066,,,,,,,,,,,,,,,,,-3593586.0,-14826223.156555736,,
2020-10-29,155430,523483,,,,,,,,,,,,,,,,,-4117069.0,-14975789.727984307,,
2020-10-30,140580,1153848,,,,,,,,,,,,,,,,,-5270917.0,-16129637.727984307,,
2020-11-02,142065,417052,,,,,,,,,,,,,,,,,-4853865.0,-16167551.546166126,,
2020-11-03,150480,696399,,,,,,,,,,-77.9387417218543,,,,,,,-4157466.0,-15471152.546166126,,
2020-11-04,147510,333104,,,,,5.897793909676199,51.905298006837434,,,,-72.503139665543,,,,,,,-4490570.0,-15599269.46924305,,
2020-11-05,162360,1581516,,,,,20.023528772699486,42.17498597387695,,,16.59310878823074,-11.385099685204679,,,,,,,-2909054.0,-15255461.643156093,,
2020-11-06,160380,417279,,,,,18.98546708362135,39.988546327105986,,,28.18041037553233,0.7795968370641783,,,,,,,-3326333.0,-15351756.797002247,,
2020-11-09,161370,433562,,,,,20.495361648338882,37.26769196206122,,29.017459302468893,42.27885874364362,26.90378476972181,,,,,,,-2892771.0,-15581289.620531658,,
2020-11-10,166320,496144,,,,,20.70250271098375,34.723347267918044,,40.242182885372806,50.26727953694245,72.07362668967494,,,,,,,-2396627.0,-15779747.220531657,,
2020-11-11,162360,298989,,,,,19.207242629317438,35.024207902562594,,49.103180616178754,54.763403567950206,67.07985697258638,,,217694.50736100337,168448.5,119202.49263899661,,-2695616.0,-16012294.220531657,,
2020-11-12,155925,329564,,,,,17.96514220729281,38.417730063354924,28.658051224559326,53.41258761561871,55.20707974196346,12.899728997290099,-38.95348837209303,-99495.0,192538.09136102174,163473.75,134409.40863897826,11809.43511684779,-3025180.0,-16218271.720531657,-95.02428192212936,
2020-11-13,158400,226874,,,,,17.003029295643913,36.36029051159946,30.53682624715392,54.838228087999454,54.54420095408468,18.563535911602337,-20.199501246882793,-40095.0,185728.24248611237,161469.0,137209.75751388763,11401.93417884536,-2798306.0,-16165916.18207012,-95.01364207605715,
2020-11-16,169785,1173866,,,,,22.014049250397786,31.47324599313735,38.39272753239364,59.41228587304169,68.48557692307692,80.77396657871597,-9.25925925925926,-17325.0,182232.55084859775,160602.75,138972.94915140225,11839.728675316324,-1624440.0,-15059128.239212977,-41.247242209115626,
2020-11-17,177705,934530,,,,,27.178373479340202,27.49367362257183,43.10453551910833,68.38261114423905,82.11805555555556,152.1833721833722,-1.643835616438356,-2970.0,181565.3471469983,160454.25,139343.1528530017,12235.695304384557,-689910.0,-14498410.239212977,-48.930414800687466,
2020-11-18,179685,423211,,,,,27.51776052852904,25.97766101104001,44.22705929762974,81.08903333973558,92.66346754057429,161.55999999999997,1.3966480446927374,2475.0,182105.43561133096,160578.0,139050.56438866904,11895.962202091068,-266699.0,-14526624.305879643,-74.73965871969449,
