Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
1985-01-04,741,2028,,,,,,,,,,,,,,,,,2028.0,0.0,,
1985-01-05,739,4057,,,,,,,,,,,,,,,,,-2029.0,0.0,,
1985-01-07,769,20284,,,,,,,,,,,,,,,,,18255.0,15674.0,,
1985-01-08,744,14199,,,,,,,,,,,,,,,,,4056.0,15674.0,,
1985-01-09,715,13996,,,,,,,,,,,,,,,,,-9940.0,5794.470588235294,,
1985-01-10,705,4462,,,,,,,,,,,,,,,,,-14402.0,1332.4705882352937,,
1985-01-11,700,6085,,,,,,,,,,,,,,,,,-20487.0,-4752.529411764706,,
1985-01-12,695,3448,,,,,,,,,,,,,,,,,-23935.0,-8200.529411764706,,
1985-01-14,691,3448,,,,,,,,,,,,,,,,,-27383.0,-8200.529411764706,,
1985-01-15,712,4057,,,,,,,,,,,,,,,,,-23326.0,-4143.529411764706,,
1985-01-16,691,12170,,,,,,,,,,,,,,,,,-35496.0,-16313.529411764706,,
1985-01-17,691,1014,,,,,,,,,,,,,,,,,-35496.0,-16313.529411764706,,
1985-01-18,676,1014,,,,,,,,,,,,,,,,,-36510.0,-17327.529411764706,,
1985-01-19,666,9128,,,,,,,,,,-129.49982299094722,,,,,,,-45638.0,-17327.529411764706,,
1985-01-21,668,1826,,,,,27.116939029198203,43.95646043280378,,,,-113.5416666666665,,,,,,,-43812.0,-17327.529411764706,,
1985-01-22,671,2637,,,,,29.773381270320197,42.35433510068187,,,2.160493827160494,-93.6658749010291,,,,,,,-41175.0,-19964.529411764706,,
1985-01-23,675,47262,,,,,35.41590290056487,37.89232117544415,,,6.00664767331434,-73.70990237099028,,,,,,,6087.0,-27841.529411764706,,
1985-01-24,710,29412,,,,,46.500940083780826,28.47107421710928,,10.786641342196896,24.19278252611586,54.88048674489336,,,,,,,35499.0,1570.4705882352937,,
1985-01-25,739,64909,,,,,56.487372756157704,23.15650483542919,,28.577295243961913,55.532455532455536,217.32193732193687,,,,,,,100408.0,50252.220588235294,,
1985-01-26,735,10142,,,,,55.01284896522619,22.55203669275143,,54.16420694198471,82.76738276738276,169.96367700475,,,764.5197675820458,706.65,648.7802324179542,,90266.0,50252.220588235294,,
1985-01-28,705,3854,,,,,45.433744923150876,36.037651641286665,46.78048319121936,73.27712327712328,81.53153153153153,44.672692413037915,-4.8582995951417,-36.0,760.5322233751491,704.85,649.167776624851,15.75369598109981,86412.0,50252.220588235294,90.03944773175543,
1985-01-29,715,406,,,,,48.643831861909234,33.91758687462286,49.62855040887088,78.33987833987833,70.7207207207207,72.66466316053115,-3.2476319350473615,-24.0,757.3352866249218,703.65,649.9647133750782,15.317438689253638,86818.0,50252.220588235294,-89.99260537342865,
1985-01-30,715,203,,,,,48.64383186190924,33.91758687462286,49.62855040887088,71.3213213213213,61.7117117117117,62.536142090045395,-7.022106631989597,-54.0,745.9454442138314,700.95,655.9545557861687,14.185273259952467,86818.0,50252.220588235294,-98.99921120094656,
1985-01-31,715,203,,,,,48.64383186190924,33.91758687462286,49.62855040887087,66.2162162162162,66.21621621621621,57.90521704500211,-3.8978494623655915,-29.0,740.5487515035477,699.5,658.4512484964523,13.161277453240205,86818.0,50252.220588235294,-98.57032185365166,
1985-02-01,715,203,,,,,48.64383186190925,33.91758687462287,49.62855040887088,64.7147147147147,66.21621621621621,50.87952207102545,0.0,0.0,740.5487515035477,699.5,658.4512484964523,12.231823115265527,86818.0,50252.220588235294,-98.54958559588454,
1985-02-02,715,203,2.8262566243757874,,,,48.64383186190925,33.91758687462287,49.62855040887088,66.21621621621621,66.21621621621621,45.23612261806134,1.4184397163120568,10.0,741.5451561556821,700.0,658.4548438443179,11.38545952429787,86818.0,50252.220588235294,-95.45047064096818,
1985-02-04,714,203,2.854739606994258,,,,48.232815907681506,34.475950084279205,49.28767192756096,66.06606606606607,65.76576576576576,36.48020704664429,2.0,14.0,742.6909514062257,700.7,658.7090485937744,10.68038532972334,86615.0,50252.220588235294,-96.66392769104355,
1985-02-05,714,203,2.8445226890230515,,,19.84558849609587,48.23281590768151,34.475950084279205,49.28767192756096,65.65732399065733,64.98998998999,29.381624201586206,2.7338129496402876,19.0,743.9407791368284,701.65,659.3592208631716,9.968032823487906,86615.0,50252.220588235294,-94.11252900232019,77.26771685105018
