Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2005-07-22,1407,19366941,,,,,,,,,,,,,,,,,19366941.0,19366941.0,,
2005-07-25,1612,7654435,,,,,,,,,,,,,,,,,27021376.0,27021376.0,,
2005-07-26,1854,1435990,,,,,,,,,,,,,,,,,28457366.0,28457366.0,,
2005-07-27,2130,371105,,,,,,,,,,,,,,,,,28828471.0,28457366.0,,
2005-07-28,1813,10972591,,,,,,,,,,,,,,,,,17855880.0,17484775.0,,
2005-07-29,1789,7254257,,,,,,,,,,,,,,,,,10601623.0,17319905.522727273,,
2005-08-01,1612,3312744,,,,,,,,,,,,,,,,,7288879.0,15100992.08876501,,
2005-08-02,1636,3141308,,,,,,,,,,,,,,,,,10430187.0,16171892.543310465,,
2005-08-03,1454,3585896,,,,,,,,,,,,,,,,,6844291.0,12971922.570216294,,
2005-08-04,1554,4001240,,,,,,,,,,,,,,,,,10845531.0,15857665.358095082,,
2005-08-05,1518,1802974,,,,,,,,,,,,,,,,,9042557.0,16212096.144419868,,
2005-08-08,1471,1032056,,,,,,,,,,,,,,,,,8010501.0,15528904.144419868,,
2005-08-09,1471,1240068,,,,,,,,,,,,,,,,,8010501.0,15853229.621342944,,
2005-08-10,1689,2053942,,,,,,,,,,-6.251984168977164,,,,,,,10064443.0,17907171.621342942,,
2005-08-11,1554,5107213,,,,,33.84282574122201,25.045724610406094,,,,-16.048890036542186,,,,,,,4957230.0,12799958.621342942,,
2005-08-12,1583,2005055,,,,,31.96116577164422,25.90217056649255,,,34.08212811179267,-42.07795494811458,,,,,,,6962285.0,13723635.643814852,,
2005-08-16,1477,1914894,,,,,29.084748714162043,26.815845265924292,,,18.378762419225694,-60.38231780167273,,,,,,,5047391.0,12121377.398916893,,
2005-08-17,1495,1204163,,,,,27.8016354999702,26.704225099415414,,22.513483332055404,15.079559465147847,-73.64656114834357,,,,,,,6251554.0,12534233.284631178,,
2005-08-18,1448,1381903,,,,,25.643469831498425,26.50932806592386,,14.31430422885625,9.484590802195202,-82.63443813709337,,,,,,,4869651.0,11820993.026566662,,
2005-08-19,1465,792234,,,,,24.207297946953354,26.106585296457727,,12.176460419817017,11.965230992108,-96.93885419076283,,,1949.8914871196253,1601.6,1253.3085128803746,,5661885.0,12181099.390203025,,
2005-08-22,1259,7739660,,,,,21.07314157448489,31.855164446806146,40.752304600709074,10.00266647152604,8.558177620274915,-246.10842726784756,-10.518834399431414,-148.0,1964.3203047658967,1594.2,1224.0796952341034,159.24306612597653,-2077775.0,5825768.821097334,-60.036745090512746,
2005-08-23,1248,2485633,,,,,20.379139132189103,31.17890407750004,40.41438547546792,9.041312206252739,6.600528006375299,-215.2169280949339,-22.580645161290324,-364.0,1975.4641410690078,1576.0,1176.5358589309922,151.18749411490677,-4563408.0,3902920.6512860134,-67.52689127283725,
2005-08-24,1189,2914877,,,,,19.148990349923512,33.50969158382545,38.60695393301078,5.686224214601577,1.899967017154517,-184.93178119914913,-35.868392664509166,-665.0,1954.6314756698828,1542.75,1130.8685243301172,147.10839353978943,-7478285.0,1838216.109619347,102.98727707017458,
2005-08-25,1189,2077052,,,,,18.582741217286493,33.43876386975722,38.60695393301078,3.74748956123349,2.7419736601706552,-147.04932876658395,-44.178403755868544,-941.0,1837.528670535402,1495.7,1153.8713294645981,139.73746984316546,-7478285.0,2345939.931841569,459.6938871747888,
2005-08-26,1177,3764172,,,,,20.843783079195184,31.710810922201972,38.22172562601579,2.6293955983412367,3.246246117698538,-107.4010766130062,-35.079977937120795,-636.0,1800.0249172554759,1463.9,1127.7750827445243,135.3069262499271,-11242457.0,-1418232.068158431,-65.69477528142623,
2005-08-29,1070,2439728,-197.1557100022983,,,,19.244313720696585,36.95105282222815,34.948609028812356,2.939596344299822,2.8305692550302717,-124.32559024575886,-40.19005030743432,-719.0,1771.0298595079585,1427.95,1084.8701404920416,133.90181739081075,-13682185.0,-3499834.8571492564,-66.36832690101826,
2005-08-30,1046,2158845,-203.54376426010822,,,,18.335194509804353,37.396334400007795,34.25599445735045,2.6932752529051815,2.003010385986736,-116.42611683848807,-35.11166253101737,-566.0,1769.6533918763457,1399.65,1029.6466081236545,129.49559959022258,-15841030.0,-4657476.378888387,-34.83212104527244,
2005-08-31,1078,2314996,-203.67635646482972,,,20.765391160606644,18.456890314725804,34.972470838578424,36.035167250672224,2.797289785762839,3.5582897162715104,-97.63394289380815,-34.10757946210269,-558.0,1750.3108933844073,1371.75,993.1891066155927,127.12814012618473,-13526034.0,-4312689.740590515,-26.304711285872,26.964152397451784
2005-09-01,1075,1635225,-201.6984574062517,,,21.845448012866967,17.950374425500012,34.01271478741457,35.93918787988228,3.876234115354087,6.067402243804014,-84.11696828944098,-26.066024759284733,-379.0,1750.4569375730803,1352.8,955.1430624269196,121.28116531154284,-15161259.0,-5947914.740590515,-54.39842650205137,26.977476759059368
2005-09-02,1177,5553679,-189.71351133578446,,,20.77137982488642,24.073058896692704,30.26955175485796,41.5143322835255,7.878656661442901,14.010278024253177,-46.399002493765536,-24.25997425997426,-377.0,1727.389436254172,1333.95,940.510563745828,123.71757963398977,-9607580.0,-4096688.407257181,38.798947326328836,34.565225623644764
2005-09-05,1161,1703110,-179.43797226250354,,,19.837139615543734,22.928004632666,28.829756361351116,40.92621830405797,13.486088311452049,20.380584666298954,-32.622869338946806,-23.51778656126482,-357.0,1706.9037359084489,1316.1,925.2962640915509,120.10665659437409,-11310690.0,-4986372.73561539,-5.538848591271976,32.74784117418063
2005-09-06,1166,3135871,-168.94359866078776,,,18.831036468063264,22.74968883469668,27.50493930434387,41.20022773201174,20.339333343991726,26.627137341423055,-16.38933883080552,-20.734194425560844,-305.0,1690.085802567031,1300.85,911.6141974329689,116.51997488165419,-8174819.0,-8122243.73561539,203.84698117156432,32.01991215658469
2005-09-07,1162,2982413,-159.11531622456255,,,18.089845634139255,21.95631767319602,27.379675764071504,41.03992398948524,24.95128769322318,27.846141071947525,-13.624636687240733,-21.006118286879673,-309.0,1670.9066276991884,1285.4,899.8933723008116,112.14685201543716,-11157232.0,-10196965.822571913,140.50398849095373,34.7964459291473
2005-09-08,1138,1784282,-151.51634490017477,32.35043637952535,-183.86678127970012,17.76072652764355,21.14492369335221,28.33354929030198,40.055606941481585,28.151489771630807,29.981190901521845,-21.66273275636015,-32.62285375962108,-551.0,1600.408184838723,1257.85,915.2918151612769,108.15488383699626,-12941514.0,-11373832.673635744,-13.128900426594324,33.56631514500684
2005-09-09,1135,1931750,-144.07536913434183,31.833129716286635,-175.90849885062846,17.468167028944805,20.435464420265006,27.382895621601453,39.929595558420495,30.77465008954913,34.496618295178024,-12.966899483753512,-26.962676962676962,-419.0,1554.8118745816219,1236.9,918.9881254183783,104.08575592581177,-14873264.0,-12928655.844367452,-62.176043959787854,30.992418708637103
2005-09-12,1095,2198581,-139.79454345872523,28.89116431352261,-168.68570777224784,17.824114288653544,19.216135900546334,29.72685127693983,38.24112961468483,32.88786693245,34.18579160065014,-53.3157228550988,-30.827542640555908,-488.0,1493.1360632563121,1212.5,931.8639367436879,102.16195711249402,-17071845.0,-14394376.511034118,9.651904810591232,30.95507439664296
2005-09-13,1080,2296729,-136.0441011948235,26.113285261939495,-162.157386456763,18.325423774914018,18.395283818506083,29.738519319838314,37.613293321465505,33.34437829331022,31.35072498410251,-74.57044673539515,-26.878808395396074,-397.0,1450.9128699600483,1192.65,934.3871300399519,99.0652657206176,-19368574.0,-15588675.591034118,19.940268234168574,22.812167790941174
2005-09-14,1085,1170816,-131.15649997729588,24.8007091835737,-155.95720916086958,18.800830823609875,17.837300061415817,29.014890726929913,37.97062232539515,30.69156158254492,26.53816816288212,-70.7809523809523,-27.4247491638796,-410.0,1393.6298184936968,1172.15,950.6701815063035,95.23839124761551,-18197758.0,-15450932.532210588,-2.76930947056171,23.598269807459058
2005-09-15,1083,2214138,-125.99206597521811,23.972114548521176,-149.9641805237393,18.71749664598515,19.240977273215666,27.5837952455532,37.87927113557601,28.130780150819366,26.503447305473475,-47.87080476362346,-25.20718232044199,-365.0,1338.540082322341,1153.9,969.2599176776592,92.8341126522435,-20411896.0,-16681009.198877255,60.2238362605769,25.38970727375818
2005-09-16,1083,1339609,-120.51004997957057,23.563304435335,-144.07335441490557,18.64222188181267,18.887974925965693,27.077732360623884,37.87927113557601,26.992015437062197,27.93443084283101,-58.979316810218535,-26.07508532423208,-382.0,1254.3049789757765,1134.8,1015.2950210242233,88.56488288943021,-20411896.0,-17033537.88308778,69.09259133033927,27.41872002205938
2005-09-20,1129,3447749,-111.1721736299371,26.320944627974768,-137.49311825791187,17.130399351673468,24.616764038578413,24.783998964176455,41.46799871324131,30.174006847708828,36.084142394822,11.329271044910659,-10.325655281969818,-130.0,1233.3430387983935,1128.3,1023.2569612016063,88.5898469273022,-16964147.0,-17158155.31682272,-55.45348245271756,32.65789777745968
2005-09-21,1106,1531937,-104.42401211805964,26.45528491188179,-130.87929702994143,15.75876658789028,23.787757893042354,23.949360933765035,40.24435407995855,32.89529045564833,34.66729812929197,-36.51835643082894,-11.378205128205128,-142.0,1211.0122486078644,1121.2,1031.3877513921357,85.48077923681645,-18496084.0,-17566671.850156054,-38.368335148431,32.47704735634405
2005-09-22,1089,1796262,-99.30309911453105,25.260958332328315,-124.56405744685937,14.840137998986146,23.05014669396659,25.170579816041833,39.34114822394923,33.515536611676794,29.795169310916407,-74.78601124969441,-8.410428931875526,-100.0,1201.3718263277292,1116.2,1031.028173672271,82.34278922272394,-20292346.0,-17806173.450156055,-38.37606183725763,36.238179761249064
2005-09-23,1066,1577400,-95.99408637256965,22.855976859431777,-118.85006323200143,14.276426789000906,21.997276594818043,25.720477008911264,38.1226628487444,26.162285894703604,14.024390243902438,-90.18553003655406,-10.344827586206897,-123.0,1190.9634723022123,1110.05,1029.1365276977876,80.13206532687192,-21869746.0,-18943368.798993263,-24.05582527543846,32.82100399661159
2005-09-26,1068,1160646,-92.14806116023442,21.361601657413615,-113.50966281764804,13.762326860657168,21.650528672404004,25.31503945722638,38.297588693747834,17.11329491935696,7.520325203252033,-93.14703925482372,-9.260832625318606,-109.0,1181.3161000051546,1104.6,1027.8838999948453,76.43888195106437,-20709100.0,-19606595.08470755,-69.16596797383329,31.343828612725936
2005-09-27,1066,1608980,-88.24421734817429,20.212356375579006,-108.4565737237533,13.017005041092297,22.490533237725717,24.512524018628767,38.18396216211546,8.602894539583694,4.26396817159661,-79.67923710446482,-0.37383177570093457,-4.0,1181.4957845799686,1104.4,1027.3042154200316,73.69398455060642,-22318080.0,-21096391.381003845,-34.05084501223087,30.978323022122233
2005-09-28,1082,1755922,-82.90366487606798,20.442327078148253,-103.34599195421623,12.163562952933304,22.533354449498177,23.502149894205957,39.690772080020054,7.032185206376522,9.312262244280927,-49.162371134020276,3.4416826003824093,36.0,1179.3371314723302,1106.2,1033.06286852767,71.5022345488183,-20562158.0,-21379604.606810298,-18.663822553263437,32.4777482408465
2005-09-29,1118,2761512,-74.90290536229759,22.754469273534923,-97.65737463583251,11.638707945816998,24.554041446156216,22.03497246328736,42.98250328164089,12.841460387300208,24.94815074602309,43.470319634703664,3.7105751391465676,40.0,1180.3237824853973,1108.2,1036.0762175146028,70.3760539311181,-17800646.0,-19701038.48916324,19.287981491112728,35.987624058260884
2005-09-30,1108,1978590,-68.5786304684625,23.262995333896015,-91.84162580235852,11.198723302029574,23.753081623845766,21.089737776874113,42.30730726111777,24.025279435243107,37.815425315425315,82.06356812010809,3.0697674418604652,33.0,1180.3518439475229,1109.85,1039.348156052477,68.38773166974987,-19779236.0,-20282976.724457357,20.998027794340228,37.194113994469184
2005-10-04,1171,5191623,-57.81655036111624,27.220060352993826,-85.03661071411007,11.982973350103778,29.14017731553301,18.860275219964407,47.750313159798296,40.572867505491615,58.955026455026456,226.29074040604837,-0.5097706032285472,-6.0,1178.9487752053367,1109.55,1040.1512247946632,69.4003628563891,-14587613.0,-18327690.140041772,-6.519210058773653,45.19208193850983
2005-10-05,1289,4734053,-39.31273773728526,36.57909838145984,-75.8918361187451,13.927052365675756,35.02426309987148,15.940073860093154,55.94497918748092,57.265635598968935,75.02645502645503,295.4224823653008,11.024978466838933,128.0,1218.728353752144,1115.95,1013.1716462478561,73.2246005915542,-9853560.0,-13593637.140041772,177.96519308793913,62.58907470404893
2005-10-06,1248,8698853,-27.63809550793303,38.60299248864966,-66.24108799658269,16.524571733219236,39.2020537973931,13.732107800496735,52.909948082702584,71.49696226194648,80.50940530435798,234.40984236832003,7.0325900514579756,82.0,1236.1645555044706,1120.05,1003.9354444955293,76.55695833710375,-18552413.0,-21519258.762263995,177.39830496853983,50.219437209227955
2005-10-07,1242,3212523,-18.654964467751824,38.0688988230647,-56.723863290816524,18.77531406353216,36.802749893758644,13.51406312405933,52.47144881344824,75.92520265496081,72.2397476340694,139.47541236914284,6.884681583476764,80.0,1250.7030299677065,1124.05,997.3969700322933,75.61360100800447,-21764936.0,-24078387.253789417,7.715564544548323,48.6908192057146
2005-10-10,1324,5454511,-4.8629961090030065,41.48869374545082,-46.351689854453824,21.229392226798154,37.827455133088286,12.156056686678795,57.53444228604606,73.13860653503134,66.66666666666667,141.84572478925028,16.344463971880494,186.0,1287.1424250410296,1133.35,979.5575749589702,76.9190417979466,-16310425.0,-20587500.21378942,205.69781009952462,53.511884225096026
2005-10-11,1330,3198309,6.476728344250432,42.26273455896341,-35.78600621471298,23.582266053072406,36.554745097529,11.357171944977305,57.880027113715606,71.39852786540484,75.28916929547846,125.62449099477983,17.180616740088105,195.0,1319.1839572476738,1143.1,967.016042752326,76.28324281007515,-13112116.0,-19751019.398404803,65.56536818946552,53.228764343199735
2005-10-12,1242,2918182,8.267375954699673,35.24270573553012,-26.97532978083045,24.166008249918832,32.20637705960917,16.817310529882388,51.4196909964607,72.41500175254119,75.28916929547844,67.97538896033484,13.424657534246576,147.0,1330.1246782381997,1150.45,970.7753217618003,78.82012284109435,-16030298.0,-21539582.559695125,32.73024737319207,48.739633344748505
2005-10-13,1242,2227782,9.576089883630402,29.241135731568683,-19.66504584793828,23.8909388528429,29.94780771425646,19.768774273323658,51.4196909964607,72.41500175254119,66.66666666666667,28.040448209893565,15.0,162.0,1339.3929982056275,1158.55,977.7070017943726,78.51167011064477,-16030298.0,-19678011.299421154,-3.0019649684398986,51.039074441074305
2005-10-14,1212,1662039,8.099143931839762,22.211351823822433,-14.112207891982672,23.769330491366354,29.155395533076387,18.541137926930602,49.33945729379938,65.31215454717032,53.98062767936585,22.00253485424596,11.705069124423963,127.0,1343.875864294604,1164.9,985.924135705396,77.74488449497399,-17692337.0,-20457092.080671154,41.955610446047885,42.992763215098
2005-10-17,1271,4600510,11.556247315116707,20.534764165679505,-8.978516850562796,23.804585045182243,28.009332771557,17.077812874529265,53.254442797880074,59.16623976560885,56.85142495079403,33.44906856916381,17.359187442289937,188.0,1354.82379344563,1174.3,993.77620655437,77.96908500417739,-13091827.0,-15856582.080671154,107.778828600566,54.4133872081094
