Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
1985-01-04,3862,1424,,,,,,,,,,,,,,,,,1424.0,1424.0,,
1985-01-05,3855,5212,,,,,,,,,,,,,,,,,-3788.0,6636.0,,
1985-01-07,3806,34349,,,,,,,,,,,,,,,,,-38137.0,-4813.666666666666,,
1985-01-08,3722,13258,,,,,,,,,,,,,,,,,-51395.0,-18071.666666666664,,
1985-01-09,3581,7776,,,,,,,,,,,,,,,,,-59171.0,-22169.828828828828,,
1985-01-10,3546,8402,,,,,,,,,,,,,,,,,-67573.0,-30571.828828828828,,
1985-01-11,3574,2478,,,,,,,,,,,,,,,,,-65095.0,-30217.828828828828,,
1985-01-12,3567,2763,,,,,,,,,,,,,,,,,-67858.0,-30217.828828828828,,
1985-01-14,3511,3560,,,,,,,,,,,,,,,,,-71418.0,-33777.82882882883,,
1985-01-15,3504,5141,,,,,,,,,,,,,,,,,-76559.0,-38918.82882882883,,
1985-01-16,3448,6423,,,,,,,,,,,,,,,,,-82982.0,-45341.82882882883,,
1985-01-17,3371,8488,,,,,,,,,,,,,,,,,-91470.0,-53829.82882882883,,
1985-01-18,3427,4358,,,,,,,,,,,,,,,,,-87112.0,-53829.82882882883,,
1985-01-19,3378,3945,,,,,,,,,,-106.37152636664946,,,,,,,-91057.0,-57774.82882882883,,
1985-01-21,3406,12475,,,,,11.816736932025377,42.74943639813689,,,,-90.25451161285103,,,,,,,-78582.0,-57774.82882882883,,
1985-01-22,3441,11179,,,,,11.136484867662018,40.28848693912085,,,7.777373094679813,-67.948101874099,,,,,,,-67403.0,-46595.82882882883,,
1985-01-23,3462,3005,,,,,16.323983344975023,37.93660535601342,,,13.85362833845583,-37.500000000000135,,,,,,,-64398.0,-45994.82882882883,,
1985-01-24,3441,7818,,,,,15.730625854443376,36.55765461356104,,13.432701220164859,18.667102227358935,-36.59346545259759,,,,,,,-72216.0,-53812.82882882883,,
1985-01-25,3434,9128,,,,,15.330550803461323,36.8995321119874,,18.557049552068847,23.150418090391778,-39.451014746678254,,,,,,,-81344.0,-62940.82882882883,,
1985-01-26,3406,1481,,,,,14.534379287833284,40.176569956178525,,21.20826528651546,21.807275541795665,-62.161279791054696,,,3840.820858684418,3537.1,3233.379141315582,,-82825.0,-64421.82882882883,,
1985-01-28,3413,8687,,,,,13.949257958593993,38.55915186411641,26.467968147506678,22.227961369459308,21.726190476190478,-56.1094819159334,-11.626100466079752,-449.0,3783.3478042336787,3514.65,3245.9521957663214,51.085031351133026,-74138.0,-67317.4954954955,510.04213483146066,
1985-01-29,3378,3774,,,,,13.009242728321913,41.351775566305754,24.517512531039007,19.025044228217602,13.541666666666666,-99.51969260326551,-12.373540856031129,-477.0,3715.500333778124,3490.8,3266.0996662218763,49.86543055200204,-77912.0,-71091.4954954955,-27.590176515732924,
1985-01-30,3371,7320,,,,,12.129016973186664,39.907080962336735,24.14296030750446,14.53373015873016,8.333333333333334,-104.19161676646844,-11.429322122963741,-435.0,3646.8087972506573,3469.05,3291.291202749343,48.76667462393282,-85232.0,-78411.4954954955,-78.68933593408833,
1985-01-31,3371,4856,,,,,11.620951505743077,38.235436031155494,24.14296030750446,7.688492063492063,1.1904761904761905,-107.65676567656828,-9.430413756045137,-351.0,3591.114469164196,3451.5,3311.885530835804,46.76227485945861,-85232.0,-83267.4954954955,-63.373057776436866,
1985-02-01,3335,8402,,,,,10.638298700906024,43.458168609768215,22.209513332544738,3.7001287001287007,1.5765765765765767,-167.76833490714452,-6.869589500139626,-246.0,3574.2830855436764,3439.2,3304.1169144563232,46.496581601247115,-93634.0,-88933.96061177457,8.050411522633745,
1985-02-02,3300,5810,-99.5854686758953,,,,9.769358345033181,46.71518749968075,20.527176689316878,1.8728916269899878,2.851622113917196,-210.4451818056131,-6.937394247038917,-246.0,3565.5952053965825,3426.9,3288.2047946034177,46.1854470373111,-99444.0,-83123.96061177457,-30.84979766722209,
1985-02-04,3300,14825,-99.94290917326998,,,,14.767585645528793,44.12745099214786,20.527176689316875,2.851622113917196,4.126667651257815,-148.3079526226732,-7.666480134303302,-274.0,3545.0280698485726,3413.2,3281.371930151427,44.950827674266904,-99444.0,-97948.96061177457,498.2647296206618,
1985-02-05,3293,8160,-99.64240917351208,,,52.35515446599803,12.85101789196013,44.88960252658699,20.18828871765178,4.650587188851504,6.9734718013795005,-134.26483454274108,-7.68152509111298,-274.0,3521.1001644735734,3399.5,3277.8998355264266,46.62153899548676,-107604.0,-99580.96061177457,195.33116178067317,21.5685282633647
1985-02-06,3237,6465,-102.73868513753678,,,53.20015519906865,11.415123539544112,46.081351059363676,17.72418198093898,5.9156917339236825,6.646935749133732,-152.09722839780616,-7.804044431785816,-274.0,3515.5329564914023,3385.8,3256.067043508598,47.69599706069942,-114069.0,-104609.2939451079,81.60112359550561,19.72216812110258
1985-02-07,3244,7946,-103.4353265892646,,,53.92964979691489,10.835639255320682,43.74204928639746,19.024648744555897,6.963105577498683,7.268909181982816,-123.32695267049495,-7.420091324200913,-260.0,3504.6402063105184,3372.8,3240.959793689482,46.423751782447326,-106123.0,-112555.2939451079,54.561369383388445,18.8168880012411
1985-02-08,3300,4899,-98.33514166866098,,,52.78549308845858,15.927803958758409,39.43072681532313,28.536744752849973,8.93961488358964,12.90299971965237,-77.21129399170341,-4.292343387470997,-148.0,3496.1354580823427,3365.4,3234.6645419176575,47.03342334362793,-101224.0,-107656.2939451079,-23.727230266230734,29.529943580889586
