Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
2001-02-02,17879,972094,,,,,,,,,,,,,,,,,972094.0,972094.0,,
2001-02-05,17768,768679,,,,,,,,,,,,,,,,,203415.0,1288728.6609271523,,
2001-02-06,19945,771481,,,,,,,,,,,,,,,,,974896.0,1625472.0997262285,,
2001-02-07,18079,385581,,,,,,,,,,,,,,,,,589315.0,1259481.8202805012,,
2001-02-08,17191,400459,,,,,,,,,,,,,,,,,188856.0,1059413.4059603082,,
2001-02-09,16968,327431,,,,,,,,,,,,,,,,,-138575.0,804107.3821805834,,
2001-02-12,16036,415810,,,,,,,,,,,,,,,,,-554385.0,410358.8123997299,,
2001-02-13,14570,767281,,,,,,,,,,,,,,,,,-1321666.0,76298.97023871297,,
2001-02-14,14481,421585,,,,,,,,,,,,,,,,,-1743251.0,-271859.2880783125,,
2001-02-15,13992,487656,,,,,,,,,,,,,,,,,-2230907.0,-496898.81015623454,,
2001-02-16,13726,442571,,,,,,,,,,,,,,,,,-2673478.0,-761986.324295052,,
2001-02-19,13615,349856,,,,,,,,,,,,,,,,,-3023334.0,-1033707.8176283853,,
2001-02-20,15636,1046878,,,,,,,,,,,,,,,,,-1976456.0,13170.18237161485,,
2001-02-21,14259,550002,,,,,,,,,,-61.85971695468032,,,,,,,-2526458.0,-379435.7468888353,,
2001-02-22,14881,500639,,,,,18.046437470893814,26.23375655989387,,,,-52.52398164785027,,,,,,,-2025819.0,-51377.27173355577,,
2001-02-23,14614,195259,,,,,17.36553919678277,25.243947929027495,,,15.056886952311787,-43.32285288763863,,,,,,,-2221078.0,-135179.41765630257,,
2001-02-26,14725,151556,,,,,17.58046932368963,23.94527515592635,,,17.923245266018363,-32.74308845728282,,,,,,,-2069522.0,-157108.742415145,,
2001-02-27,14214,199833,,,,,16.29186240749708,25.67343175186199,,16.43406443835754,16.322061096742473,-50.56724338667322,,,,,,,-2269355.0,-277278.5870097396,,
2001-02-28,14659,177873,,,,,15.265956508306209,25.172907102105725,,18.123709215568585,20.125821283944926,-45.57929735459428,,,,,,,-2091482.0,-99405.5870097396,,
2001-03-02,14303,147350,,,,,16.345351749980125,23.84262387946296,,19.27270025473406,21.37021838351478,-24.102483091109413,,,19052.52605228406,15577.05,12101.573947715937,,-2238832.0,-225908.64167211903,,
