Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
1985-01-04,3491,34294,,,,,,,,,,,,,,,,,34294.0,-2256.184210526316,,
1985-01-05,3561,321563,,,,,,,,,,,,,,,,,355857.0,319306.8157894737,,
1985-01-07,3734,417129,,,,,,,,,,,,,,,,,772986.0,429346.9814336455,,
1985-01-08,3631,185717,,,,,,,,,,,,,,,,,587269.0,255093.9937793245,,
1985-01-09,3615,172062,,,,,,,,,,,,,,,,,415207.0,216467.83051401837,,
1985-01-10,3539,120140,,,,,,,,,,,,,,,,,295067.0,96327.83051401837,,
1985-01-11,3518,88692,,,,,,,,,,,,,,,,,206375.0,74919.41672091492,,
1985-01-12,3545,28234,,,,,,,,,,,,,,,,,234609.0,74919.41672091492,,
1985-01-14,3507,48984,,,,,,,,,,,,,,,,,185625.0,64941.1944986927,,
1985-01-15,3491,38211,,,,,,,,,,,,,,,,,147414.0,81754.0344986927,,
1985-01-16,3469,33610,,,,,,,,,,,,,,,,,113804.0,54368.10857276677,,
1985-01-17,3453,32483,,,,,,,,,,,,,,,,,81321.0,39503.00687785151,,
1985-01-18,3442,24279,,,,,,,,,,,,,,,,,57042.0,30398.381877851512,,
1985-01-19,3410,18810,,,,,,,,,,-114.96142915144148,,,,,,,38232.0,11588.381877851512,,
1985-01-21,3388,26497,,,,,14.306180871994552,28.818179454155477,,,,-116.56150671284212,,,,,,,11735.0,-10001.766270296634,,
1985-01-22,3393,55931,,,,,13.735994475615053,27.669603601507823,,,1.2165450121654502,-104.64280580710077,,,,,,,67666.0,-24502.395899926265,,
1985-01-23,3410,31615,,,,,17.462758125385676,25.670033754426566,,,3.4387672343876723,-80.53200332502105,,,,,,,99281.0,-34180.45712441606,,
1985-01-24,3410,68256,,,,,16.493505599775702,25.745352277838496,,3.5902520859025207,6.11544401115444,-85.30227398779778,,,,,,,99281.0,-2819.5922595511984,,
1985-01-25,3410,47931,,,,,17.21381676743584,24.256282980448404,,6.111176241163243,8.779317477947615,-68.94449791466126,,,,,,,99281.0,-7864.96068060383,,
1985-01-26,3410,26183,,,,,16.90893869367848,23.82667408362417,,8.73792050224407,11.319000017630154,-67.33975354664966,,,3671.6134461004226,3491.35,3311.086553899577,,99281.0,18318.03931939617,,
1985-01-28,3355,9054,,,,,15.436762080175733,28.71740425982814,33.701291398675174,9.445041910795334,8.236808236808237,-106.64809352124978,-3.89573188198224,-136.0,3674.3609322457482,3484.55,3294.739067754252,62.62844156630089,90227.0,9264.039319396172,-73.59888027060127,
1985-01-29,3393,28973,,,,,14.497590415282703,26.970239133486963,40.07654370926669,10.051628865150738,10.599078341013824,-87.78245133522292,-4.717775905644482,-168.0,3666.5530199340337,3476.15,3285.7469800659665,60.76106149349204,119200.0,38237.03931939617,-90.98994598259128,
1985-01-30,3399,18089,,,,,16.653465956924258,25.770527342498337,41.0191864244056,11.223671722385356,14.835128589334012,-54.90881838620946,-8.971612212104981,-335.0,3611.1371411355835,3459.4,3307.6628588644166,58.26566344066621,137289.0,41586.85413421099,-95.66345183384516,
1985-01-31,3372,30248,,,,,15.758750759300016,26.2328066346362,38.17463333516621,14.581939379089588,18.311611206920926,-88.12649164677748,-7.1330212062792615,-259.0,3580.583478296807,3446.45,3312.316521703193,56.369617539337696,107041.0,11338.85413421099,-83.71285342752682,
1985-02-01,3372,21970,,,,,15.025250339773505,25.011785059654564,38.17463333516622,16.546696651205878,16.493350157362688,-91.51723260841891,-6.721991701244813,-243.0,3547.560937661667,3434.3,3321.039062338333,54.29552416021256,107041.0,-10631.14586578901,-87.23134684009253,
1985-02-02,3383,6837,-62.08240636302526,,,,14.308044927319429,23.81788897045352,40.05130562216542,17.274722011743627,17.019204670947264,-62.7514953779216,-4.408024865781294,-156.0,3530.992104964921,3426.5,3322.007895035079,52.406849215530734,113878.0,-13738.873138516283,-94.30913933743966,
1985-02-04,3112,63692,-80.72456080816119,,,,9.438302844979084,48.99292280941428,22.41032108107314,15.6850922938901,13.54272205336035,-439.35742971887674,-11.540648095508812,-406.0,3571.6625033051296,3406.2,3240.73749669487,67.24725077583518,50186.0,-77430.87313851628,-28.18743516889911,
1985-02-05,3166,71896,-90.10260704514076,,,33.87768942978175,8.740802574718638,45.372295514265076,28.9722989737573,15.18009390088753,14.978354978354977,-263.7874175545415,-10.69111424541608,-379.0,3570.628161186113,3387.25,3203.871838813887,66.69718169327423,122082.0,-18848.947212590356,154.64333781965007,27.382914644952724
1985-02-06,3247,52217,-89.96173036989558,,,34.6342737025295,17.121768173405698,40.903146086103696,37.33970591194825,15.870662040874805,19.09090909090909,-126.91906912122303,-7.413743940690049,-260.0,3558.6884721255306,3374.25,3189.8115278744694,67.63547366592648,174299.0,33368.05278740964,6.600114323044259,33.68706907233027
1985-02-07,3258,29342,-87.94865912439082,,,33.843500086839846,21.408027603800136,37.20062440763723,38.37744199112707,22.635882635882634,33.838383838383834,-72.38648206044415,-6.674305356631337,-233.0,3545.4971295564806,3362.6,3179.7028704435193,68.1757727480468,203641.0,33368.05278740964,-23.21059380806574,34.24398685422676
1985-02-08,3242,38396,-86.64555590783402,,,33.15567363733518,20.142089178417862,35.00080942433246,37.42837013455319,31.63241611517473,41.96795541623128,-69.54593011090208,-6.543672528106082,-227.0,3534.5005115954664,3351.25,3167.9994884045336,66.95494773990661,165245.0,29450.093603736168,14.239809580482,35.35364974596032
1985-02-09,3193,20750,-88.546024260585,,,32.97732325451682,18.936184223400968,36.204268227579135,34.66483670735314,37.53396029258098,36.79554162312783,-81.2089701171153,-7.529684332464524,-260.0,3527.571815964247,3338.25,3148.928184035753,65.82725638915944,144495.0,8700.093603736168,-36.120432226087495,33.82312326387535
1985-02-11,3215,30580,-87.27093793569657,,,32.820280425288786,18.28651559845407,34.962160690013384,36.8678512943399,37.444272237144254,33.56931967207366,-68.49465313956681,-6.595002905287624,-227.0,3517.196505485519,3326.9,3136.603494514481,63.41947954248792,175075.0,25380.093603736168,25.95246921207628,35.22138570538652
1985-02-13,3198,37916,-86.63352343117504,-2.1984117371856797,-84.43511169398936,32.03185522007439,19.958757026094297,32.76516700500609,35.883681524925,33.32325024525904,29.604889440575622,-59.99403503063844,-6.217008797653959,-212.0,3510.4783716071393,3316.3,3122.121628392861,62.53590494598015,137159.0,-4797.947212590363,101.57363104731526,47.0600817896648
1985-02-14,3182,36585,-86.42320125890137,-1.5904716519296045,-84.83272960697177,31.78370490929764,19.114020686552657,34.94950650829017,34.95913177007215,30.715042112866687,28.97091722595078,-74.60470848563747,-6.080283353010626,-206.0,3505.6496932128875,3306.0,3106.3503067871125,60.68563738523855,100574.0,-4797.947212590363,38.072234592595386,44.32092136723235
1985-02-15,3182,18976,-85.27353914377045,-0.35264762943894823,-84.9208915143315,31.562245860736752,18.406157558760544,33.65519656704615,34.959131770072155,27.951816241563986,25.279642058165546,-70.57426597582041,-6.218685529030356,-211.0,3497.8757641704733,3295.45,3093.0242358295263,58.665912826546105,100574.0,-1283.8731385162891,-66.07248216552539,36.73017393172392
1985-02-16,3182,18330,-83.40102849352525,1.21589041664501,-84.61691891017026,31.45026209232463,17.575401729595626,32.84140961280302,34.959131770072155,25.967127373765237,23.650822837179373,-67.9179097730771,-6.686217008797654,-228.0,3485.062910033162,3284.05,3083.0370899668383,57.08284142206628,100574.0,4444.251861483711,-42.02119247192788,36.88249536038569
1985-02-18,3161,15484,-82.65873634882018,1.5665460490800598,-84.22528239790024,31.72211851162157,16.49784383993004,33.96470392159418,33.632586550468105,23.480789004819346,21.511902119113127,-85.05762236536603,-7.302052785923753,-249.0,3470.7023857215177,3271.6,3072.497614278482,56.25454592909384,85090.0,4804.344884739525,-77.31481481481481,37.79359320538257
1985-02-19,3166,19050,-80.73632812890764,2.7911634151940774,-83.52749154410172,31.967056099274316,15.958739480043969,32.8548304045438,34.257806340752936,21.7054754834182,19.953701493962104,-91.77442528735683,-7.155425219941349,-244.0,3452.909069554892,3259.4,3065.890930445108,54.25743912934036,104140.0,23854.344884739527,-60.25536709019215,46.934986352366316
1985-02-21,3155,45214,-79.18758860471553,3.471922351508951,-82.65951095622448,31.796756122296177,16.984733594718524,31.494614888488858,33.52639159258282,19.61241418619173,17.371638945499967,-83.347914843978,-7.478005865102639,-255.0,3432.228312310464,3246.65,3061.0716876895362,52.68136180940097,58926.0,-4613.729189334546,72.68456632165909,42.552256238797376
1985-02-22,3134,22358,-78.74697970565057,3.1300250004591277,-81.8770047061097,32.22738427810822,15.981872741596485,34.76259852248384,32.14712168321972,17.39055268078771,14.846317602901065,-120.03581822251995,-6.587183308494784,-221.0,3420.37272525998,3235.6,3050.8272747400197,51.83904588267871,36568.0,-6967.202873545073,146.94057874972387,51.98658679834626
1985-02-23,3139,20824,-77.10551142626173,3.817194623878379,-80.9227060501401,32.22633442804763,16.91670733327866,32.995782083983414,32.83959470913586,14.963110470749937,12.671374863848776,-91.11259358090481,-7.4860005894488655,-254.0,3397.276489240953,3222.9,3048.523510759047,50.709148291171594,57392.0,-27791.202873545073,-28.126186449452938,47.53579460342405
1985-02-25,3112,23540,-77.09461164695404,3.0624755225488656,-80.1570871695029,32.68955352887199,15.486313255633032,34.43357562872471,31.03901374868075,11.593420766384027,7.262569832402235,-115.27838989275581,-8.44365989997058,-287.0,3369.301329699011,3208.55,3047.798670300989,50.89527869420872,33852.0,-51331.20287354507,30.13433578417823,37.293044362424745
1985-02-26,3058,13840,-80.51519316861413,-0.28648479928898496,-80.22870836932515,33.878032644965444,14.193832114661724,39.905721618666504,27.826932050724945,8.010259653561013,4.09683426443203,-200.19811788013794,-9.311981020166074,-314.0,3347.914212505659,3192.85,3037.7857874943406,51.06973713287756,20012.0,-65171.20287354507,-54.2449087542978,29.327802776010067
1985-02-27,3058,19880,-82.27758389733799,-1.6391004224102659,-80.63848347492772,34.96191569997453,13.58339733813268,38.1894944531107,27.826932050724942,3.7864680322780884,0.0,-180.9058192435651,-9.311981020166074,-314.0,3319.547015418162,3177.15,3034.752984581838,49.72554876374341,20012.0,-85051.20287354507,-9.512972234865726,24.39784806717834
1985-02-28,3058,34978,-82.72073807058496,-1.6658036765257833,-81.05493439405917,35.95182378097848,13.220545050345299,37.169341314186205,27.826932050724942,1.3656114214773434,0.0,-146.95994277539327,-9.606857818504286,-325.0,3277.4553945555517,3160.9,3044.3446054444485,47.853071727910596,20012.0,-120029.20287354507,411.59865438057625,19.960375645859518
1985-03-02,3085,11918,-79.97140600608509,0.8668227103792674,-80.83822871646436,34.8225634077603,21.122177579586484,32.70086921471857,31.93467965354597,1.6304347826086956,4.891304347826087,-80.07986845196149,-0.8676092544987146,-27.0,3278.9308611126603,3159.55,3040.16913888734,49.4072374482109,31930.0,-123479.15024196613,-81.28807385542925,22.576542923795497
1985-03-04,3079,15004,-77.38464833724811,2.762864303373007,-80.14751264062112,33.78862837055182,19.86978586012231,30.76194517767351,31.515103113367367,4.9275362318840585,9.891304347826088,-78.65822860029247,-2.7479469361970943,-87.0,3279.560122225737,3155.2,3030.8398777742627,48.72571220762757,16926.0,-130372.87997169586,-79.13096695226439,21.629871057985678
1985-03-05,3058,29860,-76.15132368688,3.196951162992889,-79.3482748498729,33.05990119576563,18.349743494744008,30.161779892105155,30.060037458004654,8.22463768115942,9.891304347826088,-80.96550140634928,-5.820757622420696,-189.0,3269.493080614636,3145.75,3022.006919385364,48.68604463564451,-12934.0,-160232.87997169586,-42.815558151559834,19.19705690628694
1985-03-06,3042,40336,-75.59357561394927,3.0037593887388994,-78.59733500268817,32.897608175101105,17.088555682492668,32.40438308957173,28.986691825458916,9.01532772708296,7.2633744855967075,-104.56057936973976,-6.629834254143646,-216.0,3255.2770127610593,3134.95,3014.6229872389404,48.37668598980346,-53270.0,-179931.8567158819,37.4684752232295,20.75032769569048
