현재가,거래량,체결시간,시가,고가,저가,수정주가구분,수정비율,대업종구분,소업종구분,종목정보,수정주가이벤트,전일종가
+81300,1338937,20240626153000,+81300,+81300,+81300,,,,,,,
+81100,173825,20240626151500,+81200,+81200,+81000,,,,,,,
+81100,142053,20240626151000,+81100,+81200,+81100,,,,,,,
+81100,119857,20240626150500,+81200,+81200,+81100,,,,,,,
+81200,203450,20240626150000,+81100,+81200,+81000,,,,,,,
+81100,186089,20240626145500,+81200,+81300,+81100,,,,,,,
+81200,88979,20240626145000,+81300,+81300,+81100,,,,,,,
+81200,196691,20240626144500,+81100,+81300,+81000,,,,,,,
+81100,369864,20240626144000,+81300,+81300,+81000,,,,,,,
+81200,160198,20240626143500,+81300,+81400,+81200,,,,,,,
+81300,253069,20240626143000,+81300,+81400,+81200,,,,,,,
+81300,77248,20240626142500,+81300,+81400,+81300,,,,,,,
+81300,157753,20240626142000,+81300,+81400,+81200,,,,,,,
+81300,270702,20240626141500,+81300,+81400,+81200,,,,,,,
+81200,169218,20240626141000,+81100,+81300,+81100,,,,,,,
+81200,230830,20240626140500,+81200,+81200,+81000,,,,,,,
+81200,178705,20240626140000,+81100,+81200,+81000,,,,,,,
+81100,36934,20240626135500,+81100,+81100,+81000,,,,,,,
+81100,121287,20240626135000,+81000,+81100,+80900,,,,,,,
+80900,89420,20240626134500,80800,+81000,80800,,,,,,,
80800,198309,20240626134000,+81000,+81100,80800,,,,,,,
+81000,32095,20240626133500,+81100,+81100,+81000,,,,,,,
+81000,32546,20240626133000,+81000,+81100,+81000,,,,,,,
+81000,123928,20240626132500,+81000,+81100,+80900,,,,,,,
+81000,292354,20240626132000,+81000,+81100,+80900,,,,,,,
+81000,60435,20240626131500,+81000,+81000,+80900,,,,,,,
+80900,421061,20240626131000,+81100,+81100,+80900,,,,,,,
+81000,300387,20240626130500,+81000,+81100,+80900,,,,,,,
+81000,189739,20240626130000,+80900,+81000,80800,,,,,,,
+80900,41718,20240626125500,80800,+80900,80800,,,,,,,
80800,36831,20240626125000,+80900,+80900,80800,,,,,,,
80800,38893,20240626124500,80800,+80900,80800,,,,,,,
+80900,40313,20240626124000,+80900,+80900,80800,,,,,,,
+80900,58646,20240626123500,+80900,+80900,80800,,,,,,,
+80900,20357,20240626123000,80800,+80900,80800,,,,,,,
80800,169144,20240626122500,-80700,+80900,-80700,,,,,,,
-80700,26542,20240626122000,-80700,80800,-80700,,,,,,,
-80700,19123,20240626121500,-80700,80800,-80700,,,,,,,
-80700,19165,20240626121000,80800,80800,-80700,,,,,,,
-80700,93510,20240626120500,-80500,80800,-80500,,,,,,,
-80600,192039,20240626120000,-80700,80800,-80500,,,,,,,
-80700,55937,20240626115500,-80700,80800,-80600,,,,,,,
-80700,115665,20240626115000,-80700,80800,-80600,,,,,,,
-80600,34757,20240626114500,-80700,-80700,-80600,,,,,,,
-80600,33108,20240626114000,-80700,-80700,-80600,,,,,,,
-80700,33677,20240626113500,-80600,-80700,-80600,,,,,,,
-80700,133456,20240626113000,80800,+80900,-80600,,,,,,,
80800,150923,20240626112500,-80600,80800,-80600,,,,,,,
-80700,39582,20240626112000,-80700,-80700,-80600,,,,,,,
-80700,31959,20240626111500,-80600,-80700,-80600,,,,,,,
-80700,131467,20240626111000,-80600,-80700,-80500,,,,,,,
-80600,26863,20240626110500,-80500,-80600,-80500,,,,,,,
-80600,134003,20240626110000,-80700,-80700,-80500,,,,,,,
-80600,122865,20240626105500,-80500,-80700,-80500,,,,,,,
-80600,61711,20240626105000,-80600,-80600,-80500,,,,,,,
-80600,55597,20240626104500,-80600,-80600,-80500,,,,,,,
-80500,144081,20240626104000,-80400,-80600,-80400,,,,,,,
-80500,47598,20240626103500,-80500,-80500,-80400,,,,,,,
-80500,35659,20240626103000,-80500,-80500,-80400,,,,,,,
-80500,113879,20240626102500,-80500,-80500,-80400,,,,,,,
-80500,206672,20240626102000,-80500,-80600,-80400,,,,,,,
-80400,51355,20240626101500,-80400,-80500,-80400,,,,,,,
-80400,325915,20240626101000,-80500,-80600,-80300,,,,,,,
-80500,58182,20240626100500,-80600,-80600,-80500,,,,,,,
-80500,96074,20240626100000,-80500,-80700,-80500,,,,,,,
-80600,121578,20240626095500,-80500,-80700,-80500,,,,,,,
-80600,228408,20240626095000,-80700,80800,-80500,,,,,,,
80800,217035,20240626094500,+81000,+81000,-80700,,,,,,,
+81000,327907,20240626094000,80800,+81000,-80700,,,,,,,
-80700,406722,20240626093500,-80500,80800,-80400,,,,,,,
-80500,319861,20240626093000,-80700,-80700,-80400,,,,,,,
-80700,394237,20240626092500,-80300,-80700,-80300,,,,,,,
-80300,294201,20240626092000,-80300,-80500,-80300,,,,,,,
-80400,440568,20240626091500,-80000,-80400,-80000,,,,,,,
-80100,708587,20240626091000,-80000,-80200,-79900,,,,,,,
-80100,809787,20240626090500,-80300,-80400,-80000,,,,,,,
-80300,2172361,20240626090000,-80100,-80700,-80000,,,,,,,
+80800,108456,20240625153500,+80800,+80800,+80800,,,,,,,
+80800,1604038,20240625153000,+80800,+80800,+80800,,,,,,,
-80500,446066,20240625151500,-80500,80600,-80400,,,,,,,
-80500,532408,20240625151000,80600,+80700,-80400,,,,,,,
80600,462317,20240625150500,+80800,+80900,-80500,,,,,,,
+80700,245977,20240625150000,+80900,+81000,+80700,,,,,,,
+80900,381409,20240625145500,+80800,+81000,+80700,,,,,,,
+80800,787826,20240625145000,+81200,+81300,+80700,,,,,,,
+81200,278107,20240625144500,+81300,+81400,+81100,,,,,,,
+81300,120840,20240625144000,+81400,+81400,+81300,,,,,,,
+81400,251940,20240625143500,+81500,+81600,+81400,,,,,,,
+81600,83755,20240625143000,+81500,+81600,+81500,,,,,,,
+81600,66061,20240625142500,+81500,+81600,+81500,,,,,,,
+81500,40708,20240625142000,+81500,+81600,+81500,,,,,,,
+81500,47361,20240625141500,+81500,+81600,+81500,,,,,,,
+81500,135035,20240625141000,+81400,+81600,+81400,,,,,,,
+81400,359004,20240625140500,+81600,+81600,+81400,,,,,,,
+81500,87386,20240625140000,+81500,+81600,+81500,,,,,,,
+81500,52939,20240625135500,+81600,+81600,+81500,,,,,,,
+81500,28323,20240625135000,+81500,+81600,+81500,,,,,,,
+81600,235384,20240625134500,+81500,+81600,+81400,,,,,,,
+81600,259225,20240625134000,+81400,+81600,+81400,,,,,,,
+81500,37815,20240625133500,+81500,+81500,+81400,,,,,,,
+81400,68183,20240625133000,+81400,+81500,+81400,,,,,,,
+81500,40551,20240625132500,+81400,+81500,+81400,,,,,,,
+81400,49267,20240625132000,+81400,+81500,+81400,,,,,,,
+81400,32322,20240625131500,+81400,+81500,+81400,,,,,,,
+81400,31689,20240625131000,+81500,+81500,+81400,,,,,,,
+81400,100239,20240625130500,+81400,+81500,+81400,,,,,,,
+81400,158841,20240625130000,+81500,+81500,+81300,,,,,,,
+81500,134738,20240625125500,+81500,+81600,+81400,,,,,,,
+81500,162228,20240625125000,+81600,+81600,+81400,,,,,,,
+81500,146346,20240625124500,+81600,+81700,+81500,,,,,,,
+81600,156428,20240625124000,+81500,+81700,+81500,,,,,,,
+81500,100906,20240625123500,+81700,+81700,+81500,,,,,,,
+81700,45142,20240625123000,+81600,+81700,+81600,,,,,,,
+81700,46023,20240625122500,+81700,+81700,+81600,,,,,,,
+81700,77554,20240625122000,+81700,+81700,+81600,,,,,,,
+81600,237836,20240625121500,+81700,+81800,+81600,,,,,,,
+81700,72292,20240625121000,+81600,+81700,+81600,,,,,,,
+81600,99398,20240625120500,+81700,+81700,+81600,,,,,,,
+81700,330473,20240625120000,+81500,+81700,+81500,,,,,,,
+81500,126976,20240625115500,+81400,+81600,+81400,,,,,,,
+81500,400363,20240625115000,+81500,+81600,+81400,,,,,,,
+81400,138958,20240625114500,+81300,+81500,+81300,,,,,,,
+81300,108067,20240625114000,+81400,+81400,+81200,,,,,,,
+81400,45211,20240625113500,+81300,+81400,+81300,,,,,,,
+81400,175771,20240625113000,+81500,+81500,+81300,,,,,,,
+81500,50347,20240625112500,+81500,+81500,+81400,,,,,,,
+81500,122594,20240625112000,+81400,+81500,+81300,,,,,,,
+81300,40680,20240625111500,+81300,+81400,+81300,,,,,,,
+81400,172304,20240625111000,+81400,+81500,+81300,,,,,,,
+81400,464375,20240625110500,+81200,+81500,+81200,,,,,,,
+81300,175567,20240625110000,+81100,+81300,+81100,,,,,,,
+81100,54158,20240625105500,+81200,+81200,+81100,,,,,,,
+81200,35181,20240625105000,+81200,+81200,+81100,,,,,,,
+81200,279925,20240625104500,+81100,+81300,+81000,,,,,,,
+81100,40262,20240625104000,+81000,+81100,+81000,,,,,,,
+81100,160378,20240625103500,+81000,+81100,+81000,,,,,,,
+81000,109454,20240625103000,+81100,+81200,+81000,,,,,,,
+81100,521530,20240625102500,+81000,+81200,+80900,,,,,,,
+81000,269636,20240625102000,+81000,+81100,+80900,,,,,,,
+81100,617694,20240625101500,80600,+81100,80600,,,,,,,
80600,103902,20240625101000,-80500,+80700,-80500,,,,,,,
-80500,55923,20240625100500,80600,80600,-80500,,,,,,,
80600,180707,20240625100000,-80400,80600,-80400,,,,,,,
-80400,173059,20240625095500,-80500,80600,-80400,,,,,,,
80600,150976,20240625095000,+80700,+80700,-80500,,,,,,,
+80700,86056,20240625094500,80600,+80700,80600,,,,,,,
+80700,65092,20240625094000,+80700,+80700,80600,,,,,,,
+80700,58376,20240625093500,80600,+80700,80600,,,,,,,
80600,193968,20240625093000,-80500,+80700,-80500,,,,,,,
80600,135010,20240625092500,+80700,+80700,-80500,,,,,,,
80600,132487,20240625092000,80600,+80800,80600,,,,,,,
+80700,443699,20240625091500,-80500,+80800,-80500,,,,,,,
-80500,611790,20240625091000,-80500,80600,-80100,,,,,,,
80600,487090,20240625090500,80600,+80900,-80500,,,,,,,
+80700,1676761,20240625090000,80600,+80800,-80500,,,,,,,
+80600,27943,20240624153500,+80600,+80600,+80600,,,,,,,
+80600,1016263,20240624153000,+80600,+80600,+80600,,,,,,,
+80500,346479,20240624151500,+80500,+80600,+80400,,,,,,,
+80500,185604,20240624151000,+80500,+80600,+80400,,,,,,,
+80500,208290,20240624150500,+80600,+80700,+80400,,,,,,,
+80700,174424,20240624150000,+80700,+80800,+80600,,,,,,,
+80700,269668,20240624145500,+80800,+80900,+80700,,,,,,,
+80800,461250,20240624145000,+80700,+80900,+80600,,,,,,,
+80600,490691,20240624144500,+80400,+80700,+80400,,,,,,,
+80500,46132,20240624144000,+80400,+80500,+80400,,,,,,,
+80400,260962,20240624143500,+80400,+80500,+80300,,,,,,,
+80400,71675,20240624143000,+80300,+80400,+80300,,,,,,,
+80300,171760,20240624142500,+80300,+80400,+80200,,,,,,,
+80200,60413,20240624142000,+80200,+80300,+80200,,,,,,,
+80300,56136,20240624141500,+80200,+80300,+80200,,,,,,,
+80200,60769,20240624141000,+80300,+80300,+80200,,,,,,,
+80200,68267,20240624140500,+80300,+80300,+80200,,,,,,,
+80200,42822,20240624140000,+80200,+80300,+80200,,,,,,,
+80200,89050,20240624135500,+80300,+80300,+80200,,,,,,,
+80200,183615,20240624135000,+80100,+80300,+80100,,,,,,,
+80100,36075,20240624134500,+80100,+80200,+80100,,,,,,,
+80100,34169,20240624134000,+80200,+80200,+80100,,,,,,,
+80100,242260,20240624133500,+80200,+80200,80000,,,,,,,
+80100,103625,20240624133000,+80300,+80300,+80100,,,,,,,
+80200,81853,20240624132500,+80200,+80300,+80200,,,,,,,
+80200,353947,20240624132000,+80200,+80400,+80100,,,,,,,
+80300,156797,20240624131500,80000,+80300,80000,,,,,,,
80000,57678,20240624131000,+80100,+80100,80000,,,,,,,
80000,52235,20240624130500,80000,+80100,80000,,,,,,,
80000,78666,20240624130000,+80100,+80100,80000,,,,,,,
80000,42930,20240624125500,80000,+80100,80000,,,,,,,
80000,41486,20240624125000,80000,+80100,80000,,,,,,,
80000,143835,20240624124500,+80100,+80200,80000,,,,,,,
+80100,66903,20240624124000,+80100,+80200,+80100,,,,,,,
+80100,74505,20240624123500,+80100,+80100,80000,,,,,,,
80000,120627,20240624123000,80000,+80200,80000,,,,,,,
80000,139469,20240624122500,-79900,+80100,-79900,,,,,,,
80000,67174,20240624122000,80000,80000,-79900,,,,,,,
-79900,51585,20240624121500,80000,80000,-79900,,,,,,,
-79900,43739,20240624121000,-79900,80000,-79900,,,,,,,
-79900,123281,20240624120500,80000,+80100,-79900,,,,,,,
-79900,105469,20240624120000,-79800,80000,-79800,,,,,,,
-79800,50664,20240624115500,-79800,-79900,-79800,,,,,,,
-79800,71962,20240624115000,-79900,-79900,-79800,,,,,,,
-79800,43928,20240624114500,-79800,-79900,-79800,,,,,,,
-79800,41260,20240624114000,-79900,-79900,-79800,,,,,,,
-79900,120908,20240624113500,-79900,80000,-79800,,,,,,,
-79900,46596,20240624113000,-79900,80000,-79900,,,,,,,
-79900,34641,20240624112500,-79900,80000,-79900,,,,,,,
80000,58817,20240624112000,-79800,80000,-79800,,,,,,,
-79800,119273,20240624111500,-79800,-79900,-79700,,,,,,,
-79800,65462,20240624111000,-79700,-79800,-79700,,,,,,,
-79700,67337,20240624110500,-79800,-79800,-79700,,,,,,,
-79700,211692,20240624110000,-79800,-79900,-79700,,,,,,,
-79800,146386,20240624105500,-79800,-79900,-79700,,,,,,,
-79800,78062,20240624105000,-79800,-79900,-79700,,,,,,,
-79800,239736,20240624104500,-79800,-79900,-79700,,,,,,,
-79800,85406,20240624104000,80000,80000,-79800,,,,,,,
-79900,107914,20240624103500,-79900,80000,-79800,,,,,,,
80000,206828,20240624103000,80000,80000,-79800,,,,,,,
80000,110675,20240624102500,80000,+80100,-79900,,,,,,,
80000,259675,20240624102000,-79900,+80100,-79800,,,,,,,
-79900,292309,20240624101500,+80100,+80200,-79900,,,,,,,
+80100,466874,20240624101000,+80200,+80300,80000,,,,,,,
+80300,220318,20240624100500,+80300,+80400,+80200,,,,,,,
+80200,45953,20240624100000,+80200,+80300,+80200,,,,,,,
+80300,41932,20240624095500,+80200,+80300,+80200,,,,,,,
+80200,138418,20240624095000,+80300,+80400,+80200,,,,,,,
+80300,235811,20240624094500,+80200,+80300,+80100,,,,,,,
+80200,164794,20240624094000,+80300,+80300,+80100,,,,,,,
+80300,234119,20240624093500,80000,+80400,80000,,,,,,,
+80100,198705,20240624093000,80000,+80200,80000,,,,,,,
80000,169270,20240624092500,+80200,+80200,80000,,,,,,,
+80200,91307,20240624092000,+80200,+80200,80000,,,,,,,
+80100,385283,20240624091500,+80100,+80200,-79900,,,,,,,
+80100,321055,20240624091000,+80100,+80200,80000,,,,,,,
+80100,582089,20240624090500,80000,+80300,-79800,,,,,,,
-79900,1316555,20240624090000,-79700,+80200,-79500,,,,,,,
-80000,48871,20240621153500,-80000,-80000,-80000,,,,,,,
-80000,3292594,20240621153000,-80000,-80000,-80000,,,,,,,
-80600,308029,20240621151500,-80400,-80600,-80400,,,,,,,
-80400,126181,20240621151000,-80400,-80500,-80400,,,,,,,
-80500,112306,20240621150500,-80500,-80500,-80400,,,,,,,
-80400,85859,20240621150000,-80400,-80500,-80400,,,,,,,
-80500,176871,20240621145500,-80400,-80500,-80300,,,,,,,
-80400,32552,20240621145000,-80500,-80500,-80400,,,,,,,
-80500,176740,20240621144500,-80500,-80600,-80400,,,,,,,
-80500,88936,20240621144000,-80500,-80500,-80400,,,,,,,
-80500,47248,20240621143500,-80400,-80500,-80400,,,,,,,
-80500,101843,20240621143000,-80300,-80500,-80300,,,,,,,
-80300,133303,20240621142500,-80500,-80500,-80300,,,,,,,
-80500,28364,20240621142000,-80500,-80500,-80400,,,,,,,
-80500,47116,20240621141500,-80500,-80500,-80400,,,,,,,
-80500,171079,20240621141000,-80300,-80500,-80300,,,,,,,
-80300,218619,20240621140500,-80300,-80400,-80200,,,,,,,
-80400,35437,20240621140000,-80300,-80400,-80300,,,,,,,
-80300,31215,20240621135500,-80400,-80400,-80300,,,,,,,
-80400,32970,20240621135000,-80300,-80400,-80300,,,,,,,
-80400,33333,20240621134500,-80300,-80400,-80300,,,,,,,
-80400,156609,20240621134000,-80400,-80500,-80300,,,,,,,
-80400,41764,20240621133500,-80500,-80500,-80400,,,,,,,
-80400,33939,20240621133000,-80500,-80500,-80400,,,,,,,
-80500,119413,20240621132500,-80500,-80500,-80300,,,,,,,
-80400,35048,20240621132000,-80400,-80500,-80400,,,,,,,
-80500,155633,20240621131500,-80500,-80500,-80300,,,,,,,
-80500,270929,20240621131000,-80500,-80600,-80400,,,,,,,
-80600,37066,20240621130500,-80600,-80600,-80500,,,,,,,
-80600,82978,20240621130000,-80500,-80600,-80500,,,,,,,
-80500,170013,20240621125500,-80400,-80600,-80400,,,,,,,
-80400,377368,20240621125000,-80300,-80500,-80300,,,,,,,
-80400,29682,20240621124500,-80300,-80400,-80300,,,,,,,
-80400,30667,20240621124000,-80400,-80400,-80300,,,,,,,
-80400,37044,20240621123500,-80300,-80400,-80300,,,,,,,
-80300,121628,20240621123000,-80200,-80400,-80200,,,,,,,
-80300,183680,20240621122500,-80300,-80400,-80200,,,,,,,
-80300,189734,20240621122000,-80300,-80400,-80200,,,,,,,
-80400,73650,20240621121500,-80200,-80400,-80200,,,,,,,
-80300,112978,20240621121000,-80300,-80400,-80200,,,,,,,
-80300,113683,20240621120500,-80200,-80400,-80200,,,,,,,
-80300,68235,20240621120000,-80200,-80300,-80200,,,,,,,
-80300,92922,20240621115500,-80300,-80400,-80200,,,,,,,
-80300,28653,20240621115000,-80400,-80400,-80300,,,,,,,
-80400,112575,20240621114500,-80100,-80400,-80100,,,,,,,
-80200,81812,20240621114000,-80300,-80300,-80100,,,,,,,
-80200,90113,20240621113500,-80300,-80400,-80200,,,,,,,
-80400,371934,20240621113000,-80100,-80400,-80000,,,,,,,
-80100,73351,20240621112500,-80000,-80100,-80000,,,,,,,
-80000,63495,20240621112000,-80100,-80100,-80000,,,,,,,
-80000,53000,20240621111500,-80100,-80100,-80000,,,,,,,
-80000,52970,20240621111000,-80000,-80100,-80000,,,,,,,
-80000,62623,20240621110500,-80000,-80100,-80000,,,,,,,
-80100,57435,20240621110000,-80000,-80100,-80000,,,,,,,
-80000,52567,20240621105500,-80100,-80100,-80000,,,,,,,
-80100,198006,20240621105000,-80200,-80200,-80000,,,,,,,
-80100,135787,20240621104500,-80300,-80300,-80100,,,,,,,
-80300,83675,20240621104000,-80200,-80300,-80200,,,,,,,
-80300,140886,20240621103500,-80300,-80400,-80200,,,,,,,
-80200,385001,20240621103000,-80100,-80300,-80100,,,,,,,
-80200,169022,20240621102500,-80100,-80200,-80000,,,,,,,
-80100,74237,20240621102000,-80100,-80100,-80000,,,,,,,
-80100,213496,20240621101500,-80100,-80200,-80000,,,,,,,
-80100,69809,20240621101000,-80200,-80200,-80100,,,,,,,
-80200,96859,20240621100500,-80200,-80300,-80100,,,,,,,
-80200,268295,20240621100000,-80300,-80300,-80100,,,,,,,
-80300,179709,20240621095500,-80400,-80400,-80200,,,,,,,
-80400,59490,20240621095000,-80300,-80400,-80300,,,,,,,
-80400,447064,20240621094500,-80000,-80500,-80000,,,,,,,
-80000,489163,20240621094000,-80000,-80100,-80000,,,,,,,
-80000,284957,20240621093500,-80100,-80200,-80000,,,,,,,
-80200,181273,20240621093000,-80100,-80200,-80100,,,,,,,
-80200,454202,20240621092500,-80300,-80300,-80100,,,,,,,
-80300,482526,20240621092000,-80400,-80400,-80100,,,,,,,
-80400,359638,20240621091500,-80500,-80700,-80300,,,,,,,
-80600,471452,20240621091000,-80500,-80800,-80500,,,,,,,
-80600,537306,20240621090500,-80200,-80600,-80200,,,,,,,
-80300,2170429,20240621090000,-80700,-80800,-80200,,,,,,,
+81600,26334,20240620153500,+81600,+81600,+81600,,,,,,,
+81600,1446885,20240620153000,+81600,+81600,+81600,,,,,,,
+81800,220444,20240620151500,+81900,+81900,+81800,,,,,,,
+81900,259564,20240620151000,+81900,+82000,+81800,,,,,,,
+82000,105835,20240620150500,+82000,+82000,+81900,,,,,,,
+81900,398615,20240620150000,+81900,+82000,+81800,,,,,,,
+81900,172315,20240620145500,+81900,+82000,+81900,,,,,,,
+81900,161713,20240620145000,+82000,+82000,+81900,,,,,,,
+82000,112522,20240620144500,+82000,+82000,+81900,,,,,,,
+81900,268292,20240620144000,+81800,+82000,+81800,,,,,,,
+81800,74580,20240620143500,+81800,+81900,+81800,,,,,,,
+81900,529727,20240620143000,+81900,+82000,+81800,,,,,,,
+82000,102728,20240620142500,+82000,+82000,+81900,,,,,,,
+82000,322528,20240620142000,+82100,+82100,+81900,,,,,,,
+82000,94424,20240620141500,+82000,+82100,+82000,,,,,,,
+82100,85473,20240620141000,+82100,+82100,+82000,,,,,,,
+82000,234178,20240620140500,+82000,+82100,+82000,,,,,,,
+82000,201801,20240620140000,+82000,+82100,+82000,,,,,,,
+82100,1040095,20240620135500,+81900,+82100,+81900,,,,,,,
+82000,120577,20240620135000,+81900,+82000,+81900,,,,,,,
+81900,60212,20240620134500,+81900,+82000,+81900,,,,,,,
+82000,59451,20240620134000,+81900,+82000,+81900,,,,,,,
+82000,212522,20240620133500,+82000,+82000,+81900,,,,,,,
+81900,47788,20240620133000,+81900,+82000,+81900,,,,,,,
+81900,264861,20240620132500,+81800,+82000,+81800,,,,,,,
+81800,197676,20240620132000,+81900,+81900,+81700,,,,,,,
