Ticker,DateTime,Close,Open,Low,High,Volume
005930,20240624,80600,79700,79500,80900,15454227
,20240621,80000,80700,80000,80800,17907523
,20240620,81600,81500,81200,82200,20288913
,20240619,81200,81100,80500,82500,24168863
,20240618,79800,78700,78600,80200,18207598
,20240617,78100,79200,78000,79500,16123051
,20240614,79600,79700,79000,80500,22926612
,20240613,78600,78400,77800,79000,33763804
,20240612,76500,75300,75200,77100,19246725
,20240611,75200,75900,75100,76000,16971175
,20240610,75700,76100,75600,76600,14598755
,20240607,77300,78400,77100,78600,21189349
,20240605,77400,78000,76800,78000,23177968
,20240604,75300,74900,74900,76100,14098053
,20240603,75700,74400,74200,76400,15706268
,20240531,73500,74500,73500,74700,26198776
,20240530,73500,74800,73500,75200,28551273
,20240529,75200,77700,75200,78200,30244875
,20240528,77600,76500,76200,78000,18539072
,20240527,77200,75300,74000,78200,43825202
,20240524,75900,76800,75700,77000,27891278
,20240523,78300,77700,77100,79100,18728087
,20240522,77700,78100,77300,78700,19521506
,20240521,78400,78500,78200,79000,13690583
,20240520,78900,78100,77900,79100,19456783
,20240517,77400,78600,77200,78800,15918201
,20240516,78200,80200,78100,80300,20989778
,20240514,78300,78600,77900,78800,11763992
,20240513,78400,79400,77600,79900,18652344
,20240510,79200,80400,78900,81100,16976124
,20240509,79700,81100,79700,81500,18759935
,20240508,81300,80800,80500,81400,13089576
,20240507,81300,79600,79400,81300,26238868
,20240503,77600,79000,77500,79000,13151889
,20240502,78000,77600,77300,78600,18900640
,20240430,77500,77000,76600,78500,19007007
,20240429,76700,77400,76200,77600,14664474
,20240426,76700,77800,76500,77900,12755629
,20240425,76300,77300,76300,77500,15549134
,20240424,78600,77500,77200,78800,22166150
,20240423,75500,76400,75500,76800,18717699
,20240422,76100,77400,75100,77500,30469477
,20240419,77600,78300,76300,78700,31317563
,20240418,79600,78800,78300,80100,21370190
,20240417,78900,80700,78900,80800,22611631
,20240416,80000,81200,79400,81300,31949845
,20240415,82200,82900,81200,83200,26663772
,20240412,83700,84700,83200,84900,17061770
